# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 1.458E-08 1.888E-08 1.753E-08 1.791E-08 1.798E-08 1.82E-08 1.806E-08 1.818E-08 1.915E-08 1.84E-08 1.543E-08 1.329E-08 1.317E-08 1.242E-08 1.217E-08 1.184E-08 9.87E-09 9.185E-09 9.078E-09 8.861E-09 8.81E-09 8.861E-09 9.35E-09 1.092E-08 1.458E-08 1.888E-08 1.753E-08 1.791E-08 1.798E-08 1.82E-08 1.806E-08 1.818E-08 1.915E-08 1.84E-08 1.543E-08 1.329E-08 1.317E-08 1.242E-08 1.217E-08 1.184E-08 9.87E-09 9.185E-09 9.078E-09 8.861E-09 8.81E-09 8.861E-09 9.35E-09 1.092E-08 1.458E-08 
NO2 1.075E-09 1.185E-09 1.089E-09 1.167E-09 1.199E-09 1.253E-09 1.21E-09 1.262E-09 1.213E-09 1.417E-09 1.176E-09 1.043E-09 8.462E-10 6.88E-10 6.392E-10 5.465E-10 3.425E-10 3.155E-10 2.833E-10 2.189E-10 2.105E-10 2.247E-10 3.509E-10 6.759E-10 1.075E-09 1.185E-09 1.089E-09 1.167E-09 1.199E-09 1.253E-09 1.21E-09 1.262E-09 1.213E-09 1.417E-09 1.176E-09 1.043E-09 8.462E-10 6.88E-10 6.392E-10 5.465E-10 3.425E-10 3.155E-10 2.833E-10 2.189E-10 2.105E-10 2.247E-10 3.509E-10 6.759E-10 1.075E-09 
NO 2.398E-08 2.643E-08 2.429E-08 2.601E-08 2.674E-08 2.794E-08 2.697E-08 2.816E-08 2.706E-08 3.159E-08 2.624E-08 2.325E-08 1.887E-08 1.534E-08 1.426E-08 1.219E-08 7.64E-09 7.036E-09 6.318E-09 4.884E-09 4.692E-09 5.013E-09 7.828E-09 1.508E-08 2.398E-08 2.643E-08 2.429E-08 2.601E-08 2.674E-08 2.794E-08 2.697E-08 2.816E-08 2.706E-08 3.159E-08 2.624E-08 2.325E-08 1.887E-08 1.534E-08 1.426E-08 1.219E-08 7.64E-09 7.036E-09 6.318E-09 4.884E-09 4.692E-09 5.013E-09 7.828E-09 1.508E-08 2.398E-08 
NH3 2.498E-09 2.435E-09 4.584E-09 4.1E-09 4.588E-09 5.26E-09 4.615E-09 5.047E-09 3.768E-09 1.887E-09 1.515E-09 7.141E-10 5.837E-10 6.401E-10 7.626E-10 7.658E-10 2.786E-10 7.571E-10 2.752E-10 2.706E-10 2.77E-10 2.893E-10 3.028E-10 7.682E-10 2.498E-09 2.435E-09 4.584E-09 4.1E-09 4.588E-09 5.26E-09 4.615E-09 5.047E-09 3.768E-09 1.887E-09 1.515E-09 7.141E-10 5.837E-10 6.401E-10 7.626E-10 7.658E-10 2.786E-10 7.571E-10 2.752E-10 2.706E-10 2.77E-10 2.893E-10 3.028E-10 7.682E-10 2.498E-09 
CO 1.152E-06 8.577E-07 6.104E-07 6.55E-07 6.843E-07 7.217E-07 6.834E-07 7.21E-07 1.019E-06 1.3E-06 1.195E-06 6.719E-07 4.921E-07 3.581E-07 3.156E-07 2.442E-07 1.181E-07 1.152E-07 9.42E-08 3.748E-08 3.021E-08 4.493E-08 1.591E-07 5.786E-07 1.152E-06 8.577E-07 6.104E-07 6.55E-07 6.843E-07 7.217E-07 6.834E-07 7.21E-07 1.019E-06 1.3E-06 1.195E-06 6.719E-07 4.921E-07 3.581E-07 3.156E-07 2.442E-07 1.181E-07 1.152E-07 9.42E-08 3.748E-08 3.021E-08 4.493E-08 1.591E-07 5.786E-07 1.152E-06 
ALD2 1.947E-09 1.467E-09 1.075E-09 1.171E-09 1.231E-09 1.295E-09 1.221E-09 1.292E-09 1.888E-09 2.438E-09 2.27E-09 1.236E-09 8.975E-10 6.492E-10 5.722E-10 4.389E-10 2.04E-10 2.02E-10 1.635E-10 5.916E-11 4.607E-11 7.261E-11 2.777E-10 9.968E-10 1.947E-09 1.467E-09 1.075E-09 1.171E-09 1.231E-09 1.295E-09 1.221E-09 1.292E-09 1.888E-09 2.438E-09 2.27E-09 1.236E-09 8.975E-10 6.492E-10 5.722E-10 4.389E-10 2.04E-10 2.02E-10 1.635E-10 5.916E-11 4.607E-11 7.261E-11 2.777E-10 9.968E-10 1.947E-09 
HCHO 5.164E-09 4.101E-09 3.103E-09 3.356E-09 3.502E-09 3.672E-09 3.485E-09 3.668E-09 5.198E-09 6.594E-09 5.979E-09 3.307E-09 2.445E-09 1.795E-09 1.592E-09 1.243E-09 5.96E-10 5.922E-10 4.878E-10 2.183E-10 1.841E-10 2.513E-10 7.875E-10 2.658E-09 5.164E-09 4.101E-09 3.103E-09 3.356E-09 3.502E-09 3.672E-09 3.485E-09 3.668E-09 5.198E-09 6.594E-09 5.979E-09 3.307E-09 2.445E-09 1.795E-09 1.592E-09 1.243E-09 5.96E-10 5.922E-10 4.878E-10 2.183E-10 1.841E-10 2.513E-10 7.875E-10 2.658E-09 5.164E-09 
ETH 3.005E-08 2.261E-08 1.642E-08 1.78E-08 1.866E-08 1.965E-08 1.856E-08 1.959E-08 2.936E-08 3.771E-08 3.493E-08 1.863E-08 1.363E-08 9.954E-09 8.8E-09 6.695E-09 3.175E-09 3.132E-09 2.56E-09 1.002E-09 8.083E-10 1.206E-09 4.312E-09 1.54E-08 3.005E-08 2.261E-08 1.642E-08 1.78E-08 1.866E-08 1.965E-08 1.856E-08 1.959E-08 2.936E-08 3.771E-08 3.493E-08 1.863E-08 1.363E-08 9.954E-09 8.8E-09 6.695E-09 3.175E-09 3.132E-09 2.56E-09 1.002E-09 8.083E-10 1.206E-09 4.312E-09 1.54E-08 3.005E-08 
OLEI 1.076E-08 8.276E-09 6.106E-09 6.638E-09 6.969E-09 7.329E-09 6.951E-09 7.333E-09 1.103E-08 1.411E-08 1.306E-08 6.765E-09 4.919E-09 3.571E-09 3.129E-09 2.421E-09 1.146E-09 1.157E-09 9.277E-10 3.781E-10 3.091E-10 4.488E-10 1.619E-09 5.532E-09 1.076E-08 8.276E-09 6.106E-09 6.638E-09 6.969E-09 7.329E-09 6.951E-09 7.333E-09 1.103E-08 1.411E-08 1.306E-08 6.765E-09 4.919E-09 3.571E-09 3.129E-09 2.421E-09 1.146E-09 1.157E-09 9.277E-10 3.781E-10 3.091E-10 4.488E-10 1.619E-09 5.532E-09 1.076E-08 
OLET 1.559E-09 1.198E-09 8.841E-10 9.611E-10 1.009E-09 1.061E-09 1.006E-09 1.062E-09 1.597E-09 2.042E-09 1.89E-09 9.794E-10 7.122E-10 5.17E-10 4.53E-10 3.506E-10 1.659E-10 1.675E-10 1.343E-10 5.474E-11 4.475E-11 6.498E-11 2.344E-10 8.01E-10 1.559E-09 1.198E-09 8.841E-10 9.611E-10 1.009E-09 1.061E-09 1.006E-09 1.062E-09 1.597E-09 2.042E-09 1.89E-09 9.794E-10 7.122E-10 5.17E-10 4.53E-10 3.506E-10 1.659E-10 1.675E-10 1.343E-10 5.474E-11 4.475E-11 6.498E-11 2.344E-10 8.01E-10 1.559E-09 
TOL 5.034E-09 7.183E-09 6.398E-09 6.62E-09 6.767E-09 6.939E-09 6.78E-09 6.936E-09 8.416E-09 9.397E-09 6.054E-09 3.452E-09 2.54E-09 1.884E-09 1.658E-09 1.299E-09 7.397E-10 5.532E-10 4.451E-10 2.031E-10 1.738E-10 2.353E-10 7.673E-10 2.594E-09 5.034E-09 7.183E-09 6.398E-09 6.62E-09 6.767E-09 6.939E-09 6.78E-09 6.936E-09 8.416E-09 9.397E-09 6.054E-09 3.452E-09 2.54E-09 1.884E-09 1.658E-09 1.299E-09 7.397E-10 5.532E-10 4.451E-10 2.031E-10 1.738E-10 2.353E-10 7.673E-10 2.594E-09 5.034E-09 
XYL 6.944E-09 5.921E-09 4.539E-09 4.848E-09 5.035E-09 5.257E-09 5.035E-09 5.28E-09 7.486E-09 9.237E-09 8.002E-09 4.26E-09 3.132E-09 2.306E-09 2.046E-09 1.615E-09 8.498E-10 8.4E-10 6.743E-10 3.345E-10 2.924E-10 3.794E-10 1.061E-09 3.548E-10 6.944E-09 5.921E-09 4.539E-09 4.848E-09 5.035E-09 5.257E-09 5.035E-09 5.28E-09 7.486E-09 9.237E-09 8.002E-09 4.26E-09 3.132E-09 2.306E-09 2.046E-09 1.615E-09 8.498E-10 8.4E-10 6.743E-10 3.345E-10 2.924E-10 3.794E-10 1.061E-09 3.548E-10 6.944E-09 
