# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 6.394E-09 8.278E-09 7.686E-09 7.852E-09 7.885E-09 7.98E-09 7.92E-09 7.974E-09 8.397E-09 8.069E-09 6.766E-09 5.827E-09 5.774E-09 5.448E-09 5.336E-09 5.192E-09 4.328E-09 4.028E-09 3.981E-09 3.886E-09 3.863E-09 3.886E-09 4.1E-09 4.788E-09 6.394E-09 8.278E-09 7.686E-09 7.852E-09 7.885E-09 7.98E-09 7.92E-09 7.974E-09 8.397E-09 8.069E-09 6.766E-09 5.827E-09 5.774E-09 5.448E-09 5.336E-09 5.192E-09 4.328E-09 4.028E-09 3.981E-09 3.886E-09 3.863E-09 3.886E-09 4.1E-09 4.788E-09 6.394E-09 
NO2 2.628E-09 2.898E-09 2.662E-09 2.852E-09 2.931E-09 3.062E-09 2.957E-09 3.086E-09 2.967E-09 3.464E-09 2.875E-09 2.549E-09 2.069E-09 1.682E-09 1.563E-09 1.336E-09 8.373E-10 7.712E-10 6.926E-10 5.351E-10 5.146E-10 5.493E-10 8.58E-10 1.652E-09 2.628E-09 2.898E-09 2.662E-09 2.852E-09 2.931E-09 3.062E-09 2.957E-09 3.086E-09 2.967E-09 3.464E-09 2.875E-09 2.549E-09 2.069E-09 1.682E-09 1.563E-09 1.336E-09 8.373E-10 7.712E-10 6.926E-10 5.351E-10 5.146E-10 5.493E-10 8.58E-10 1.652E-09 2.628E-09 
NO 5.351E-08 5.899E-08 5.422E-08 5.805E-08 5.967E-08 6.235E-08 6.02E-08 6.286E-08 6.039E-08 7.051E-08 5.856E-08 5.19E-08 4.211E-08 3.424E-08 3.182E-08 2.722E-08 1.705E-08 1.57E-08 1.41E-08 1.09E-08 1.047E-08 1.119E-08 1.747E-08 3.365E-08 5.351E-08 5.899E-08 5.422E-08 5.805E-08 5.967E-08 6.235E-08 6.02E-08 6.286E-08 6.039E-08 7.051E-08 5.856E-08 5.19E-08 4.211E-08 3.424E-08 3.182E-08 2.722E-08 1.705E-08 1.57E-08 1.41E-08 1.09E-08 1.047E-08 1.119E-08 1.747E-08 3.365E-08 5.351E-08 
NH3 1.177E-08 1.147E-08 2.16E-08 1.932E-08 2.162E-08 2.478E-08 2.174E-08 2.378E-08 1.775E-08 8.889E-09 7.136E-09 3.364E-09 2.75E-09 3.016E-09 3.593E-09 3.608E-09 1.313E-09 3.567E-09 1.297E-09 1.275E-09 1.305E-09 1.363E-09 1.427E-09 3.619E-09 1.177E-08 1.147E-08 2.16E-08 1.932E-08 2.162E-08 2.478E-08 2.174E-08 2.378E-08 1.775E-08 8.889E-09 7.136E-09 3.364E-09 2.75E-09 3.016E-09 3.593E-09 3.608E-09 1.313E-09 3.567E-09 1.297E-09 1.275E-09 1.305E-09 1.363E-09 1.427E-09 3.619E-09 1.177E-08 
CO 1.046E-06 7.788E-07 5.542E-07 5.948E-07 6.213E-07 6.554E-07 6.205E-07 6.547E-07 9.257E-07 1.181E-06 1.085E-06 6.101E-07 4.468E-07 3.251E-07 2.866E-07 2.217E-07 1.072E-07 1.046E-07 8.554E-08 3.404E-08 2.743E-08 4.08E-08 1.445E-07 5.254E-07 1.046E-06 7.788E-07 5.542E-07 5.948E-07 6.213E-07 6.554E-07 6.205E-07 6.547E-07 9.257E-07 1.181E-06 1.085E-06 6.101E-07 4.468E-07 3.251E-07 2.866E-07 2.217E-07 1.072E-07 1.046E-07 8.554E-08 3.404E-08 2.743E-08 4.08E-08 1.445E-07 5.254E-07 1.046E-06 
ALD2 2.026E-09 1.527E-09 1.119E-09 1.219E-09 1.281E-09 1.348E-09 1.271E-09 1.345E-09 1.966E-09 2.538E-09 2.363E-09 1.287E-09 9.342E-10 6.757E-10 5.956E-10 4.569E-10 2.124E-10 2.102E-10 1.702E-10 6.158E-11 4.795E-11 7.558E-11 2.891E-10 1.038E-09 2.026E-09 1.527E-09 1.119E-09 1.219E-09 1.281E-09 1.348E-09 1.271E-09 1.345E-09 1.966E-09 2.538E-09 2.363E-09 1.287E-09 9.342E-10 6.757E-10 5.956E-10 4.569E-10 2.124E-10 2.102E-10 1.702E-10 6.158E-11 4.795E-11 7.558E-11 2.891E-10 1.038E-09 2.026E-09 
HCHO 1.011E-09 8.029E-10 6.075E-10 6.57E-10 6.857E-10 7.19E-10 6.824E-10 7.183E-10 1.018E-09 1.291E-09 1.171E-09 6.476E-10 4.788E-10 3.515E-10 3.117E-10 2.434E-10 1.167E-10 1.159E-10 9.55E-11 4.275E-11 3.605E-11 4.92E-11 1.542E-10 5.203E-10 1.011E-09 8.029E-10 6.075E-10 6.57E-10 6.857E-10 7.19E-10 6.824E-10 7.183E-10 1.018E-09 1.291E-09 1.171E-09 6.476E-10 4.788E-10 3.515E-10 3.117E-10 2.434E-10 1.167E-10 1.159E-10 9.55E-11 4.275E-11 3.605E-11 4.92E-11 1.542E-10 5.203E-10 1.011E-09 
ETH 3.552E-08 2.672E-08 1.94E-08 2.104E-08 2.206E-08 2.323E-08 2.194E-08 2.315E-08 3.47E-08 4.457E-08 4.129E-08 2.202E-08 1.611E-08 1.177E-08 1.04E-08 7.914E-09 3.752E-09 3.702E-09 3.026E-09 1.184E-09 9.554E-10 1.426E-09 5.097E-09 1.821E-08 3.552E-08 2.672E-08 1.94E-08 2.104E-08 2.206E-08 2.323E-08 2.194E-08 2.315E-08 3.47E-08 4.457E-08 4.129E-08 2.202E-08 1.611E-08 1.177E-08 1.04E-08 7.914E-09 3.752E-09 3.702E-09 3.026E-09 1.184E-09 9.554E-10 1.426E-09 5.097E-09 1.821E-08 3.552E-08 
OLEI 7.103E-09 5.461E-09 4.029E-09 4.38E-09 4.599E-09 4.837E-09 4.587E-09 4.839E-09 7.278E-09 9.309E-09 8.616E-09 4.464E-09 3.246E-09 2.356E-09 2.065E-09 1.598E-09 7.563E-10 7.636E-10 6.122E-10 2.495E-10 2.04E-10 2.962E-10 1.068E-09 3.651E-09 7.103E-09 5.461E-09 4.029E-09 4.38E-09 4.599E-09 4.837E-09 4.587E-09 4.839E-09 7.278E-09 9.309E-09 8.616E-09 4.464E-09 3.246E-09 2.356E-09 2.065E-09 1.598E-09 7.563E-10 7.636E-10 6.122E-10 2.495E-10 2.04E-10 2.962E-10 1.068E-09 3.651E-09 7.103E-09 
OLET 1.111E-08 8.542E-09 6.302E-09 6.851E-09 7.193E-09 7.565E-09 7.174E-09 7.568E-09 1.138E-08 1.456E-08 1.348E-08 6.982E-09 5.077E-09 3.685E-09 3.229E-09 2.499E-09 1.183E-09 1.194E-09 9.575E-10 3.902E-10 3.19E-10 4.632E-10 1.671E-09 5.71E-09 1.111E-08 8.542E-09 6.302E-09 6.851E-09 7.193E-09 7.565E-09 7.174E-09 7.568E-09 1.138E-08 1.456E-08 1.348E-08 6.982E-09 5.077E-09 3.685E-09 3.229E-09 2.499E-09 1.183E-09 1.194E-09 9.575E-10 3.902E-10 3.19E-10 4.632E-10 1.671E-09 5.71E-09 1.111E-08 
TOL 1.005E-08 1.435E-08 1.278E-08 1.322E-08 1.352E-08 1.386E-08 1.354E-08 1.386E-08 1.681E-08 1.877E-08 1.209E-08 6.895E-09 5.073E-09 3.762E-09 3.313E-09 2.596E-09 1.478E-09 1.105E-09 8.891E-10 4.057E-10 3.471E-10 4.7E-10 1.533E-09 5.181E-09 1.005E-08 1.435E-08 1.278E-08 1.322E-08 1.352E-08 1.386E-08 1.354E-08 1.386E-08 1.681E-08 1.877E-08 1.209E-08 6.895E-09 5.073E-09 3.762E-09 3.313E-09 2.596E-09 1.478E-09 1.105E-09 8.891E-10 4.057E-10 3.471E-10 4.7E-10 1.533E-09 5.181E-09 1.005E-08 
XYL 9.733E-09 8.299E-09 6.363E-09 6.796E-09 7.058E-09 7.369E-09 7.058E-09 7.401E-09 1.049E-08 1.295E-08 1.122E-08 5.972E-09 4.39E-09 3.232E-09 2.868E-09 2.263E-09 1.191E-09 1.177E-09 9.452E-10 4.689E-10 4.099E-10 5.318E-10 1.487E-09 4.974E-10 9.733E-09 8.299E-09 6.363E-09 6.796E-09 7.058E-09 7.369E-09 7.058E-09 7.401E-09 1.049E-08 1.295E-08 1.122E-08 5.972E-09 4.39E-09 3.232E-09 2.868E-09 2.263E-09 1.191E-09 1.177E-09 9.452E-10 4.689E-10 4.099E-10 5.318E-10 1.487E-09 4.974E-10 9.733E-09 
