# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 7.022E-09 9.09E-09 8.44E-09 8.623E-09 8.659E-09 8.764E-09 8.697E-09 8.757E-09 9.221E-09 8.861E-09 7.43E-09 6.399E-09 6.341E-09 5.982E-09 5.86E-09 5.702E-09 4.753E-09 4.423E-09 4.372E-09 4.267E-09 4.242E-09 4.267E-09 4.503E-09 5.258E-09 7.022E-09 9.09E-09 8.44E-09 8.623E-09 8.659E-09 8.764E-09 8.697E-09 8.757E-09 9.221E-09 8.861E-09 7.43E-09 6.399E-09 6.341E-09 5.982E-09 5.86E-09 5.702E-09 4.753E-09 4.423E-09 4.372E-09 4.267E-09 4.242E-09 4.267E-09 4.503E-09 5.258E-09 7.022E-09 
NO2 7.554E-10 8.328E-10 7.651E-10 8.196E-10 8.423E-10 8.8E-10 8.498E-10 8.87E-10 8.526E-10 9.954E-10 8.263E-10 7.327E-10 5.945E-10 4.834E-10 4.491E-10 3.839E-10 2.406E-10 2.216E-10 1.99E-10 1.538E-10 1.479E-10 1.579E-10 2.466E-10 4.749E-10 7.554E-10 8.328E-10 7.651E-10 8.196E-10 8.423E-10 8.8E-10 8.498E-10 8.87E-10 8.526E-10 9.954E-10 8.263E-10 7.327E-10 5.945E-10 4.834E-10 4.491E-10 3.839E-10 2.406E-10 2.216E-10 1.99E-10 1.538E-10 1.479E-10 1.579E-10 2.466E-10 4.749E-10 7.554E-10 
NO 3.277E-08 3.613E-08 3.321E-08 3.555E-08 3.655E-08 3.819E-08 3.687E-08 3.85E-08 3.699E-08 4.318E-08 3.586E-08 3.179E-08 2.579E-08 2.097E-08 1.949E-08 1.667E-08 1.044E-08 9.617E-09 8.636E-09 6.675E-09 6.413E-09 6.852E-09 1.07E-08 2.061E-08 3.277E-08 3.613E-08 3.321E-08 3.555E-08 3.655E-08 3.819E-08 3.687E-08 3.85E-08 3.699E-08 4.318E-08 3.586E-08 3.179E-08 2.579E-08 2.097E-08 1.949E-08 1.667E-08 1.044E-08 9.617E-09 8.636E-09 6.675E-09 6.413E-09 6.852E-09 1.07E-08 2.061E-08 3.277E-08 
NH3 2.07E-09 2.017E-09 3.798E-09 3.398E-09 3.802E-09 4.358E-09 3.824E-09 4.182E-09 3.122E-09 1.563E-09 1.255E-09 5.917E-10 4.837E-10 5.304E-10 6.319E-10 6.345E-10 2.308E-10 6.274E-10 2.28E-10 2.242E-10 2.296E-10 2.398E-10 2.509E-10 6.365E-10 2.07E-09 2.017E-09 3.798E-09 3.398E-09 3.802E-09 4.358E-09 3.824E-09 4.182E-09 3.122E-09 1.563E-09 1.255E-09 5.917E-10 4.837E-10 5.304E-10 6.319E-10 6.345E-10 2.308E-10 6.274E-10 2.28E-10 2.242E-10 2.296E-10 2.398E-10 2.509E-10 6.365E-10 2.07E-09 
CO 1.4E-06 1.043E-06 7.419E-07 7.962E-07 8.318E-07 8.773E-07 8.307E-07 8.764E-07 1.239E-06 1.581E-06 1.453E-06 8.168E-07 5.981E-07 4.353E-07 3.836E-07 2.968E-07 1.435E-07 1.4E-07 1.145E-07 4.556E-08 3.672E-08 5.462E-08 1.934E-07 7.033E-07 1.4E-06 1.043E-06 7.419E-07 7.962E-07 8.318E-07 8.773E-07 8.307E-07 8.764E-07 1.239E-06 1.581E-06 1.453E-06 8.168E-07 5.981E-07 4.353E-07 3.836E-07 2.968E-07 1.435E-07 1.4E-07 1.145E-07 4.556E-08 3.672E-08 5.462E-08 1.934E-07 7.033E-07 1.4E-06 
ALD2 2.822E-09 2.127E-09 1.558E-09 1.698E-09 1.784E-09 1.877E-09 1.771E-09 1.873E-09 2.737E-09 3.535E-09 3.291E-09 1.792E-09 1.301E-09 9.41E-10 8.295E-10 6.363E-10 2.958E-10 2.928E-10 2.371E-10 8.576E-11 6.678E-11 1.053E-10 4.025E-10 1.445E-09 2.822E-09 2.127E-09 1.558E-09 1.698E-09 1.784E-09 1.877E-09 1.771E-09 1.873E-09 2.737E-09 3.535E-09 3.291E-09 1.792E-09 1.301E-09 9.41E-10 8.295E-10 6.363E-10 2.958E-10 2.928E-10 2.371E-10 8.576E-11 6.678E-11 1.053E-10 4.025E-10 1.445E-09 2.822E-09 
HCHO 3.149E-09 2.501E-09 1.892E-09 2.047E-09 2.136E-09 2.24E-09 2.126E-09 2.237E-09 3.17E-09 4.022E-09 3.646E-09 2.017E-09 1.491E-09 1.095E-09 9.709E-10 7.581E-10 3.635E-10 3.611E-10 2.975E-10 1.332E-10 1.123E-10 1.532E-10 4.803E-10 1.621E-09 3.149E-09 2.501E-09 1.892E-09 2.047E-09 2.136E-09 2.24E-09 2.126E-09 2.237E-09 3.17E-09 4.022E-09 3.646E-09 2.017E-09 1.491E-09 1.095E-09 9.709E-10 7.581E-10 3.635E-10 3.611E-10 2.975E-10 1.332E-10 1.123E-10 1.532E-10 4.803E-10 1.621E-09 3.149E-09 
ETH 1.605E-08 1.207E-08 8.767E-09 9.505E-09 9.965E-09 1.049E-08 9.913E-09 1.046E-08 1.568E-08 2.014E-08 1.865E-08 9.948E-09 7.278E-09 5.316E-09 4.699E-09 3.575E-09 1.695E-09 1.673E-09 1.367E-09 5.351E-10 4.317E-10 6.441E-10 2.303E-09 8.226E-09 1.605E-08 1.207E-08 8.767E-09 9.505E-09 9.965E-09 1.049E-08 9.913E-09 1.046E-08 1.568E-08 2.014E-08 1.865E-08 9.948E-09 7.278E-09 5.316E-09 4.699E-09 3.575E-09 1.695E-09 1.673E-09 1.367E-09 5.351E-10 4.317E-10 6.441E-10 2.303E-09 8.226E-09 1.605E-08 
OLEI 4.436E-09 3.411E-09 2.516E-09 2.736E-09 2.872E-09 3.02E-09 2.865E-09 3.022E-09 4.545E-09 5.813E-09 5.381E-09 2.788E-09 2.027E-09 1.471E-09 1.289E-09 9.979E-10 4.723E-10 4.769E-10 3.823E-10 1.558E-10 1.274E-10 1.85E-10 6.673E-10 2.28E-09 4.436E-09 3.411E-09 2.516E-09 2.736E-09 2.872E-09 3.02E-09 2.865E-09 3.022E-09 4.545E-09 5.813E-09 5.381E-09 2.788E-09 2.027E-09 1.471E-09 1.289E-09 9.979E-10 4.723E-10 4.769E-10 3.823E-10 1.558E-10 1.274E-10 1.85E-10 6.673E-10 2.28E-09 4.436E-09 
OLET 4.536E-09 3.487E-09 2.573E-09 2.797E-09 2.937E-09 3.088E-09 2.929E-09 3.09E-09 4.647E-09 5.944E-09 5.502E-09 2.85E-09 2.073E-09 1.505E-09 1.318E-09 1.02E-09 4.829E-10 4.876E-10 3.909E-10 1.593E-10 1.302E-10 1.891E-10 6.823E-10 2.331E-09 4.536E-09 3.487E-09 2.573E-09 2.797E-09 2.937E-09 3.088E-09 2.929E-09 3.09E-09 4.647E-09 5.944E-09 5.502E-09 2.85E-09 2.073E-09 1.505E-09 1.318E-09 1.02E-09 4.829E-10 4.876E-10 3.909E-10 1.593E-10 1.302E-10 1.891E-10 6.823E-10 2.331E-09 4.536E-09 
TOL 6.037E-09 8.614E-09 7.673E-09 7.94E-09 8.116E-09 8.321E-09 8.132E-09 8.319E-09 1.009E-08 1.127E-08 7.261E-09 4.14E-09 3.046E-09 2.259E-09 1.989E-09 1.558E-09 8.872E-10 6.634E-10 5.338E-10 2.436E-10 2.084E-10 2.822E-10 9.202E-10 3.111E-09 6.037E-09 8.614E-09 7.673E-09 7.94E-09 8.116E-09 8.321E-09 8.132E-09 8.319E-09 1.009E-08 1.127E-08 7.261E-09 4.14E-09 3.046E-09 2.259E-09 1.989E-09 1.558E-09 8.872E-10 6.634E-10 5.338E-10 2.436E-10 2.084E-10 2.822E-10 9.202E-10 3.111E-09 6.037E-09 
XYL 5.933E-09 5.058E-09 3.878E-09 4.142E-09 4.302E-09 4.492E-09 4.302E-09 4.511E-09 6.396E-09 7.892E-09 6.836E-09 3.64E-09 2.675E-09 1.97E-09 1.748E-09 1.38E-09 7.26E-10 7.176E-10 5.761E-10 2.858E-10 2.498E-10 3.241E-10 9.061E-10 3.031E-10 5.933E-09 5.058E-09 3.878E-09 4.142E-09 4.302E-09 4.492E-09 4.302E-09 4.511E-09 6.396E-09 7.892E-09 6.836E-09 3.64E-09 2.675E-09 1.97E-09 1.748E-09 1.38E-09 7.26E-10 7.176E-10 5.761E-10 2.858E-10 2.498E-10 3.241E-10 9.061E-10 3.031E-10 5.933E-09 
