# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 8.568E-09 1.109E-08 1.03E-08 1.052E-08 1.057E-08 1.069E-08 1.061E-08 1.069E-08 1.125E-08 1.081E-08 9.066E-09 7.807E-09 7.737E-09 7.299E-09 7.15E-09 6.957E-09 5.8E-09 5.397E-09 5.334E-09 5.207E-09 5.177E-09 5.207E-09 5.494E-09 6.415E-09 8.568E-09 1.109E-08 1.03E-08 1.052E-08 1.057E-08 1.069E-08 1.061E-08 1.069E-08 1.125E-08 1.081E-08 9.066E-09 7.807E-09 7.737E-09 7.299E-09 7.15E-09 6.957E-09 5.8E-09 5.397E-09 5.334E-09 5.207E-09 5.177E-09 5.207E-09 5.494E-09 6.415E-09 8.568E-09 
NO2 2.724E-09 3.003E-09 2.759E-09 2.955E-09 3.037E-09 3.173E-09 3.064E-09 3.199E-09 3.074E-09 3.589E-09 2.98E-09 2.642E-09 2.144E-09 1.743E-09 1.62E-09 1.384E-09 8.677E-10 7.992E-10 7.177E-10 5.545E-10 5.332E-10 5.693E-10 8.891E-10 1.712E-09 2.724E-09 3.003E-09 2.759E-09 2.955E-09 3.037E-09 3.173E-09 3.064E-09 3.199E-09 3.074E-09 3.589E-09 2.98E-09 2.642E-09 2.144E-09 1.743E-09 1.62E-09 1.384E-09 8.677E-10 7.992E-10 7.177E-10 5.545E-10 5.332E-10 5.693E-10 8.891E-10 1.712E-09 2.724E-09 
NO 2.539E-09 2.799E-09 2.573E-09 2.755E-09 2.831E-09 2.959E-09 2.857E-09 2.982E-09 2.865E-09 3.345E-09 2.778E-09 2.463E-09 1.998E-09 1.625E-09 1.51E-09 1.291E-09 8.091E-10 7.451E-10 6.691E-10 5.172E-10 4.969E-10 5.309E-10 8.29E-10 1.597E-09 2.539E-09 2.799E-09 2.573E-09 2.755E-09 2.831E-09 2.959E-09 2.857E-09 2.982E-09 2.865E-09 3.345E-09 2.778E-09 2.463E-09 1.998E-09 1.625E-09 1.51E-09 1.291E-09 8.091E-10 7.451E-10 6.691E-10 5.172E-10 4.969E-10 5.309E-10 8.29E-10 1.597E-09 2.539E-09 
NH3 8.777E-09 8.555E-09 1.611E-08 1.441E-08 1.612E-08 1.848E-08 1.622E-08 1.773E-08 1.324E-08 6.629E-09 5.322E-09 2.509E-09 2.051E-09 2.249E-09 2.68E-09 2.691E-09 9.789E-10 2.66E-09 9.671E-10 9.509E-10 9.735E-10 1.017E-09 1.064E-09 2.699E-09 8.777E-09 8.555E-09 1.611E-08 1.441E-08 1.612E-08 1.848E-08 1.622E-08 1.773E-08 1.324E-08 6.629E-09 5.322E-09 2.509E-09 2.051E-09 2.249E-09 2.68E-09 2.691E-09 9.789E-10 2.66E-09 9.671E-10 9.509E-10 9.735E-10 1.017E-09 1.064E-09 2.699E-09 8.777E-09 
CO 2.316E-08 1.725E-08 1.227E-08 1.317E-08 1.376E-08 1.451E-08 1.374E-08 1.45E-08 2.05E-08 2.615E-08 2.404E-08 1.351E-08 9.895E-09 7.2E-09 6.346E-09 4.91E-09 2.375E-09 2.317E-09 1.894E-09 7.537E-10 6.075E-10 9.035E-10 3.2E-09 1.163E-08 2.316E-08 1.725E-08 1.227E-08 1.317E-08 1.376E-08 1.451E-08 1.374E-08 1.45E-08 2.05E-08 2.615E-08 2.404E-08 1.351E-08 9.895E-09 7.2E-09 6.346E-09 4.91E-09 2.375E-09 2.317E-09 1.894E-09 7.537E-10 6.075E-10 9.035E-10 3.2E-09 1.163E-08 2.316E-08 
ALD2 1.048E-09 7.901E-10 5.787E-10 6.306E-10 6.626E-10 6.971E-10 6.577E-10 6.959E-10 1.017E-09 1.313E-09 1.222E-09 6.657E-10 4.832E-10 3.495E-10 3.081E-10 2.363E-10 1.099E-10 1.088E-10 8.806E-11 3.186E-11 2.48E-11 3.91E-11 1.495E-10 5.367E-10 1.048E-09 7.901E-10 5.787E-10 6.306E-10 6.626E-10 6.971E-10 6.577E-10 6.959E-10 1.017E-09 1.313E-09 1.222E-09 6.657E-10 4.832E-10 3.495E-10 3.081E-10 2.363E-10 1.099E-10 1.088E-10 8.806E-11 3.186E-11 2.48E-11 3.91E-11 1.495E-10 5.367E-10 1.048E-09 
HCHO 6.747E-09 5.358E-09 4.054E-09 4.385E-09 4.576E-09 4.798E-09 4.554E-09 4.794E-09 6.792E-09 8.617E-09 7.812E-09 4.322E-09 3.195E-09 2.346E-09 2.08E-09 1.624E-09 7.788E-10 7.738E-10 6.374E-10 2.853E-10 2.406E-10 3.283E-10 1.029E-09 3.473E-09 6.747E-09 5.358E-09 4.054E-09 4.385E-09 4.576E-09 4.798E-09 4.554E-09 4.794E-09 6.792E-09 8.617E-09 7.812E-09 4.322E-09 3.195E-09 2.346E-09 2.08E-09 1.624E-09 7.788E-10 7.738E-10 6.374E-10 2.853E-10 2.406E-10 3.283E-10 1.029E-09 3.473E-09 6.747E-09 
ETH 3.389E-08 2.55E-08 1.851E-08 2.007E-08 2.104E-08 2.216E-08 2.093E-08 2.209E-08 3.311E-08 4.253E-08 3.939E-08 2.101E-08 1.537E-08 1.123E-08 9.925E-09 7.551E-09 3.58E-09 3.532E-09 2.887E-09 1.13E-09 9.116E-10 1.36E-09 4.863E-09 1.737E-08 3.389E-08 2.55E-08 1.851E-08 2.007E-08 2.104E-08 2.216E-08 2.093E-08 2.209E-08 3.311E-08 4.253E-08 3.939E-08 2.101E-08 1.537E-08 1.123E-08 9.925E-09 7.551E-09 3.58E-09 3.532E-09 2.887E-09 1.13E-09 9.116E-10 1.36E-09 4.863E-09 1.737E-08 3.389E-08 
OLEI 6.956E-09 5.348E-09 3.946E-09 4.29E-09 4.504E-09 4.736E-09 4.492E-09 4.739E-09 7.127E-09 9.116E-09 8.438E-09 4.371E-09 3.179E-09 2.307E-09 2.022E-09 1.565E-09 7.406E-10 7.477E-10 5.995E-10 2.443E-10 1.997E-10 2.9E-10 1.046E-09 3.575E-09 6.956E-09 5.348E-09 3.946E-09 4.29E-09 4.504E-09 4.736E-09 4.492E-09 4.739E-09 7.127E-09 9.116E-09 8.438E-09 4.371E-09 3.179E-09 2.307E-09 2.022E-09 1.565E-09 7.406E-10 7.477E-10 5.995E-10 2.443E-10 1.997E-10 2.9E-10 1.046E-09 3.575E-09 6.956E-09 
OLET 3.148E-09 2.421E-09 1.786E-09 1.941E-09 2.038E-09 2.144E-09 2.033E-09 2.145E-09 3.226E-09 4.126E-09 3.819E-09 1.979E-09 1.439E-09 1.044E-09 9.152E-10 7.082E-10 3.352E-10 3.384E-10 2.713E-10 1.106E-10 9.041E-11 1.313E-10 4.736E-10 1.618E-09 3.148E-09 2.421E-09 1.786E-09 1.941E-09 2.038E-09 2.144E-09 2.033E-09 2.145E-09 3.226E-09 4.126E-09 3.819E-09 1.979E-09 1.439E-09 1.044E-09 9.152E-10 7.082E-10 3.352E-10 3.384E-10 2.713E-10 1.106E-10 9.041E-11 1.313E-10 4.736E-10 1.618E-09 3.148E-09 
TOL 1.96E-09 2.797E-09 2.492E-09 2.578E-09 2.635E-09 2.702E-09 2.64E-09 2.701E-09 3.277E-09 3.66E-09 2.358E-09 1.344E-09 9.89E-10 7.335E-10 6.458E-10 5.061E-10 2.881E-10 2.154E-10 1.733E-10 7.911E-11 6.767E-11 9.164E-11 2.988E-10 1.01E-09 1.96E-09 2.797E-09 2.492E-09 2.578E-09 2.635E-09 2.702E-09 2.64E-09 2.701E-09 3.277E-09 3.66E-09 2.358E-09 1.344E-09 9.89E-10 7.335E-10 6.458E-10 5.061E-10 2.881E-10 2.154E-10 1.733E-10 7.911E-11 6.767E-11 9.164E-11 2.988E-10 1.01E-09 1.96E-09 
XYL 4.655E-09 3.969E-09 3.043E-09 3.25E-09 3.376E-09 3.524E-09 3.376E-09 3.539E-09 5.018E-09 6.192E-09 5.364E-09 2.856E-09 2.099E-09 1.546E-09 1.372E-09 1.083E-09 5.697E-10 5.631E-10 4.52E-10 2.242E-10 1.96E-10 2.543E-10 7.11E-10 2.379E-10 4.655E-09 3.969E-09 3.043E-09 3.25E-09 3.376E-09 3.524E-09 3.376E-09 3.539E-09 5.018E-09 6.192E-09 5.364E-09 2.856E-09 2.099E-09 1.546E-09 1.372E-09 1.083E-09 5.697E-10 5.631E-10 4.52E-10 2.242E-10 1.96E-10 2.543E-10 7.11E-10 2.379E-10 4.655E-09 
