# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 1.127E-08 1.459E-08 1.354E-08 1.384E-08 1.39E-08 1.406E-08 1.396E-08 1.405E-08 1.48E-08 1.422E-08 1.192E-08 1.027E-08 1.017E-08 9.6E-09 9.403E-09 9.15E-09 7.628E-09 7.098E-09 7.015E-09 6.848E-09 6.808E-09 6.848E-09 7.226E-09 8.437E-09 1.127E-08 1.459E-08 1.354E-08 1.384E-08 1.39E-08 1.406E-08 1.396E-08 1.405E-08 1.48E-08 1.422E-08 1.192E-08 1.027E-08 1.017E-08 9.6E-09 9.403E-09 9.15E-09 7.628E-09 7.098E-09 7.015E-09 6.848E-09 6.808E-09 6.848E-09 7.226E-09 8.437E-09 1.127E-08 
NO2 4.969E-10 5.478E-10 5.033E-10 5.391E-10 5.541E-10 5.789E-10 5.59E-10 5.835E-10 5.608E-10 6.548E-10 5.436E-10 4.819E-10 3.911E-10 3.179E-10 2.954E-10 2.526E-10 1.583E-10 1.458E-10 1.309E-10 1.012E-10 9.727E-11 1.038E-10 1.622E-10 3.124E-10 4.969E-10 5.478E-10 5.033E-10 5.391E-10 5.541E-10 5.789E-10 5.59E-10 5.835E-10 5.608E-10 6.548E-10 5.436E-10 4.819E-10 3.911E-10 3.179E-10 2.954E-10 2.526E-10 1.583E-10 1.458E-10 1.309E-10 1.012E-10 9.727E-11 1.038E-10 1.622E-10 3.124E-10 4.969E-10 
NO 1.006E-07 1.109E-07 1.02E-07 1.092E-07 1.122E-07 1.173E-07 1.132E-07 1.182E-07 1.136E-07 1.326E-07 1.101E-07 9.76E-08 7.919E-08 6.44E-08 5.985E-08 5.118E-08 3.207E-08 2.953E-08 2.652E-08 2.05E-08 1.969E-08 2.104E-08 3.285E-08 6.328E-08 1.006E-07 1.109E-07 1.02E-07 1.092E-07 1.122E-07 1.173E-07 1.132E-07 1.182E-07 1.136E-07 1.326E-07 1.101E-07 9.76E-08 7.919E-08 6.44E-08 5.985E-08 5.118E-08 3.207E-08 2.953E-08 2.652E-08 2.05E-08 1.969E-08 2.104E-08 3.285E-08 6.328E-08 1.006E-07 
NH3 4.847E-09 4.725E-09 8.896E-09 7.957E-09 8.904E-09 1.021E-08 8.956E-09 9.794E-09 7.311E-09 3.661E-09 2.939E-09 1.386E-09 1.133E-09 1.242E-09 1.48E-09 1.486E-09 5.406E-10 1.469E-09 5.341E-10 5.251E-10 5.376E-10 5.615E-10 5.875E-10 1.491E-09 4.847E-09 4.725E-09 8.896E-09 7.957E-09 8.904E-09 1.021E-08 8.956E-09 9.794E-09 7.311E-09 3.661E-09 2.939E-09 1.386E-09 1.133E-09 1.242E-09 1.48E-09 1.486E-09 5.406E-10 1.469E-09 5.341E-10 5.251E-10 5.376E-10 5.615E-10 5.875E-10 1.491E-09 4.847E-09 
CO 6.655E-07 4.955E-07 3.527E-07 3.785E-07 3.954E-07 4.17E-07 3.949E-07 4.166E-07 5.89E-07 7.513E-07 6.906E-07 3.882E-07 2.843E-07 2.069E-07 1.824E-07 1.411E-07 6.823E-08 6.657E-08 5.443E-08 2.166E-08 1.745E-08 2.596E-08 9.194E-08 3.343E-07 6.655E-07 4.955E-07 3.527E-07 3.785E-07 3.954E-07 4.17E-07 3.949E-07 4.166E-07 5.89E-07 7.513E-07 6.906E-07 3.882E-07 2.843E-07 2.069E-07 1.824E-07 1.411E-07 6.823E-08 6.657E-08 5.443E-08 2.166E-08 1.745E-08 2.596E-08 9.194E-08 3.343E-07 6.655E-07 
ALD2 1.074E-09 8.098E-10 5.931E-10 6.463E-10 6.791E-10 7.145E-10 6.741E-10 7.132E-10 1.042E-09 1.346E-09 1.253E-09 6.823E-10 4.953E-10 3.582E-10 3.158E-10 2.422E-10 1.126E-10 1.115E-10 9.026E-11 3.265E-11 2.542E-11 4.007E-11 1.532E-10 5.501E-10 1.074E-09 8.098E-10 5.931E-10 6.463E-10 6.791E-10 7.145E-10 6.741E-10 7.132E-10 1.042E-09 1.346E-09 1.253E-09 6.823E-10 4.953E-10 3.582E-10 3.158E-10 2.422E-10 1.126E-10 1.115E-10 9.026E-11 3.265E-11 2.542E-11 4.007E-11 1.532E-10 5.501E-10 1.074E-09 
HCHO 5.491E-09 4.36E-09 3.299E-09 3.568E-09 3.723E-09 3.905E-09 3.706E-09 3.901E-09 5.527E-09 7.012E-09 6.357E-09 3.517E-09 2.6E-09 1.909E-09 1.693E-09 1.322E-09 6.337E-10 6.296E-10 5.186E-10 2.321E-10 1.958E-10 2.672E-10 8.373E-10 2.826E-09 5.491E-09 4.36E-09 3.299E-09 3.568E-09 3.723E-09 3.905E-09 3.706E-09 3.901E-09 5.527E-09 7.012E-09 6.357E-09 3.517E-09 2.6E-09 1.909E-09 1.693E-09 1.322E-09 6.337E-10 6.296E-10 5.186E-10 2.321E-10 1.958E-10 2.672E-10 8.373E-10 2.826E-09 5.491E-09 
ETH 2.543E-08 1.913E-08 1.389E-08 1.506E-08 1.579E-08 1.663E-08 1.57E-08 1.657E-08 2.484E-08 3.19E-08 2.955E-08 1.576E-08 1.153E-08 8.421E-09 7.445E-09 5.664E-09 2.686E-09 2.65E-09 2.166E-09 8.476E-10 6.839E-10 1.02E-09 3.648E-09 1.303E-08 2.543E-08 1.913E-08 1.389E-08 1.506E-08 1.579E-08 1.663E-08 1.57E-08 1.657E-08 2.484E-08 3.19E-08 2.955E-08 1.576E-08 1.153E-08 8.421E-09 7.445E-09 5.664E-09 2.686E-09 2.65E-09 2.166E-09 8.476E-10 6.839E-10 1.02E-09 3.648E-09 1.303E-08 2.543E-08 
OLEI 1.176E-08 9.042E-09 6.671E-09 7.253E-09 7.614E-09 8.008E-09 7.595E-09 8.012E-09 1.205E-08 1.541E-08 1.427E-08 7.391E-09 5.374E-09 3.901E-09 3.419E-09 2.646E-09 1.252E-09 1.264E-09 1.014E-09 4.131E-10 3.377E-10 4.904E-10 1.769E-09 6.045E-09 1.176E-08 9.042E-09 6.671E-09 7.253E-09 7.614E-09 8.008E-09 7.595E-09 8.012E-09 1.205E-08 1.541E-08 1.427E-08 7.391E-09 5.374E-09 3.901E-09 3.419E-09 2.646E-09 1.252E-09 1.264E-09 1.014E-09 4.131E-10 3.377E-10 4.904E-10 1.769E-09 6.045E-09 1.176E-08 
OLET 8.382E-09 6.444E-09 4.755E-09 5.169E-09 5.427E-09 5.707E-09 5.413E-09 5.71E-09 8.588E-09 1.099E-08 1.017E-08 5.268E-09 3.83E-09 2.78E-09 2.437E-09 1.886E-09 8.925E-10 9.011E-10 7.224E-10 2.944E-10 2.407E-10 3.495E-10 1.261E-09 4.308E-09 8.382E-09 6.444E-09 4.755E-09 5.169E-09 5.427E-09 5.707E-09 5.413E-09 5.71E-09 8.588E-09 1.099E-08 1.017E-08 5.268E-09 3.83E-09 2.78E-09 2.437E-09 1.886E-09 8.925E-10 9.011E-10 7.224E-10 2.944E-10 2.407E-10 3.495E-10 1.261E-09 4.308E-09 8.382E-09 
TOL 3.853E-09 5.499E-09 4.898E-09 5.068E-09 5.18E-09 5.312E-09 5.19E-09 5.31E-09 6.442E-09 7.194E-09 4.635E-09 2.643E-09 1.944E-09 1.442E-09 1.269E-09 9.947E-10 5.663E-10 4.235E-10 3.407E-10 1.555E-10 1.33E-10 1.801E-10 5.874E-10 1.986E-09 3.853E-09 5.499E-09 4.898E-09 5.068E-09 5.18E-09 5.312E-09 5.19E-09 5.31E-09 6.442E-09 7.194E-09 4.635E-09 2.643E-09 1.944E-09 1.442E-09 1.269E-09 9.947E-10 5.663E-10 4.235E-10 3.407E-10 1.555E-10 1.33E-10 1.801E-10 5.874E-10 1.986E-09 3.853E-09 
XYL 8.582E-09 7.318E-09 5.61E-09 5.992E-09 6.223E-09 6.498E-09 6.223E-09 6.525E-09 9.252E-09 1.142E-08 9.89E-09 5.265E-09 3.87E-09 2.85E-09 2.529E-09 1.996E-09 1.05E-09 1.038E-09 8.334E-10 4.134E-10 3.614E-10 4.689E-10 1.311E-09 4.385E-10 8.582E-09 7.318E-09 5.61E-09 5.992E-09 6.223E-09 6.498E-09 6.223E-09 6.525E-09 9.252E-09 1.142E-08 9.89E-09 5.265E-09 3.87E-09 2.85E-09 2.529E-09 1.996E-09 1.05E-09 1.038E-09 8.334E-10 4.134E-10 3.614E-10 4.689E-10 1.311E-09 4.385E-10 8.582E-09 
