# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 7.054E-09 9.132E-09 8.479E-09 8.662E-09 8.699E-09 8.803E-09 8.737E-09 8.797E-09 9.263E-09 8.902E-09 7.464E-09 6.428E-09 6.369E-09 6.009E-09 5.886E-09 5.728E-09 4.775E-09 4.443E-09 4.392E-09 4.287E-09 4.262E-09 4.287E-09 4.523E-09 5.281E-09 7.054E-09 9.132E-09 8.479E-09 8.662E-09 8.699E-09 8.803E-09 8.737E-09 8.797E-09 9.263E-09 8.902E-09 7.464E-09 6.428E-09 6.369E-09 6.009E-09 5.886E-09 5.728E-09 4.775E-09 4.443E-09 4.392E-09 4.287E-09 4.262E-09 4.287E-09 4.523E-09 5.281E-09 7.054E-09 
NO2 4.479E-09 4.939E-09 4.537E-09 4.86E-09 4.995E-09 5.218E-09 5.039E-09 5.26E-09 5.056E-09 5.903E-09 4.9E-09 4.345E-09 3.525E-09 2.866E-09 2.663E-09 2.277E-09 1.427E-09 1.314E-09 1.18E-09 9.119E-10 8.769E-10 9.362E-10 1.462E-09 2.816E-09 4.479E-09 4.939E-09 4.537E-09 4.86E-09 4.995E-09 5.218E-09 5.039E-09 5.26E-09 5.056E-09 5.903E-09 4.9E-09 4.345E-09 3.525E-09 2.866E-09 2.663E-09 2.277E-09 1.427E-09 1.314E-09 1.18E-09 9.119E-10 8.769E-10 9.362E-10 1.462E-09 2.816E-09 4.479E-09 
NO 9.354E-08 1.031E-07 9.478E-08 1.015E-07 1.043E-07 1.09E-07 1.052E-07 1.099E-07 1.056E-07 1.232E-07 1.024E-07 9.072E-08 7.361E-08 5.986E-08 5.563E-08 4.757E-08 2.981E-08 2.745E-08 2.465E-08 1.905E-08 1.83E-08 1.956E-08 3.054E-08 5.882E-08 9.354E-08 1.031E-07 9.478E-08 1.015E-07 1.043E-07 1.09E-07 1.052E-07 1.099E-07 1.056E-07 1.232E-07 1.024E-07 9.072E-08 7.361E-08 5.986E-08 5.563E-08 4.757E-08 2.981E-08 2.745E-08 2.465E-08 1.905E-08 1.83E-08 1.956E-08 3.054E-08 5.882E-08 9.354E-08 
NH3 3.566E-09 3.476E-09 6.545E-09 5.854E-09 6.551E-09 7.509E-09 6.588E-09 7.205E-09 5.379E-09 2.693E-09 2.162E-09 1.019E-09 8.333E-10 9.138E-10 1.089E-09 1.093E-09 3.977E-10 1.081E-09 3.929E-10 3.863E-10 3.955E-10 4.131E-10 4.322E-10 1.097E-09 3.566E-09 3.476E-09 6.545E-09 5.854E-09 6.551E-09 7.509E-09 6.588E-09 7.205E-09 5.379E-09 2.693E-09 2.162E-09 1.019E-09 8.333E-10 9.138E-10 1.089E-09 1.093E-09 3.977E-10 1.081E-09 3.929E-10 3.863E-10 3.955E-10 4.131E-10 4.322E-10 1.097E-09 3.566E-09 
CO 1.143E-06 8.511E-07 6.057E-07 6.5E-07 6.791E-07 7.162E-07 6.782E-07 7.155E-07 1.012E-06 1.29E-06 1.186E-06 6.668E-07 4.883E-07 3.553E-07 3.132E-07 2.423E-07 1.172E-07 1.143E-07 9.348E-08 3.72E-08 2.998E-08 4.459E-08 1.579E-07 5.742E-07 1.143E-06 8.511E-07 6.057E-07 6.5E-07 6.791E-07 7.162E-07 6.782E-07 7.155E-07 1.012E-06 1.29E-06 1.186E-06 6.668E-07 4.883E-07 3.553E-07 3.132E-07 2.423E-07 1.172E-07 1.143E-07 9.348E-08 3.72E-08 2.998E-08 4.459E-08 1.579E-07 5.742E-07 1.143E-06 
ALD2 1.698E-09 1.28E-09 9.373E-10 1.021E-09 1.073E-09 1.129E-09 1.065E-09 1.127E-09 1.647E-09 2.127E-09 1.98E-09 1.078E-09 7.827E-10 5.662E-10 4.99E-10 3.828E-10 1.779E-10 1.762E-10 1.426E-10 5.16E-11 4.018E-11 6.333E-11 2.422E-10 8.694E-10 1.698E-09 1.28E-09 9.373E-10 1.021E-09 1.073E-09 1.129E-09 1.065E-09 1.127E-09 1.647E-09 2.127E-09 1.98E-09 1.078E-09 7.827E-10 5.662E-10 4.99E-10 3.828E-10 1.779E-10 1.762E-10 1.426E-10 5.16E-11 4.018E-11 6.333E-11 2.422E-10 8.694E-10 1.698E-09 
HCHO 3.869E-09 3.073E-09 2.325E-09 2.514E-09 2.624E-09 2.751E-09 2.611E-09 2.749E-09 3.895E-09 4.941E-09 4.48E-09 2.478E-09 1.832E-09 1.345E-09 1.193E-09 9.314E-10 4.465E-10 4.437E-10 3.655E-10 1.636E-10 1.38E-10 1.883E-10 5.9E-10 1.991E-09 3.869E-09 3.073E-09 2.325E-09 2.514E-09 2.624E-09 2.751E-09 2.611E-09 2.749E-09 3.895E-09 4.941E-09 4.48E-09 2.478E-09 1.832E-09 1.345E-09 1.193E-09 9.314E-10 4.465E-10 4.437E-10 3.655E-10 1.636E-10 1.38E-10 1.883E-10 5.9E-10 1.991E-09 3.869E-09 
ETH 2.272E-08 1.709E-08 1.241E-08 1.346E-08 1.411E-08 1.486E-08 1.403E-08 1.481E-08 2.219E-08 2.851E-08 2.641E-08 1.408E-08 1.03E-08 7.526E-09 6.653E-09 5.062E-09 2.4E-09 2.368E-09 1.936E-09 7.575E-10 6.111E-10 9.119E-10 3.26E-09 1.165E-08 2.272E-08 1.709E-08 1.241E-08 1.346E-08 1.411E-08 1.486E-08 1.403E-08 1.481E-08 2.219E-08 2.851E-08 2.641E-08 1.408E-08 1.03E-08 7.526E-09 6.653E-09 5.062E-09 2.4E-09 2.368E-09 1.936E-09 7.575E-10 6.111E-10 9.119E-10 3.26E-09 1.165E-08 2.272E-08 
OLEI 1.502E-09 1.155E-09 8.521E-10 9.263E-10 9.725E-10 1.023E-09 9.7E-10 1.023E-09 1.539E-09 1.969E-09 1.822E-09 9.44E-10 6.864E-10 4.983E-10 4.366E-10 3.379E-10 1.599E-10 1.615E-10 1.295E-10 5.276E-11 4.313E-11 6.263E-11 2.259E-10 7.72E-10 1.502E-09 1.155E-09 8.521E-10 9.263E-10 9.725E-10 1.023E-09 9.7E-10 1.023E-09 1.539E-09 1.969E-09 1.822E-09 9.44E-10 6.864E-10 4.983E-10 4.366E-10 3.379E-10 1.599E-10 1.615E-10 1.295E-10 5.276E-11 4.313E-11 6.263E-11 2.259E-10 7.72E-10 1.502E-09 
OLET 6.002E-09 4.615E-09 3.405E-09 3.701E-09 3.886E-09 4.087E-09 3.876E-09 4.089E-09 6.149E-09 7.866E-09 7.281E-09 3.772E-09 2.743E-09 1.991E-09 1.745E-09 1.35E-09 6.391E-10 6.452E-10 5.173E-10 2.108E-10 1.724E-10 2.503E-10 9.028E-10 3.085E-09 6.002E-09 4.615E-09 3.405E-09 3.701E-09 3.886E-09 4.087E-09 3.876E-09 4.089E-09 6.149E-09 7.866E-09 7.281E-09 3.772E-09 2.743E-09 1.991E-09 1.745E-09 1.35E-09 6.391E-10 6.452E-10 5.173E-10 2.108E-10 1.724E-10 2.503E-10 9.028E-10 3.085E-09 6.002E-09 
TOL 4.517E-09 6.445E-09 5.741E-09 5.94E-09 6.072E-09 6.226E-09 6.084E-09 6.224E-09 7.551E-09 8.432E-09 5.432E-09 3.097E-09 2.279E-09 1.69E-09 1.488E-09 1.166E-09 6.638E-10 4.964E-10 3.994E-10 1.823E-10 1.559E-10 2.111E-10 6.885E-10 2.327E-09 4.517E-09 6.445E-09 5.741E-09 5.94E-09 6.072E-09 6.226E-09 6.084E-09 6.224E-09 7.551E-09 8.432E-09 5.432E-09 3.097E-09 2.279E-09 1.69E-09 1.488E-09 1.166E-09 6.638E-10 4.964E-10 3.994E-10 1.823E-10 1.559E-10 2.111E-10 6.885E-10 2.327E-09 4.517E-09 
XYL 3.411E-10 2.908E-10 2.23E-10 2.381E-10 2.473E-10 2.582E-10 2.473E-10 2.593E-10 3.677E-10 4.537E-10 3.931E-10 2.093E-10 1.538E-10 1.133E-10 1.005E-10 7.932E-11 4.174E-11 4.126E-11 3.312E-11 1.643E-11 1.437E-11 1.864E-11 5.21E-11 1.743E-11 3.411E-10 2.908E-10 2.23E-10 2.381E-10 2.473E-10 2.582E-10 2.473E-10 2.593E-10 3.677E-10 4.537E-10 3.931E-10 2.093E-10 1.538E-10 1.133E-10 1.005E-10 7.932E-11 4.174E-11 4.126E-11 3.312E-11 1.643E-11 1.437E-11 1.864E-11 5.21E-11 1.743E-11 3.411E-10 
