# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 2.026E-09 2.622E-09 2.435E-09 2.487E-09 2.498E-09 2.528E-09 2.509E-09 2.526E-09 2.66E-09 2.556E-09 2.143E-09 1.846E-09 1.829E-09 1.726E-09 1.69E-09 1.645E-09 1.371E-09 1.276E-09 1.261E-09 1.231E-09 1.224E-09 1.231E-09 1.299E-09 1.517E-09 2.026E-09 2.622E-09 2.435E-09 2.487E-09 2.498E-09 2.528E-09 2.509E-09 2.526E-09 2.66E-09 2.556E-09 2.143E-09 1.846E-09 1.829E-09 1.726E-09 1.69E-09 1.645E-09 1.371E-09 1.276E-09 1.261E-09 1.231E-09 1.224E-09 1.231E-09 1.299E-09 1.517E-09 2.026E-09 
NO2 1.098E-09 1.211E-09 1.112E-09 1.191E-09 1.224E-09 1.279E-09 1.235E-09 1.289E-09 1.239E-09 1.447E-09 1.201E-09 1.065E-09 8.642E-10 7.026E-10 6.529E-10 5.581E-10 3.498E-10 3.222E-10 2.893E-10 2.235E-10 2.15E-10 2.295E-10 3.584E-10 6.903E-10 1.098E-09 1.211E-09 1.112E-09 1.191E-09 1.224E-09 1.279E-09 1.235E-09 1.289E-09 1.239E-09 1.447E-09 1.201E-09 1.065E-09 8.642E-10 7.026E-10 6.529E-10 5.581E-10 3.498E-10 3.222E-10 2.893E-10 2.235E-10 2.15E-10 2.295E-10 3.584E-10 6.903E-10 1.098E-09 
NO 4.793E-08 5.284E-08 4.856E-08 5.199E-08 5.344E-08 5.585E-08 5.392E-08 5.63E-08 5.409E-08 6.315E-08 5.244E-08 4.648E-08 3.771E-08 3.067E-08 2.85E-08 2.438E-08 1.527E-08 1.406E-08 1.263E-08 9.762E-09 9.378E-09 1.002E-08 1.565E-08 3.014E-08 4.793E-08 5.284E-08 4.856E-08 5.199E-08 5.344E-08 5.585E-08 5.392E-08 5.63E-08 5.409E-08 6.315E-08 5.244E-08 4.648E-08 3.771E-08 3.067E-08 2.85E-08 2.438E-08 1.527E-08 1.406E-08 1.263E-08 9.762E-09 9.378E-09 1.002E-08 1.565E-08 3.014E-08 4.793E-08 
NH3 1.417E-08 1.381E-08 2.601E-08 2.327E-08 2.603E-08 2.984E-08 2.619E-08 2.864E-08 2.138E-08 1.07E-08 8.594E-09 4.052E-09 3.312E-09 3.632E-09 4.327E-09 4.345E-09 1.581E-09 4.296E-09 1.562E-09 1.535E-09 1.572E-09 1.642E-09 1.718E-09 4.359E-09 1.417E-08 1.381E-08 2.601E-08 2.327E-08 2.603E-08 2.984E-08 2.619E-08 2.864E-08 2.138E-08 1.07E-08 8.594E-09 4.052E-09 3.312E-09 3.632E-09 4.327E-09 4.345E-09 1.581E-09 4.296E-09 1.562E-09 1.535E-09 1.572E-09 1.642E-09 1.718E-09 4.359E-09 1.417E-08 
CO 8.68E-07 6.463E-07 4.6E-07 4.936E-07 5.156E-07 5.439E-07 5.15E-07 5.433E-07 7.682E-07 9.799E-07 9.008E-07 5.063E-07 3.708E-07 2.698E-07 2.378E-07 1.84E-07 8.899E-08 8.682E-08 7.099E-08 2.825E-08 2.277E-08 3.386E-08 1.199E-07 4.36E-07 8.68E-07 6.463E-07 4.6E-07 4.936E-07 5.156E-07 5.439E-07 5.15E-07 5.433E-07 7.682E-07 9.799E-07 9.008E-07 5.063E-07 3.708E-07 2.698E-07 2.378E-07 1.84E-07 8.899E-08 8.682E-08 7.099E-08 2.825E-08 2.277E-08 3.386E-08 1.199E-07 4.36E-07 8.68E-07 
ALD2 2.078E-09 1.566E-09 1.147E-09 1.25E-09 1.314E-09 1.382E-09 1.304E-09 1.38E-09 2.016E-09 2.603E-09 2.424E-09 1.32E-09 9.581E-10 6.93E-10 6.108E-10 4.686E-10 2.178E-10 2.156E-10 1.746E-10 6.316E-11 4.918E-11 7.752E-11 2.964E-10 1.064E-09 2.078E-09 1.566E-09 1.147E-09 1.25E-09 1.314E-09 1.382E-09 1.304E-09 1.38E-09 2.016E-09 2.603E-09 2.424E-09 1.32E-09 9.581E-10 6.93E-10 6.108E-10 4.686E-10 2.178E-10 2.156E-10 1.746E-10 6.316E-11 4.918E-11 7.752E-11 2.964E-10 1.064E-09 2.078E-09 
HCHO 6.608E-09 5.248E-09 3.97E-09 4.294E-09 4.481E-09 4.699E-09 4.46E-09 4.694E-09 6.652E-09 8.439E-09 7.651E-09 4.232E-09 3.129E-09 2.298E-09 2.037E-09 1.591E-09 7.627E-10 7.578E-10 6.242E-10 2.794E-10 2.356E-10 3.215E-10 1.008E-09 3.401E-09 6.608E-09 5.248E-09 3.97E-09 4.294E-09 4.481E-09 4.699E-09 4.46E-09 4.694E-09 6.652E-09 8.439E-09 7.651E-09 4.232E-09 3.129E-09 2.298E-09 2.037E-09 1.591E-09 7.627E-10 7.578E-10 6.242E-10 2.794E-10 2.356E-10 3.215E-10 1.008E-09 3.401E-09 6.608E-09 
ETH 3.746E-09 2.818E-09 2.046E-09 2.219E-09 2.326E-09 2.45E-09 2.314E-09 2.441E-09 3.659E-09 4.7E-09 4.354E-09 2.322E-09 1.699E-09 1.241E-09 1.097E-09 8.345E-10 3.957E-10 3.904E-10 3.191E-10 1.249E-10 1.008E-10 1.503E-10 5.375E-10 1.92E-09 3.746E-09 2.818E-09 2.046E-09 2.219E-09 2.326E-09 2.45E-09 2.314E-09 2.441E-09 3.659E-09 4.7E-09 4.354E-09 2.322E-09 1.699E-09 1.241E-09 1.097E-09 8.345E-10 3.957E-10 3.904E-10 3.191E-10 1.249E-10 1.008E-10 1.503E-10 5.375E-10 1.92E-09 3.746E-09 
OLEI 1.391E-09 1.07E-09 7.892E-10 8.58E-10 9.008E-10 9.473E-10 8.984E-10 9.478E-10 1.425E-09 1.823E-09 1.688E-09 8.744E-10 6.358E-10 4.615E-10 4.044E-10 3.13E-10 1.481E-10 1.496E-10 1.199E-10 4.886E-11 3.995E-11 5.801E-11 2.093E-10 7.151E-10 1.391E-09 1.07E-09 7.892E-10 8.58E-10 9.008E-10 9.473E-10 8.984E-10 9.478E-10 1.425E-09 1.823E-09 1.688E-09 8.744E-10 6.358E-10 4.615E-10 4.044E-10 3.13E-10 1.481E-10 1.496E-10 1.199E-10 4.886E-11 3.995E-11 5.801E-11 2.093E-10 7.151E-10 1.391E-09 
OLET 6.343E-09 4.877E-09 3.598E-09 3.912E-09 4.107E-09 4.319E-09 4.096E-09 4.321E-09 6.499E-09 8.313E-09 7.694E-09 3.986E-09 2.898E-09 2.104E-09 1.844E-09 1.427E-09 6.753E-10 6.819E-10 5.466E-10 2.228E-10 1.821E-10 2.645E-10 9.541E-10 3.26E-09 6.343E-09 4.877E-09 3.598E-09 3.912E-09 4.107E-09 4.319E-09 4.096E-09 4.321E-09 6.499E-09 8.313E-09 7.694E-09 3.986E-09 2.898E-09 2.104E-09 1.844E-09 1.427E-09 6.753E-10 6.819E-10 5.466E-10 2.228E-10 1.821E-10 2.645E-10 9.541E-10 3.26E-09 6.343E-09 
TOL 3.125E-09 4.459E-09 3.972E-09 4.11E-09 4.201E-09 4.307E-09 4.209E-09 4.306E-09 5.224E-09 5.834E-09 3.758E-09 2.143E-09 1.576E-09 1.169E-09 1.029E-09 8.067E-10 4.592E-10 3.434E-10 2.763E-10 1.261E-10 1.079E-10 1.461E-10 4.763E-10 1.61E-09 3.125E-09 4.459E-09 3.972E-09 4.11E-09 4.201E-09 4.307E-09 4.209E-09 4.306E-09 5.224E-09 5.834E-09 3.758E-09 2.143E-09 1.576E-09 1.169E-09 1.029E-09 8.067E-10 4.592E-10 3.434E-10 2.763E-10 1.261E-10 1.079E-10 1.461E-10 4.763E-10 1.61E-09 3.125E-09 
XYL 5.402E-09 4.606E-09 3.531E-09 3.772E-09 3.917E-09 4.09E-09 3.917E-09 4.107E-09 5.824E-09 7.186E-09 6.225E-09 3.314E-09 2.436E-09 1.794E-09 1.592E-09 1.256E-09 6.611E-10 6.535E-10 5.246E-10 2.602E-10 2.275E-10 2.952E-10 8.252E-10 2.76E-10 5.402E-09 4.606E-09 3.531E-09 3.772E-09 3.917E-09 4.09E-09 3.917E-09 4.107E-09 5.824E-09 7.186E-09 6.225E-09 3.314E-09 2.436E-09 1.794E-09 1.592E-09 1.256E-09 6.611E-10 6.535E-10 5.246E-10 2.602E-10 2.275E-10 2.952E-10 8.252E-10 2.76E-10 5.402E-09 
