# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 9.899E-09 1.281E-08 1.19E-08 1.216E-08 1.221E-08 1.235E-08 1.226E-08 1.234E-08 1.3E-08 1.249E-08 1.047E-08 9.02E-09 8.938E-09 8.433E-09 8.26E-09 8.038E-09 6.701E-09 6.235E-09 6.163E-09 6.016E-09 5.981E-09 6.016E-09 6.348E-09 7.411E-09 9.899E-09 1.281E-08 1.19E-08 1.216E-08 1.221E-08 1.235E-08 1.226E-08 1.234E-08 1.3E-08 1.249E-08 1.047E-08 9.02E-09 8.938E-09 8.433E-09 8.26E-09 8.038E-09 6.701E-09 6.235E-09 6.163E-09 6.016E-09 5.981E-09 6.016E-09 6.348E-09 7.411E-09 9.899E-09 
NO2 2.172E-09 2.394E-09 2.2E-09 2.356E-09 2.422E-09 2.53E-09 2.443E-09 2.55E-09 2.451E-09 2.862E-09 2.376E-09 2.106E-09 1.709E-09 1.39E-09 1.291E-09 1.104E-09 6.918E-10 6.372E-10 5.722E-10 4.421E-10 4.251E-10 4.539E-10 7.089E-10 1.365E-09 2.172E-09 2.394E-09 2.2E-09 2.356E-09 2.422E-09 2.53E-09 2.443E-09 2.55E-09 2.451E-09 2.862E-09 2.376E-09 2.106E-09 1.709E-09 1.39E-09 1.291E-09 1.104E-09 6.918E-10 6.372E-10 5.722E-10 4.421E-10 4.251E-10 4.539E-10 7.089E-10 1.365E-09 2.172E-09 
NO 5.173E-08 5.703E-08 5.242E-08 5.613E-08 5.769E-08 6.028E-08 5.82E-08 6.077E-08 5.838E-08 6.817E-08 5.661E-08 5.018E-08 4.071E-08 3.311E-08 3.077E-08 2.631E-08 1.649E-08 1.518E-08 1.363E-08 1.054E-08 1.012E-08 1.082E-08 1.689E-08 3.253E-08 5.173E-08 5.703E-08 5.242E-08 5.613E-08 5.769E-08 6.028E-08 5.82E-08 6.077E-08 5.838E-08 6.817E-08 5.661E-08 5.018E-08 4.071E-08 3.311E-08 3.077E-08 2.631E-08 1.649E-08 1.518E-08 1.363E-08 1.054E-08 1.012E-08 1.082E-08 1.689E-08 3.253E-08 5.173E-08 
NH3 1.59E-08 1.55E-08 2.918E-08 2.61E-08 2.92E-08 3.347E-08 2.937E-08 3.212E-08 2.398E-08 1.201E-08 9.639E-09 4.545E-09 3.715E-09 4.074E-09 4.853E-09 4.874E-09 1.773E-09 4.819E-09 1.752E-09 1.722E-09 1.763E-09 1.842E-09 1.927E-09 4.889E-09 1.59E-08 1.55E-08 2.918E-08 2.61E-08 2.92E-08 3.347E-08 2.937E-08 3.212E-08 2.398E-08 1.201E-08 9.639E-09 4.545E-09 3.715E-09 4.074E-09 4.853E-09 4.874E-09 1.773E-09 4.819E-09 1.752E-09 1.722E-09 1.763E-09 1.842E-09 1.927E-09 4.889E-09 1.59E-08 
CO 6.389E-07 4.757E-07 3.386E-07 3.633E-07 3.796E-07 4.003E-07 3.791E-07 3.999E-07 5.655E-07 7.213E-07 6.63E-07 3.727E-07 2.73E-07 1.986E-07 1.751E-07 1.355E-07 6.55E-08 6.391E-08 5.225E-08 2.079E-08 1.676E-08 2.492E-08 8.827E-08 3.21E-07 6.389E-07 4.757E-07 3.386E-07 3.633E-07 3.796E-07 4.003E-07 3.791E-07 3.999E-07 5.655E-07 7.213E-07 6.63E-07 3.727E-07 2.73E-07 1.986E-07 1.751E-07 1.355E-07 6.55E-08 6.391E-08 5.225E-08 2.079E-08 1.676E-08 2.492E-08 8.827E-08 3.21E-07 6.389E-07 
ALD2 2.58E-09 1.945E-09 1.424E-09 1.552E-09 1.631E-09 1.716E-09 1.619E-09 1.713E-09 2.502E-09 3.231E-09 3.009E-09 1.638E-09 1.189E-09 8.603E-10 7.583E-10 5.817E-10 2.704E-10 2.677E-10 2.167E-10 7.841E-11 6.105E-11 9.623E-11 3.68E-10 1.321E-09 2.58E-09 1.945E-09 1.424E-09 1.552E-09 1.631E-09 1.716E-09 1.619E-09 1.713E-09 2.502E-09 3.231E-09 3.009E-09 1.638E-09 1.189E-09 8.603E-10 7.583E-10 5.817E-10 2.704E-10 2.677E-10 2.167E-10 7.841E-11 6.105E-11 9.623E-11 3.68E-10 1.321E-09 2.58E-09 
HCHO 5.941E-09 4.718E-09 3.57E-09 3.861E-09 4.029E-09 4.225E-09 4.01E-09 4.221E-09 5.98E-09 7.587E-09 6.879E-09 3.805E-09 2.813E-09 2.066E-09 1.832E-09 1.43E-09 6.857E-10 6.813E-10 5.612E-10 2.512E-10 2.118E-10 2.891E-10 9.06E-10 3.058E-09 5.941E-09 4.718E-09 3.57E-09 3.861E-09 4.029E-09 4.225E-09 4.01E-09 4.221E-09 5.98E-09 7.587E-09 6.879E-09 3.805E-09 2.813E-09 2.066E-09 1.832E-09 1.43E-09 6.857E-10 6.813E-10 5.612E-10 2.512E-10 2.118E-10 2.891E-10 9.06E-10 3.058E-09 5.941E-09 
ETH 3.523E-08 2.65E-08 1.924E-08 2.086E-08 2.187E-08 2.303E-08 2.176E-08 2.296E-08 3.441E-08 4.42E-08 4.094E-08 2.183E-08 1.597E-08 1.167E-08 1.032E-08 7.848E-09 3.721E-09 3.671E-09 3.001E-09 1.174E-09 9.475E-10 1.414E-09 5.055E-09 1.806E-08 3.523E-08 2.65E-08 1.924E-08 2.086E-08 2.187E-08 2.303E-08 2.176E-08 2.296E-08 3.441E-08 4.42E-08 4.094E-08 2.183E-08 1.597E-08 1.167E-08 1.032E-08 7.848E-09 3.721E-09 3.671E-09 3.001E-09 1.174E-09 9.475E-10 1.414E-09 5.055E-09 1.806E-08 3.523E-08 
OLEI 3.314E-09 2.548E-09 1.88E-09 2.044E-09 2.146E-09 2.257E-09 2.14E-09 2.258E-09 3.396E-09 4.343E-09 4.02E-09 2.083E-09 1.515E-09 1.099E-09 9.634E-10 7.456E-10 3.529E-10 3.563E-10 2.856E-10 1.164E-10 9.517E-11 1.382E-10 4.985E-10 1.703E-09 3.314E-09 2.548E-09 1.88E-09 2.044E-09 2.146E-09 2.257E-09 2.14E-09 2.258E-09 3.396E-09 4.343E-09 4.02E-09 2.083E-09 1.515E-09 1.099E-09 9.634E-10 7.456E-10 3.529E-10 3.563E-10 2.856E-10 1.164E-10 9.517E-11 1.382E-10 4.985E-10 1.703E-09 3.314E-09 
OLET 4.006E-09 3.08E-09 2.272E-09 2.47E-09 2.594E-09 2.728E-09 2.587E-09 2.729E-09 4.104E-09 5.25E-09 4.859E-09 2.518E-09 1.831E-09 1.329E-09 1.164E-09 9.011E-10 4.265E-10 4.306E-10 3.452E-10 1.407E-10 1.15E-10 1.67E-10 6.026E-10 2.059E-09 4.006E-09 3.08E-09 2.272E-09 2.47E-09 2.594E-09 2.728E-09 2.587E-09 2.729E-09 4.104E-09 5.25E-09 4.859E-09 2.518E-09 1.831E-09 1.329E-09 1.164E-09 9.011E-10 4.265E-10 4.306E-10 3.452E-10 1.407E-10 1.15E-10 1.67E-10 6.026E-10 2.059E-09 4.006E-09 
TOL 2.6E-09 3.71E-09 3.305E-09 3.42E-09 3.496E-09 3.584E-09 3.502E-09 3.583E-09 4.347E-09 4.854E-09 3.127E-09 1.783E-09 1.312E-09 9.73E-10 8.566E-10 6.712E-10 3.821E-10 2.858E-10 2.299E-10 1.049E-10 8.976E-11 1.215E-10 3.964E-10 1.34E-09 2.6E-09 3.71E-09 3.305E-09 3.42E-09 3.496E-09 3.584E-09 3.502E-09 3.583E-09 4.347E-09 4.854E-09 3.127E-09 1.783E-09 1.312E-09 9.73E-10 8.566E-10 6.712E-10 3.821E-10 2.858E-10 2.299E-10 1.049E-10 8.976E-11 1.215E-10 3.964E-10 1.34E-09 2.6E-09 
XYL 6.657E-09 5.676E-09 4.352E-09 4.648E-09 4.827E-09 5.04E-09 4.827E-09 5.062E-09 7.177E-09 8.856E-09 7.672E-09 4.084E-09 3.002E-09 2.21E-09 1.962E-09 1.548E-09 8.147E-10 8.053E-10 6.465E-10 3.207E-10 2.804E-10 3.637E-10 1.017E-09 3.402E-10 6.657E-09 5.676E-09 4.352E-09 4.648E-09 4.827E-09 5.04E-09 4.827E-09 5.062E-09 7.177E-09 8.856E-09 7.672E-09 4.084E-09 3.002E-09 2.21E-09 1.962E-09 1.548E-09 8.147E-10 8.053E-10 6.465E-10 3.207E-10 2.804E-10 3.637E-10 1.017E-09 3.402E-10 6.657E-09 
