# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 8.311E-09 1.076E-08 9.99E-09 1.021E-08 1.025E-08 1.037E-08 1.029E-08 1.036E-08 1.091E-08 1.049E-08 8.794E-09 7.573E-09 7.505E-09 7.081E-09 6.935E-09 6.749E-09 5.626E-09 5.235E-09 5.174E-09 5.051E-09 5.021E-09 5.051E-09 5.33E-09 6.223E-09 8.311E-09 1.076E-08 9.99E-09 1.021E-08 1.025E-08 1.037E-08 1.029E-08 1.036E-08 1.091E-08 1.049E-08 8.794E-09 7.573E-09 7.505E-09 7.081E-09 6.935E-09 6.749E-09 5.626E-09 5.235E-09 5.174E-09 5.051E-09 5.021E-09 5.051E-09 5.33E-09 6.223E-09 8.311E-09 
NO2 5.295E-09 5.838E-09 5.363E-09 5.745E-09 5.904E-09 6.169E-09 5.957E-09 6.218E-09 5.976E-09 6.978E-09 5.792E-09 5.136E-09 4.167E-09 3.388E-09 3.148E-09 2.691E-09 1.687E-09 1.554E-09 1.395E-09 1.078E-09 1.037E-09 1.107E-09 1.728E-09 3.329E-09 5.295E-09 5.838E-09 5.363E-09 5.745E-09 5.904E-09 6.169E-09 5.957E-09 6.218E-09 5.976E-09 6.978E-09 5.792E-09 5.136E-09 4.167E-09 3.388E-09 3.148E-09 2.691E-09 1.687E-09 1.554E-09 1.395E-09 1.078E-09 1.037E-09 1.107E-09 1.728E-09 3.329E-09 5.295E-09 
NO 5.84E-08 6.438E-08 5.917E-08 6.335E-08 6.512E-08 6.805E-08 6.57E-08 6.86E-08 6.59E-08 7.695E-08 6.39E-08 5.664E-08 4.595E-08 3.737E-08 3.473E-08 2.97E-08 1.861E-08 1.714E-08 1.539E-08 1.189E-08 1.143E-08 1.221E-08 1.907E-08 3.672E-08 5.84E-08 6.438E-08 5.917E-08 6.335E-08 6.512E-08 6.805E-08 6.57E-08 6.86E-08 6.59E-08 7.695E-08 6.39E-08 5.664E-08 4.595E-08 3.737E-08 3.473E-08 2.97E-08 1.861E-08 1.714E-08 1.539E-08 1.189E-08 1.143E-08 1.221E-08 1.907E-08 3.672E-08 5.84E-08 
NH3 1.744E-08 1.701E-08 3.202E-08 2.864E-08 3.205E-08 3.674E-08 3.223E-08 3.525E-08 2.631E-08 1.318E-08 1.058E-08 4.987E-09 4.077E-09 4.471E-09 5.326E-09 5.349E-09 1.946E-09 5.288E-09 1.922E-09 1.89E-09 1.935E-09 2.021E-09 2.115E-09 5.365E-09 1.744E-08 1.701E-08 3.202E-08 2.864E-08 3.205E-08 3.674E-08 3.223E-08 3.525E-08 2.631E-08 1.318E-08 1.058E-08 4.987E-09 4.077E-09 4.471E-09 5.326E-09 5.349E-09 1.946E-09 5.288E-09 1.922E-09 1.89E-09 1.935E-09 2.021E-09 2.115E-09 5.365E-09 1.744E-08 
CO 1.359E-06 1.012E-06 7.201E-07 7.728E-07 8.073E-07 8.515E-07 8.062E-07 8.506E-07 1.203E-06 1.534E-06 1.41E-06 7.927E-07 5.805E-07 4.224E-07 3.723E-07 2.881E-07 1.393E-07 1.359E-07 1.111E-07 4.422E-08 3.564E-08 5.301E-08 1.877E-07 6.826E-07 1.359E-06 1.012E-06 7.201E-07 7.728E-07 8.073E-07 8.515E-07 8.062E-07 8.506E-07 1.203E-06 1.534E-06 1.41E-06 7.927E-07 5.805E-07 4.224E-07 3.723E-07 2.881E-07 1.393E-07 1.359E-07 1.111E-07 4.422E-08 3.564E-08 5.301E-08 1.877E-07 6.826E-07 1.359E-06 
ALD2 2.306E-09 1.738E-09 1.273E-09 1.387E-09 1.458E-09 1.533E-09 1.447E-09 1.531E-09 2.236E-09 2.888E-09 2.689E-09 1.464E-09 1.063E-09 7.689E-10 6.777E-10 5.199E-10 2.417E-10 2.392E-10 1.937E-10 7.007E-11 5.456E-11 8.6E-11 3.289E-10 1.181E-09 2.306E-09 1.738E-09 1.273E-09 1.387E-09 1.458E-09 1.533E-09 1.447E-09 1.531E-09 2.236E-09 2.888E-09 2.689E-09 1.464E-09 1.063E-09 7.689E-10 6.777E-10 5.199E-10 2.417E-10 2.392E-10 1.937E-10 7.007E-11 5.456E-11 8.6E-11 3.289E-10 1.181E-09 2.306E-09 
HCHO 5.094E-09 4.046E-09 3.061E-09 3.31E-09 3.455E-09 3.623E-09 3.438E-09 3.619E-09 5.128E-09 6.506E-09 5.898E-09 3.263E-09 2.412E-09 1.771E-09 1.571E-09 1.226E-09 5.88E-10 5.842E-10 4.812E-10 2.154E-10 1.816E-10 2.479E-10 7.769E-10 2.622E-09 5.094E-09 4.046E-09 3.061E-09 3.31E-09 3.455E-09 3.623E-09 3.438E-09 3.619E-09 5.128E-09 6.506E-09 5.898E-09 3.263E-09 2.412E-09 1.771E-09 1.571E-09 1.226E-09 5.88E-10 5.842E-10 4.812E-10 2.154E-10 1.816E-10 2.479E-10 7.769E-10 2.622E-09 5.094E-09 
ETH 4.984E-09 3.749E-09 2.722E-09 2.951E-09 3.094E-09 3.259E-09 3.078E-09 3.248E-09 4.868E-09 6.253E-09 5.792E-09 3.089E-09 2.26E-09 1.651E-09 1.459E-09 1.11E-09 5.264E-10 5.194E-10 4.245E-10 1.661E-10 1.34E-10 2E-10 7.151E-10 2.554E-09 4.984E-09 3.749E-09 2.722E-09 2.951E-09 3.094E-09 3.259E-09 3.078E-09 3.248E-09 4.868E-09 6.253E-09 5.792E-09 3.089E-09 2.26E-09 1.651E-09 1.459E-09 1.11E-09 5.264E-10 5.194E-10 4.245E-10 1.661E-10 1.34E-10 2E-10 7.151E-10 2.554E-09 4.984E-09 
OLEI 5.457E-09 4.195E-09 3.095E-09 3.365E-09 3.533E-09 3.715E-09 3.524E-09 3.717E-09 5.591E-09 7.151E-09 6.619E-09 3.429E-09 2.494E-09 1.81E-09 1.586E-09 1.227E-09 5.81E-10 5.866E-10 4.703E-10 1.916E-10 1.567E-10 2.275E-10 8.208E-10 2.805E-09 5.457E-09 4.195E-09 3.095E-09 3.365E-09 3.533E-09 3.715E-09 3.524E-09 3.717E-09 5.591E-09 7.151E-09 6.619E-09 3.429E-09 2.494E-09 1.81E-09 1.586E-09 1.227E-09 5.81E-10 5.866E-10 4.703E-10 1.916E-10 1.567E-10 2.275E-10 8.208E-10 2.805E-09 5.457E-09 
OLET 8.055E-09 6.193E-09 4.569E-09 4.967E-09 5.215E-09 5.484E-09 5.201E-09 5.487E-09 8.252E-09 1.056E-08 9.77E-09 5.062E-09 3.681E-09 2.672E-09 2.341E-09 1.812E-09 8.576E-10 8.659E-10 6.941E-10 2.829E-10 2.313E-10 3.358E-10 1.212E-09 4.14E-09 8.055E-09 6.193E-09 4.569E-09 4.967E-09 5.215E-09 5.484E-09 5.201E-09 5.487E-09 8.252E-09 1.056E-08 9.77E-09 5.062E-09 3.681E-09 2.672E-09 2.341E-09 1.812E-09 8.576E-10 8.659E-10 6.941E-10 2.829E-10 2.313E-10 3.358E-10 1.212E-09 4.14E-09 8.055E-09 
TOL 1.015E-08 1.449E-08 1.29E-08 1.335E-08 1.365E-08 1.399E-08 1.367E-08 1.399E-08 1.697E-08 1.895E-08 1.221E-08 6.962E-09 5.121E-09 3.799E-09 3.344E-09 2.621E-09 1.492E-09 1.116E-09 8.977E-10 4.096E-10 3.504E-10 4.745E-10 1.547E-09 5.231E-09 1.015E-08 1.449E-08 1.29E-08 1.335E-08 1.365E-08 1.399E-08 1.367E-08 1.399E-08 1.697E-08 1.895E-08 1.221E-08 6.962E-09 5.121E-09 3.799E-09 3.344E-09 2.621E-09 1.492E-09 1.116E-09 8.977E-10 4.096E-10 3.504E-10 4.745E-10 1.547E-09 5.231E-09 1.015E-08 
XYL 6.685E-09 5.7E-09 4.37E-09 4.667E-09 4.848E-09 5.061E-09 4.848E-09 5.083E-09 7.207E-09 8.893E-09 7.704E-09 4.101E-09 3.015E-09 2.22E-09 1.97E-09 1.555E-09 8.181E-10 8.087E-10 6.492E-10 3.22E-10 2.816E-10 3.653E-10 1.021E-09 3.416E-10 6.685E-09 5.7E-09 4.37E-09 4.667E-09 4.848E-09 5.061E-09 4.848E-09 5.083E-09 7.207E-09 8.893E-09 7.704E-09 4.101E-09 3.015E-09 2.22E-09 1.97E-09 1.555E-09 8.181E-10 8.087E-10 6.492E-10 3.22E-10 2.816E-10 3.653E-10 1.021E-09 3.416E-10 6.685E-09 
