# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 1.362E-08 1.763E-08 1.637E-08 1.672E-08 1.679E-08 1.7E-08 1.687E-08 1.698E-08 1.788E-08 1.719E-08 1.441E-08 1.241E-08 1.23E-08 1.16E-08 1.136E-08 1.106E-08 9.219E-09 8.578E-09 8.479E-09 8.276E-09 8.228E-09 8.276E-09 8.733E-09 1.02E-08 1.362E-08 1.763E-08 1.637E-08 1.672E-08 1.679E-08 1.7E-08 1.687E-08 1.698E-08 1.788E-08 1.719E-08 1.441E-08 1.241E-08 1.23E-08 1.16E-08 1.136E-08 1.106E-08 9.219E-09 8.578E-09 8.479E-09 8.276E-09 8.228E-09 8.276E-09 8.733E-09 1.02E-08 1.362E-08 
NO2 5.148E-09 5.676E-09 5.215E-09 5.586E-09 5.741E-09 5.998E-09 5.792E-09 6.046E-09 5.811E-09 6.785E-09 5.632E-09 4.994E-09 4.052E-09 3.294E-09 3.061E-09 2.617E-09 1.64E-09 1.511E-09 1.357E-09 1.048E-09 1.008E-09 1.076E-09 1.681E-09 3.237E-09 5.148E-09 5.676E-09 5.215E-09 5.586E-09 5.741E-09 5.998E-09 5.792E-09 6.046E-09 5.811E-09 6.785E-09 5.632E-09 4.994E-09 4.052E-09 3.294E-09 3.061E-09 2.617E-09 1.64E-09 1.511E-09 1.357E-09 1.048E-09 1.008E-09 1.076E-09 1.681E-09 3.237E-09 5.148E-09 
NO 6.565E-08 7.237E-08 6.651E-08 7.122E-08 7.32E-08 7.649E-08 7.386E-08 7.711E-08 7.408E-08 8.65E-08 7.183E-08 6.367E-08 5.166E-08 4.201E-08 3.904E-08 3.339E-08 2.092E-08 1.926E-08 1.73E-08 1.337E-08 1.285E-08 1.373E-08 2.143E-08 4.128E-08 6.565E-08 7.237E-08 6.651E-08 7.122E-08 7.32E-08 7.649E-08 7.386E-08 7.711E-08 7.408E-08 8.65E-08 7.183E-08 6.367E-08 5.166E-08 4.201E-08 3.904E-08 3.339E-08 2.092E-08 1.926E-08 1.73E-08 1.337E-08 1.285E-08 1.373E-08 2.143E-08 4.128E-08 6.565E-08 
NH3 2.326E-09 2.267E-09 4.268E-09 3.818E-09 4.272E-09 4.897E-09 4.297E-09 4.699E-09 3.508E-09 1.757E-09 1.41E-09 6.649E-10 5.435E-10 5.96E-10 7.101E-10 7.131E-10 2.594E-10 7.05E-10 2.563E-10 2.52E-10 2.58E-10 2.694E-10 2.819E-10 7.153E-10 2.326E-09 2.267E-09 4.268E-09 3.818E-09 4.272E-09 4.897E-09 4.297E-09 4.699E-09 3.508E-09 1.757E-09 1.41E-09 6.649E-10 5.435E-10 5.96E-10 7.101E-10 7.131E-10 2.594E-10 7.05E-10 2.563E-10 2.52E-10 2.58E-10 2.694E-10 2.819E-10 7.153E-10 2.326E-09 
CO 1.316E-06 9.799E-07 6.974E-07 7.484E-07 7.818E-07 8.246E-07 7.808E-07 8.238E-07 1.165E-06 1.486E-06 1.366E-06 7.677E-07 5.622E-07 4.091E-07 3.606E-07 2.79E-07 1.349E-07 1.316E-07 1.076E-07 4.282E-08 3.452E-08 5.134E-08 1.818E-07 6.611E-07 1.316E-06 9.799E-07 6.974E-07 7.484E-07 7.818E-07 8.246E-07 7.808E-07 8.238E-07 1.165E-06 1.486E-06 1.366E-06 7.677E-07 5.622E-07 4.091E-07 3.606E-07 2.79E-07 1.349E-07 1.316E-07 1.076E-07 4.282E-08 3.452E-08 5.134E-08 1.818E-07 6.611E-07 1.316E-06 
ALD2 2.319E-10 1.748E-10 1.28E-10 1.395E-10 1.466E-10 1.542E-10 1.455E-10 1.54E-10 2.249E-10 2.905E-10 2.705E-10 1.473E-10 1.069E-10 7.733E-11 6.816E-11 5.229E-11 2.431E-11 2.406E-11 1.948E-11 7.048E-12 5.488E-12 8.65E-12 3.308E-11 1.188E-10 2.319E-10 1.748E-10 1.28E-10 1.395E-10 1.466E-10 1.542E-10 1.455E-10 1.54E-10 2.249E-10 2.905E-10 2.705E-10 1.473E-10 1.069E-10 7.733E-11 6.816E-11 5.229E-11 2.431E-11 2.406E-11 1.948E-11 7.048E-12 5.488E-12 8.65E-12 3.308E-11 1.188E-10 2.319E-10 
HCHO 2.154E-09 1.711E-09 1.294E-09 1.4E-09 1.461E-09 1.532E-09 1.454E-09 1.53E-09 2.169E-09 2.751E-09 2.494E-09 1.38E-09 1.02E-09 7.49E-10 6.642E-10 5.186E-10 2.486E-10 2.47E-10 2.035E-10 9.108E-11 7.681E-11 1.048E-10 3.285E-10 1.109E-09 2.154E-09 1.711E-09 1.294E-09 1.4E-09 1.461E-09 1.532E-09 1.454E-09 1.53E-09 2.169E-09 2.751E-09 2.494E-09 1.38E-09 1.02E-09 7.49E-10 6.642E-10 5.186E-10 2.486E-10 2.47E-10 2.035E-10 9.108E-11 7.681E-11 1.048E-10 3.285E-10 1.109E-09 2.154E-09 
ETH 5.224E-09 3.93E-09 2.854E-09 3.094E-09 3.244E-09 3.416E-09 3.227E-09 3.405E-09 5.103E-09 6.555E-09 6.072E-09 3.238E-09 2.369E-09 1.73E-09 1.53E-09 1.164E-09 5.518E-10 5.444E-10 4.45E-10 1.742E-10 1.405E-10 2.096E-10 7.496E-10 2.678E-09 5.224E-09 3.93E-09 2.854E-09 3.094E-09 3.244E-09 3.416E-09 3.227E-09 3.405E-09 5.103E-09 6.555E-09 6.072E-09 3.238E-09 2.369E-09 1.73E-09 1.53E-09 1.164E-09 5.518E-10 5.444E-10 4.45E-10 1.742E-10 1.405E-10 2.096E-10 7.496E-10 2.678E-09 5.224E-09 
OLEI 8.699E-09 6.688E-09 4.935E-09 5.365E-09 5.632E-09 5.923E-09 5.618E-09 5.926E-09 8.913E-09 1.14E-08 1.055E-08 5.467E-09 3.975E-09 2.886E-09 2.529E-09 1.957E-09 9.263E-10 9.352E-10 7.497E-10 3.055E-10 2.498E-10 3.627E-10 1.309E-09 4.471E-09 8.699E-09 6.688E-09 4.935E-09 5.365E-09 5.632E-09 5.923E-09 5.618E-09 5.926E-09 8.913E-09 1.14E-08 1.055E-08 5.467E-09 3.975E-09 2.886E-09 2.529E-09 1.957E-09 9.263E-10 9.352E-10 7.497E-10 3.055E-10 2.498E-10 3.627E-10 1.309E-09 4.471E-09 8.699E-09 
OLET 4.163E-09 3.201E-09 2.362E-09 2.567E-09 2.696E-09 2.835E-09 2.689E-09 2.836E-09 4.266E-09 5.456E-09 5.05E-09 2.616E-09 1.903E-09 1.381E-09 1.21E-09 9.366E-10 4.433E-10 4.476E-10 3.588E-10 1.462E-10 1.196E-10 1.736E-10 6.263E-10 2.14E-09 4.163E-09 3.201E-09 2.362E-09 2.567E-09 2.696E-09 2.835E-09 2.689E-09 2.836E-09 4.266E-09 5.456E-09 5.05E-09 2.616E-09 1.903E-09 1.381E-09 1.21E-09 9.366E-10 4.433E-10 4.476E-10 3.588E-10 1.462E-10 1.196E-10 1.736E-10 6.263E-10 2.14E-09 4.163E-09 
TOL 9.07E-09 1.294E-08 1.153E-08 1.193E-08 1.219E-08 1.25E-08 1.222E-08 1.25E-08 1.516E-08 1.693E-08 1.091E-08 6.22E-09 4.576E-09 3.394E-09 2.988E-09 2.342E-09 1.333E-09 9.968E-10 8.021E-10 3.66E-10 3.131E-10 4.24E-10 1.383E-09 4.674E-09 9.07E-09 1.294E-08 1.153E-08 1.193E-08 1.219E-08 1.25E-08 1.222E-08 1.25E-08 1.516E-08 1.693E-08 1.091E-08 6.22E-09 4.576E-09 3.394E-09 2.988E-09 2.342E-09 1.333E-09 9.968E-10 8.021E-10 3.66E-10 3.131E-10 4.24E-10 1.383E-09 4.674E-09 9.07E-09 
XYL 1.041E-08 8.875E-09 6.804E-09 7.267E-09 7.547E-09 7.88E-09 7.547E-09 7.914E-09 1.122E-08 1.385E-08 1.199E-08 6.386E-09 4.694E-09 3.456E-09 3.067E-09 2.42E-09 1.274E-09 1.259E-09 1.011E-09 5.014E-10 4.383E-10 5.687E-10 1.59E-09 5.319E-10 1.041E-08 8.875E-09 6.804E-09 7.267E-09 7.547E-09 7.88E-09 7.547E-09 7.914E-09 1.122E-08 1.385E-08 1.199E-08 6.386E-09 4.694E-09 3.456E-09 3.067E-09 2.42E-09 1.274E-09 1.259E-09 1.011E-09 5.014E-10 4.383E-10 5.687E-10 1.59E-09 5.319E-10 1.041E-08 
