# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 5.809E-09 7.519E-09 6.982E-09 7.132E-09 7.163E-09 7.249E-09 7.194E-09 7.244E-09 7.628E-09 7.33E-09 6.146E-09 5.293E-09 5.245E-09 4.948E-09 4.847E-09 4.717E-09 3.932E-09 3.659E-09 3.616E-09 3.53E-09 3.509E-09 3.53E-09 3.725E-09 4.349E-09 5.809E-09 7.519E-09 6.982E-09 7.132E-09 7.163E-09 7.249E-09 7.194E-09 7.244E-09 7.628E-09 7.33E-09 6.146E-09 5.293E-09 5.245E-09 4.948E-09 4.847E-09 4.717E-09 3.932E-09 3.659E-09 3.616E-09 3.53E-09 3.509E-09 3.53E-09 3.725E-09 4.349E-09 5.809E-09 
NO2 1.14E-09 1.257E-09 1.155E-09 1.237E-09 1.271E-09 1.328E-09 1.282E-09 1.338E-09 1.286E-09 1.502E-09 1.247E-09 1.106E-09 8.971E-10 7.294E-10 6.777E-10 5.793E-10 3.631E-10 3.344E-10 3.003E-10 2.32E-10 2.231E-10 2.382E-10 3.721E-10 7.165E-10 1.14E-09 1.257E-09 1.155E-09 1.237E-09 1.271E-09 1.328E-09 1.282E-09 1.338E-09 1.286E-09 1.502E-09 1.247E-09 1.106E-09 8.971E-10 7.294E-10 6.777E-10 5.793E-10 3.631E-10 3.344E-10 3.003E-10 2.32E-10 2.231E-10 2.382E-10 3.721E-10 7.165E-10 1.14E-09 
NO 6.594E-09 7.269E-09 6.681E-09 7.153E-09 7.353E-09 7.683E-09 7.418E-09 7.745E-09 7.441E-09 8.688E-09 7.215E-09 6.395E-09 5.189E-09 4.22E-09 3.921E-09 3.354E-09 2.101E-09 1.935E-09 1.738E-09 1.343E-09 1.29E-09 1.379E-09 2.153E-09 4.146E-09 6.594E-09 7.269E-09 6.681E-09 7.153E-09 7.353E-09 7.683E-09 7.418E-09 7.745E-09 7.441E-09 8.688E-09 7.215E-09 6.395E-09 5.189E-09 4.22E-09 3.921E-09 3.354E-09 2.101E-09 1.935E-09 1.738E-09 1.343E-09 1.29E-09 1.379E-09 2.153E-09 4.146E-09 6.594E-09 
NH3 1.35E-08 1.316E-08 2.478E-08 2.217E-08 2.48E-08 2.843E-08 2.495E-08 2.728E-08 2.037E-08 1.02E-08 8.187E-09 3.86E-09 3.155E-09 3.46E-09 4.122E-09 4.14E-09 1.506E-09 4.093E-09 1.488E-09 1.463E-09 1.498E-09 1.564E-09 1.637E-09 4.153E-09 1.35E-08 1.316E-08 2.478E-08 2.217E-08 2.48E-08 2.843E-08 2.495E-08 2.728E-08 2.037E-08 1.02E-08 8.187E-09 3.86E-09 3.155E-09 3.46E-09 4.122E-09 4.14E-09 1.506E-09 4.093E-09 1.488E-09 1.463E-09 1.498E-09 1.564E-09 1.637E-09 4.153E-09 1.35E-08 
CO 1.409E-06 1.049E-06 7.468E-07 8.014E-07 8.372E-07 8.83E-07 8.361E-07 8.821E-07 1.247E-06 1.591E-06 1.462E-06 8.221E-07 6.021E-07 4.381E-07 3.862E-07 2.988E-07 1.445E-07 1.41E-07 1.153E-07 4.586E-08 3.696E-08 5.497E-08 1.947E-07 7.079E-07 1.409E-06 1.049E-06 7.468E-07 8.014E-07 8.372E-07 8.83E-07 8.361E-07 8.821E-07 1.247E-06 1.591E-06 1.462E-06 8.221E-07 6.021E-07 4.381E-07 3.862E-07 2.988E-07 1.445E-07 1.41E-07 1.153E-07 4.586E-08 3.696E-08 5.497E-08 1.947E-07 7.079E-07 1.409E-06 
ALD2 8.438E-10 6.361E-10 4.659E-10 5.077E-10 5.335E-10 5.612E-10 5.295E-10 5.602E-10 8.186E-10 1.057E-09 9.841E-10 5.36E-10 3.89E-10 2.814E-10 2.48E-10 1.903E-10 8.845E-11 8.756E-11 7.09E-11 2.565E-11 1.997E-11 3.148E-11 1.204E-10 4.321E-10 8.438E-10 6.361E-10 4.659E-10 5.077E-10 5.335E-10 5.612E-10 5.295E-10 5.602E-10 8.186E-10 1.057E-09 9.841E-10 5.36E-10 3.89E-10 2.814E-10 2.48E-10 1.903E-10 8.845E-11 8.756E-11 7.09E-11 2.565E-11 1.997E-11 3.148E-11 1.204E-10 4.321E-10 8.438E-10 
HCHO 6.174E-09 4.903E-09 3.71E-09 4.012E-09 4.187E-09 4.391E-09 4.167E-09 4.386E-09 6.215E-09 7.884E-09 7.149E-09 3.954E-09 2.924E-09 2.147E-09 1.903E-09 1.486E-09 7.126E-10 7.08E-10 5.832E-10 2.61E-10 2.201E-10 3.004E-10 9.415E-10 3.178E-09 6.174E-09 4.903E-09 3.71E-09 4.012E-09 4.187E-09 4.391E-09 4.167E-09 4.386E-09 6.215E-09 7.884E-09 7.149E-09 3.954E-09 2.924E-09 2.147E-09 1.903E-09 1.486E-09 7.126E-10 7.08E-10 5.832E-10 2.61E-10 2.201E-10 3.004E-10 9.415E-10 3.178E-09 6.174E-09 
ETH 1.608E-08 1.21E-08 8.785E-09 9.524E-09 9.985E-09 1.052E-08 9.933E-09 1.048E-08 1.571E-08 2.018E-08 1.869E-08 9.968E-09 7.292E-09 5.327E-09 4.709E-09 3.583E-09 1.699E-09 1.676E-09 1.37E-09 5.361E-10 4.326E-10 6.454E-10 2.308E-09 8.243E-09 1.608E-08 1.21E-08 8.785E-09 9.524E-09 9.985E-09 1.052E-08 9.933E-09 1.048E-08 1.571E-08 2.018E-08 1.869E-08 9.968E-09 7.292E-09 5.327E-09 4.709E-09 3.583E-09 1.699E-09 1.676E-09 1.37E-09 5.361E-10 4.326E-10 6.454E-10 2.308E-09 8.243E-09 1.608E-08 
OLEI 1.095E-08 8.419E-09 6.212E-09 6.753E-09 7.09E-09 7.456E-09 7.072E-09 7.46E-09 1.122E-08 1.435E-08 1.328E-08 6.882E-09 5.004E-09 3.632E-09 3.183E-09 2.463E-09 1.166E-09 1.177E-09 9.437E-10 3.846E-10 3.145E-10 4.566E-10 1.647E-09 5.628E-09 1.095E-08 8.419E-09 6.212E-09 6.753E-09 7.09E-09 7.456E-09 7.072E-09 7.46E-09 1.122E-08 1.435E-08 1.328E-08 6.882E-09 5.004E-09 3.632E-09 3.183E-09 2.463E-09 1.166E-09 1.177E-09 9.437E-10 3.846E-10 3.145E-10 4.566E-10 1.647E-09 5.628E-09 1.095E-08 
OLET 5.468E-09 4.204E-09 3.102E-09 3.372E-09 3.54E-09 3.723E-09 3.531E-09 3.725E-09 5.602E-09 7.166E-09 6.633E-09 3.436E-09 2.499E-09 1.814E-09 1.589E-09 1.23E-09 5.822E-10 5.878E-10 4.712E-10 1.92E-10 1.57E-10 2.28E-10 8.225E-10 2.81E-09 5.468E-09 4.204E-09 3.102E-09 3.372E-09 3.54E-09 3.723E-09 3.531E-09 3.725E-09 5.602E-09 7.166E-09 6.633E-09 3.436E-09 2.499E-09 1.814E-09 1.589E-09 1.23E-09 5.822E-10 5.878E-10 4.712E-10 1.92E-10 1.57E-10 2.28E-10 8.225E-10 2.81E-09 5.468E-09 
TOL 3.561E-09 5.082E-09 4.527E-09 4.684E-09 4.788E-09 4.909E-09 4.797E-09 4.908E-09 5.954E-09 6.649E-09 4.284E-09 2.442E-09 1.797E-09 1.333E-09 1.173E-09 9.194E-10 5.234E-10 3.914E-10 3.149E-10 1.437E-10 1.229E-10 1.665E-10 5.429E-10 1.835E-09 3.561E-09 5.082E-09 4.527E-09 4.684E-09 4.788E-09 4.909E-09 4.797E-09 4.908E-09 5.954E-09 6.649E-09 4.284E-09 2.442E-09 1.797E-09 1.333E-09 1.173E-09 9.194E-10 5.234E-10 3.914E-10 3.149E-10 1.437E-10 1.229E-10 1.665E-10 5.429E-10 1.835E-09 3.561E-09 
XYL 8.503E-11 7.25E-11 5.558E-11 5.936E-11 6.166E-11 6.437E-11 6.166E-11 6.465E-11 9.166E-11 1.131E-10 9.798E-11 5.216E-11 3.834E-11 2.823E-11 2.506E-11 1.977E-11 1.041E-11 1.029E-11 8.257E-12 4.096E-12 3.581E-12 4.645E-12 1.299E-11 4.345E-12 8.503E-11 7.25E-11 5.558E-11 5.936E-11 6.166E-11 6.437E-11 6.166E-11 6.465E-11 9.166E-11 1.131E-10 9.798E-11 5.216E-11 3.834E-11 2.823E-11 2.506E-11 1.977E-11 1.041E-11 1.029E-11 8.257E-12 4.096E-12 3.581E-12 4.645E-12 1.299E-11 4.345E-12 8.503E-11 
