# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 5.276E-09 6.83E-09 6.341E-09 6.478E-09 6.506E-09 6.584E-09 6.534E-09 6.579E-09 6.928E-09 6.658E-09 5.582E-09 4.807E-09 4.764E-09 4.495E-09 4.402E-09 4.284E-09 3.571E-09 3.323E-09 3.285E-09 3.206E-09 3.187E-09 3.206E-09 3.383E-09 3.95E-09 5.276E-09 6.83E-09 6.341E-09 6.478E-09 6.506E-09 6.584E-09 6.534E-09 6.579E-09 6.928E-09 6.658E-09 5.582E-09 4.807E-09 4.764E-09 4.495E-09 4.402E-09 4.284E-09 3.571E-09 3.323E-09 3.285E-09 3.206E-09 3.187E-09 3.206E-09 3.383E-09 3.95E-09 5.276E-09 
NO2 8.067E-10 8.894E-10 8.171E-10 8.752E-10 8.995E-10 9.398E-10 9.075E-10 9.472E-10 9.104E-10 1.063E-09 8.824E-10 7.824E-10 6.349E-10 5.162E-10 4.796E-10 4.1E-10 2.57E-10 2.367E-10 2.125E-10 1.642E-10 1.579E-10 1.686E-10 2.633E-10 5.071E-10 8.067E-10 8.894E-10 8.171E-10 8.752E-10 8.995E-10 9.398E-10 9.075E-10 9.472E-10 9.104E-10 1.063E-09 8.824E-10 7.824E-10 6.349E-10 5.162E-10 4.796E-10 4.1E-10 2.57E-10 2.367E-10 2.125E-10 1.642E-10 1.579E-10 1.686E-10 2.633E-10 5.071E-10 8.067E-10 
NO 4.505E-08 4.967E-08 4.565E-08 4.887E-08 5.024E-08 5.249E-08 5.068E-08 5.292E-08 5.084E-08 5.936E-08 4.93E-08 4.369E-08 3.545E-08 2.883E-08 2.679E-08 2.291E-08 1.436E-08 1.322E-08 1.187E-08 9.176E-09 8.816E-09 9.419E-09 1.471E-08 2.833E-08 4.505E-08 4.967E-08 4.565E-08 4.887E-08 5.024E-08 5.249E-08 5.068E-08 5.292E-08 5.084E-08 5.936E-08 4.93E-08 4.369E-08 3.545E-08 2.883E-08 2.679E-08 2.291E-08 1.436E-08 1.322E-08 1.187E-08 9.176E-09 8.816E-09 9.419E-09 1.471E-08 2.833E-08 4.505E-08 
NH3 1.233E-08 1.201E-08 2.262E-08 2.023E-08 2.264E-08 2.595E-08 2.277E-08 2.491E-08 1.859E-08 9.309E-09 7.474E-09 3.524E-09 2.88E-09 3.159E-09 3.763E-09 3.779E-09 1.375E-09 3.736E-09 1.358E-09 1.335E-09 1.367E-09 1.428E-09 1.494E-09 3.791E-09 1.233E-08 1.201E-08 2.262E-08 2.023E-08 2.264E-08 2.595E-08 2.277E-08 2.491E-08 1.859E-08 9.309E-09 7.474E-09 3.524E-09 2.88E-09 3.159E-09 3.763E-09 3.779E-09 1.375E-09 3.736E-09 1.358E-09 1.335E-09 1.367E-09 1.428E-09 1.494E-09 3.791E-09 1.233E-08 
CO 1.43E-06 1.065E-06 7.58E-07 8.135E-07 8.498E-07 8.963E-07 8.487E-07 8.954E-07 1.266E-06 1.615E-06 1.484E-06 8.345E-07 6.111E-07 4.447E-07 3.92E-07 3.033E-07 1.467E-07 1.431E-07 1.17E-07 4.655E-08 3.752E-08 5.58E-08 1.976E-07 7.186E-07 1.43E-06 1.065E-06 7.58E-07 8.135E-07 8.498E-07 8.963E-07 8.487E-07 8.954E-07 1.266E-06 1.615E-06 1.484E-06 8.345E-07 6.111E-07 4.447E-07 3.92E-07 3.033E-07 1.467E-07 1.431E-07 1.17E-07 4.655E-08 3.752E-08 5.58E-08 1.976E-07 7.186E-07 1.43E-06 
ALD2 7.01E-10 5.284E-10 3.87E-10 4.217E-10 4.431E-10 4.662E-10 4.398E-10 4.654E-10 6.8E-10 8.781E-10 8.175E-10 4.452E-10 3.232E-10 2.338E-10 2.06E-10 1.581E-10 7.347E-11 7.273E-11 5.889E-11 2.13E-11 1.659E-11 2.615E-11 1E-10 3.59E-10 7.01E-10 5.284E-10 3.87E-10 4.217E-10 4.431E-10 4.662E-10 4.398E-10 4.654E-10 6.8E-10 8.781E-10 8.175E-10 4.452E-10 3.232E-10 2.338E-10 2.06E-10 1.581E-10 7.347E-11 7.273E-11 5.889E-11 2.13E-11 1.659E-11 2.615E-11 1E-10 3.59E-10 7.01E-10 
HCHO 2.383E-09 1.893E-09 1.432E-09 1.549E-09 1.616E-09 1.695E-09 1.609E-09 1.693E-09 2.399E-09 3.044E-09 2.76E-09 1.527E-09 1.129E-09 8.287E-10 7.348E-10 5.738E-10 2.751E-10 2.733E-10 2.251E-10 1.008E-10 8.498E-11 1.16E-10 3.635E-10 1.227E-09 2.383E-09 1.893E-09 1.432E-09 1.549E-09 1.616E-09 1.695E-09 1.609E-09 1.693E-09 2.399E-09 3.044E-09 2.76E-09 1.527E-09 1.129E-09 8.287E-10 7.348E-10 5.738E-10 2.751E-10 2.733E-10 2.251E-10 1.008E-10 8.498E-11 1.16E-10 3.635E-10 1.227E-09 2.383E-09 
ETH 8.664E-09 6.518E-09 4.733E-09 5.131E-09 5.379E-09 5.665E-09 5.351E-09 5.646E-09 8.463E-09 1.087E-08 1.007E-08 5.37E-09 3.929E-09 2.87E-09 2.537E-09 1.93E-09 9.151E-10 9.03E-10 7.38E-10 2.888E-10 2.33E-10 3.477E-10 1.243E-09 4.441E-09 8.664E-09 6.518E-09 4.733E-09 5.131E-09 5.379E-09 5.665E-09 5.351E-09 5.646E-09 8.463E-09 1.087E-08 1.007E-08 5.37E-09 3.929E-09 2.87E-09 2.537E-09 1.93E-09 9.151E-10 9.03E-10 7.38E-10 2.888E-10 2.33E-10 3.477E-10 1.243E-09 4.441E-09 8.664E-09 
OLEI 2.537E-09 1.95E-09 1.439E-09 1.564E-09 1.642E-09 1.727E-09 1.638E-09 1.728E-09 2.599E-09 3.324E-09 3.077E-09 1.594E-09 1.159E-09 8.414E-10 7.373E-10 5.706E-10 2.701E-10 2.727E-10 2.186E-10 8.909E-11 7.284E-11 1.058E-10 3.815E-10 1.304E-09 2.537E-09 1.95E-09 1.439E-09 1.564E-09 1.642E-09 1.727E-09 1.638E-09 1.728E-09 2.599E-09 3.324E-09 3.077E-09 1.594E-09 1.159E-09 8.414E-10 7.373E-10 5.706E-10 2.701E-10 2.727E-10 2.186E-10 8.909E-11 7.284E-11 1.058E-10 3.815E-10 1.304E-09 2.537E-09 
OLET 6.256E-09 4.81E-09 3.549E-09 3.858E-09 4.05E-09 4.26E-09 4.04E-09 4.262E-09 6.409E-09 8.199E-09 7.588E-09 3.931E-09 2.859E-09 2.075E-09 1.819E-09 1.407E-09 6.661E-10 6.725E-10 5.391E-10 2.197E-10 1.796E-10 2.608E-10 9.41E-10 3.215E-09 6.256E-09 4.81E-09 3.549E-09 3.858E-09 4.05E-09 4.26E-09 4.04E-09 4.262E-09 6.409E-09 8.199E-09 7.588E-09 3.931E-09 2.859E-09 2.075E-09 1.819E-09 1.407E-09 6.661E-10 6.725E-10 5.391E-10 2.197E-10 1.796E-10 2.608E-10 9.41E-10 3.215E-09 6.256E-09 
TOL 6.005E-09 8.569E-09 7.633E-09 7.897E-09 8.073E-09 8.277E-09 8.088E-09 8.274E-09 1.004E-08 1.121E-08 7.222E-09 4.118E-09 3.029E-09 2.247E-09 1.978E-09 1.55E-09 8.824E-10 6.599E-10 5.31E-10 2.423E-10 2.073E-10 2.807E-10 9.153E-10 3.094E-09 6.005E-09 8.569E-09 7.633E-09 7.897E-09 8.073E-09 8.277E-09 8.088E-09 8.274E-09 1.004E-08 1.121E-08 7.222E-09 4.118E-09 3.029E-09 2.247E-09 1.978E-09 1.55E-09 8.824E-10 6.599E-10 5.31E-10 2.423E-10 2.073E-10 2.807E-10 9.153E-10 3.094E-09 6.005E-09 
XYL 6.074E-09 5.179E-09 3.97E-09 4.24E-09 4.404E-09 4.598E-09 4.404E-09 4.618E-09 6.548E-09 8.079E-09 6.999E-09 3.726E-09 2.739E-09 2.017E-09 1.79E-09 1.412E-09 7.433E-10 7.347E-10 5.898E-10 2.926E-10 2.558E-10 3.318E-10 9.277E-10 3.104E-10 6.074E-09 5.179E-09 3.97E-09 4.24E-09 4.404E-09 4.598E-09 4.404E-09 4.618E-09 6.548E-09 8.079E-09 6.999E-09 3.726E-09 2.739E-09 2.017E-09 1.79E-09 1.412E-09 7.433E-10 7.347E-10 5.898E-10 2.926E-10 2.558E-10 3.318E-10 9.277E-10 3.104E-10 6.074E-09 
