# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 1.335E-08 1.728E-08 1.604E-08 1.639E-08 1.646E-08 1.666E-08 1.653E-08 1.664E-08 1.752E-08 1.684E-08 1.412E-08 1.216E-08 1.205E-08 1.137E-08 1.114E-08 1.084E-08 9.034E-09 8.406E-09 8.309E-09 8.11E-09 8.063E-09 8.11E-09 8.558E-09 9.992E-09 1.335E-08 1.728E-08 1.604E-08 1.639E-08 1.646E-08 1.666E-08 1.653E-08 1.664E-08 1.752E-08 1.684E-08 1.412E-08 1.216E-08 1.205E-08 1.137E-08 1.114E-08 1.084E-08 9.034E-09 8.406E-09 8.309E-09 8.11E-09 8.063E-09 8.11E-09 8.558E-09 9.992E-09 1.335E-08 
NO2 1.589E-09 1.752E-09 1.609E-09 1.724E-09 1.772E-09 1.851E-09 1.787E-09 1.866E-09 1.793E-09 2.094E-09 1.738E-09 1.541E-09 1.25E-09 1.017E-09 9.446E-10 8.075E-10 5.061E-10 4.662E-10 4.186E-10 3.234E-10 3.11E-10 3.32E-10 5.186E-10 9.987E-10 1.589E-09 1.752E-09 1.609E-09 1.724E-09 1.772E-09 1.851E-09 1.787E-09 1.866E-09 1.793E-09 2.094E-09 1.738E-09 1.541E-09 1.25E-09 1.017E-09 9.446E-10 8.075E-10 5.061E-10 4.662E-10 4.186E-10 3.234E-10 3.11E-10 3.32E-10 5.186E-10 9.987E-10 1.589E-09 
NO 4.926E-08 5.431E-08 4.991E-08 5.344E-08 5.493E-08 5.74E-08 5.542E-08 5.786E-08 5.559E-08 6.491E-08 5.39E-08 4.778E-08 3.876E-08 3.152E-08 2.93E-08 2.505E-08 1.57E-08 1.446E-08 1.298E-08 1.003E-08 9.64E-09 1.03E-08 1.608E-08 3.098E-08 4.926E-08 5.431E-08 4.991E-08 5.344E-08 5.493E-08 5.74E-08 5.542E-08 5.786E-08 5.559E-08 6.491E-08 5.39E-08 4.778E-08 3.876E-08 3.152E-08 2.93E-08 2.505E-08 1.57E-08 1.446E-08 1.298E-08 1.003E-08 9.64E-09 1.03E-08 1.608E-08 3.098E-08 4.926E-08 
NH3 1.244E-09 1.212E-09 2.283E-09 2.042E-09 2.285E-09 2.619E-09 2.298E-09 2.513E-09 1.876E-09 9.394E-10 7.542E-10 3.556E-10 2.907E-10 3.187E-10 3.797E-10 3.813E-10 1.387E-10 3.77E-10 1.371E-10 1.348E-10 1.38E-10 1.441E-10 1.508E-10 3.825E-10 1.244E-09 1.212E-09 2.283E-09 2.042E-09 2.285E-09 2.619E-09 2.298E-09 2.513E-09 1.876E-09 9.394E-10 7.542E-10 3.556E-10 2.907E-10 3.187E-10 3.797E-10 3.813E-10 1.387E-10 3.77E-10 1.371E-10 1.348E-10 1.38E-10 1.441E-10 1.508E-10 3.825E-10 1.244E-09 
CO 7.074E-07 5.268E-07 3.749E-07 4.023E-07 4.203E-07 4.433E-07 4.197E-07 4.428E-07 6.261E-07 7.987E-07 7.342E-07 4.127E-07 3.022E-07 2.199E-07 1.939E-07 1.5E-07 7.253E-08 7.076E-08 5.786E-08 2.302E-08 1.855E-08 2.76E-08 9.774E-08 3.554E-07 7.074E-07 5.268E-07 3.749E-07 4.023E-07 4.203E-07 4.433E-07 4.197E-07 4.428E-07 6.261E-07 7.987E-07 7.342E-07 4.127E-07 3.022E-07 2.199E-07 1.939E-07 1.5E-07 7.253E-08 7.076E-08 5.786E-08 2.302E-08 1.855E-08 2.76E-08 9.774E-08 3.554E-07 7.074E-07 
ALD2 2.789E-09 2.102E-09 1.54E-09 1.678E-09 1.763E-09 1.855E-09 1.75E-09 1.852E-09 2.705E-09 3.494E-09 3.253E-09 1.771E-09 1.286E-09 9.301E-10 8.198E-10 6.289E-10 2.923E-10 2.894E-10 2.343E-10 8.477E-11 6.601E-11 1.04E-10 3.979E-10 1.428E-09 2.789E-09 2.102E-09 1.54E-09 1.678E-09 1.763E-09 1.855E-09 1.75E-09 1.852E-09 2.705E-09 3.494E-09 3.253E-09 1.771E-09 1.286E-09 9.301E-10 8.198E-10 6.289E-10 2.923E-10 2.894E-10 2.343E-10 8.477E-11 6.601E-11 1.04E-10 3.979E-10 1.428E-09 2.789E-09 
HCHO 1.172E-09 9.305E-10 7.04E-10 7.614E-10 7.946E-10 8.333E-10 7.908E-10 8.324E-10 1.179E-09 1.496E-09 1.357E-09 7.504E-10 5.548E-10 4.074E-10 3.612E-10 2.821E-10 1.352E-10 1.344E-10 1.107E-10 4.954E-11 4.178E-11 5.701E-11 1.787E-10 6.03E-10 1.172E-09 9.305E-10 7.04E-10 7.614E-10 7.946E-10 8.333E-10 7.908E-10 8.324E-10 1.179E-09 1.496E-09 1.357E-09 7.504E-10 5.548E-10 4.074E-10 3.612E-10 2.821E-10 1.352E-10 1.344E-10 1.107E-10 4.954E-11 4.178E-11 5.701E-11 1.787E-10 6.03E-10 1.172E-09 
ETH 4.263E-09 3.207E-09 2.328E-09 2.524E-09 2.647E-09 2.787E-09 2.633E-09 2.778E-09 4.164E-09 5.349E-09 4.954E-09 2.642E-09 1.933E-09 1.412E-09 1.248E-09 9.496E-10 4.502E-10 4.443E-10 3.631E-10 1.421E-10 1.146E-10 1.711E-10 6.116E-10 2.185E-09 4.263E-09 3.207E-09 2.328E-09 2.524E-09 2.647E-09 2.787E-09 2.633E-09 2.778E-09 4.164E-09 5.349E-09 4.954E-09 2.642E-09 1.933E-09 1.412E-09 1.248E-09 9.496E-10 4.502E-10 4.443E-10 3.631E-10 1.421E-10 1.146E-10 1.711E-10 6.116E-10 2.185E-09 4.263E-09 
OLEI 5.515E-09 4.24E-09 3.128E-09 3.401E-09 3.571E-09 3.755E-09 3.561E-09 3.757E-09 5.65E-09 7.227E-09 6.69E-09 3.466E-09 2.52E-09 1.829E-09 1.603E-09 1.241E-09 5.872E-10 5.928E-10 4.753E-10 1.937E-10 1.584E-10 2.299E-10 8.296E-10 2.834E-09 5.515E-09 4.24E-09 3.128E-09 3.401E-09 3.571E-09 3.755E-09 3.561E-09 3.757E-09 5.65E-09 7.227E-09 6.69E-09 3.466E-09 2.52E-09 1.829E-09 1.603E-09 1.241E-09 5.872E-10 5.928E-10 4.753E-10 1.937E-10 1.584E-10 2.299E-10 8.296E-10 2.834E-09 5.515E-09 
OLET 2.639E-09 2.029E-09 1.497E-09 1.627E-09 1.708E-09 1.797E-09 1.704E-09 1.798E-09 2.704E-09 3.458E-09 3.201E-09 1.658E-09 1.206E-09 8.753E-10 7.671E-10 5.936E-10 2.81E-10 2.837E-10 2.274E-10 9.268E-11 7.577E-11 1.1E-10 3.969E-10 1.356E-09 2.639E-09 2.029E-09 1.497E-09 1.627E-09 1.708E-09 1.797E-09 1.704E-09 1.798E-09 2.704E-09 3.458E-09 3.201E-09 1.658E-09 1.206E-09 8.753E-10 7.671E-10 5.936E-10 2.81E-10 2.837E-10 2.274E-10 9.268E-11 7.577E-11 1.1E-10 3.969E-10 1.356E-09 2.639E-09 
TOL 1.242E-09 1.773E-09 1.579E-09 1.634E-09 1.67E-09 1.712E-09 1.673E-09 1.712E-09 2.077E-09 2.319E-09 1.494E-09 8.518E-10 6.267E-10 4.648E-10 4.092E-10 3.207E-10 1.825E-10 1.365E-10 1.098E-10 5.013E-11 4.288E-11 5.807E-11 1.893E-10 6.401E-10 1.242E-09 1.773E-09 1.579E-09 1.634E-09 1.67E-09 1.712E-09 1.673E-09 1.712E-09 2.077E-09 2.319E-09 1.494E-09 8.518E-10 6.267E-10 4.648E-10 4.092E-10 3.207E-10 1.825E-10 1.365E-10 1.098E-10 5.013E-11 4.288E-11 5.807E-11 1.893E-10 6.401E-10 1.242E-09 
XYL 3.154E-09 2.689E-09 2.062E-09 2.202E-09 2.287E-09 2.388E-09 2.287E-09 2.398E-09 3.4E-09 4.196E-09 3.634E-09 1.935E-09 1.422E-09 1.047E-09 9.295E-10 7.334E-10 3.86E-10 3.815E-10 3.063E-10 1.519E-10 1.328E-10 1.723E-10 4.817E-10 1.612E-10 3.154E-09 2.689E-09 2.062E-09 2.202E-09 2.287E-09 2.388E-09 2.287E-09 2.398E-09 3.4E-09 4.196E-09 3.634E-09 1.935E-09 1.422E-09 1.047E-09 9.295E-10 7.334E-10 3.86E-10 3.815E-10 3.063E-10 1.519E-10 1.328E-10 1.723E-10 4.817E-10 1.612E-10 3.154E-09 
