# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 6.055E-09 7.838E-09 7.277E-09 7.435E-09 7.466E-09 7.556E-09 7.499E-09 7.551E-09 7.951E-09 7.641E-09 6.407E-09 5.517E-09 5.467E-09 5.158E-09 5.052E-09 4.916E-09 4.098E-09 3.814E-09 3.77E-09 3.679E-09 3.658E-09 3.679E-09 3.883E-09 4.533E-09 6.055E-09 7.838E-09 7.277E-09 7.435E-09 7.466E-09 7.556E-09 7.499E-09 7.551E-09 7.951E-09 7.641E-09 6.407E-09 5.517E-09 5.467E-09 5.158E-09 5.052E-09 4.916E-09 4.098E-09 3.814E-09 3.77E-09 3.679E-09 3.658E-09 3.679E-09 3.883E-09 4.533E-09 6.055E-09 
NO2 2.766E-09 3.049E-09 2.801E-09 3.001E-09 3.084E-09 3.222E-09 3.111E-09 3.248E-09 3.122E-09 3.645E-09 3.025E-09 2.683E-09 2.177E-09 1.77E-09 1.644E-09 1.406E-09 8.81E-10 8.115E-10 7.288E-10 5.63E-10 5.414E-10 5.78E-10 9.028E-10 1.739E-09 2.766E-09 3.049E-09 2.801E-09 3.001E-09 3.084E-09 3.222E-09 3.111E-09 3.248E-09 3.122E-09 3.645E-09 3.025E-09 2.683E-09 2.177E-09 1.77E-09 1.644E-09 1.406E-09 8.81E-10 8.115E-10 7.288E-10 5.63E-10 5.414E-10 5.78E-10 9.028E-10 1.739E-09 2.766E-09 
NO 4.595E-08 5.066E-08 4.656E-08 4.985E-08 5.124E-08 5.355E-08 5.17E-08 5.398E-08 5.186E-08 6.055E-08 5.028E-08 4.457E-08 3.616E-08 2.941E-08 2.733E-08 2.337E-08 1.464E-08 1.348E-08 1.211E-08 9.36E-09 8.992E-09 9.608E-09 1.5E-08 2.89E-08 4.595E-08 5.066E-08 4.656E-08 4.985E-08 5.124E-08 5.355E-08 5.17E-08 5.398E-08 5.186E-08 6.055E-08 5.028E-08 4.457E-08 3.616E-08 2.941E-08 2.733E-08 2.337E-08 1.464E-08 1.348E-08 1.211E-08 9.36E-09 8.992E-09 9.608E-09 1.5E-08 2.89E-08 4.595E-08 
NH3 1.082E-08 1.054E-08 1.985E-08 1.776E-08 1.987E-08 2.278E-08 1.999E-08 2.186E-08 1.632E-08 8.17E-09 6.559E-09 3.093E-09 2.528E-09 2.772E-09 3.303E-09 3.317E-09 1.206E-09 3.279E-09 1.192E-09 1.172E-09 1.2E-09 1.253E-09 1.311E-09 3.327E-09 1.082E-08 1.054E-08 1.985E-08 1.776E-08 1.987E-08 2.278E-08 1.999E-08 2.186E-08 1.632E-08 8.17E-09 6.559E-09 3.093E-09 2.528E-09 2.772E-09 3.303E-09 3.317E-09 1.206E-09 3.279E-09 1.192E-09 1.172E-09 1.2E-09 1.253E-09 1.311E-09 3.327E-09 1.082E-08 
CO 1.331E-06 9.914E-07 7.055E-07 7.572E-07 7.91E-07 8.343E-07 7.899E-07 8.334E-07 1.178E-06 1.503E-06 1.382E-06 7.767E-07 5.688E-07 4.139E-07 3.648E-07 2.823E-07 1.365E-07 1.332E-07 1.089E-07 4.333E-08 3.492E-08 5.194E-08 1.839E-07 6.688E-07 1.331E-06 9.914E-07 7.055E-07 7.572E-07 7.91E-07 8.343E-07 7.899E-07 8.334E-07 1.178E-06 1.503E-06 1.382E-06 7.767E-07 5.688E-07 4.139E-07 3.648E-07 2.823E-07 1.365E-07 1.332E-07 1.089E-07 4.333E-08 3.492E-08 5.194E-08 1.839E-07 6.688E-07 1.331E-06 
ALD2 1.686E-10 1.271E-10 9.307E-11 1.014E-10 1.066E-10 1.121E-10 1.058E-10 1.119E-10 1.635E-10 2.112E-10 1.966E-10 1.071E-10 7.772E-11 5.622E-11 4.955E-11 3.801E-11 1.767E-11 1.749E-11 1.416E-11 5.124E-12 3.989E-12 6.288E-12 2.405E-11 8.633E-11 1.686E-10 1.271E-10 9.307E-11 1.014E-10 1.066E-10 1.121E-10 1.058E-10 1.119E-10 1.635E-10 2.112E-10 1.966E-10 1.071E-10 7.772E-11 5.622E-11 4.955E-11 3.801E-11 1.767E-11 1.749E-11 1.416E-11 5.124E-12 3.989E-12 6.288E-12 2.405E-11 8.633E-11 1.686E-10 
HCHO 4.924E-09 3.91E-09 2.958E-09 3.2E-09 3.339E-09 3.501E-09 3.323E-09 3.498E-09 4.956E-09 6.288E-09 5.701E-09 3.154E-09 2.331E-09 1.712E-09 1.518E-09 1.185E-09 5.683E-10 5.646E-10 4.651E-10 2.082E-10 1.756E-10 2.396E-10 7.509E-10 2.534E-09 4.924E-09 3.91E-09 2.958E-09 3.2E-09 3.339E-09 3.501E-09 3.323E-09 3.498E-09 4.956E-09 6.288E-09 5.701E-09 3.154E-09 2.331E-09 1.712E-09 1.518E-09 1.185E-09 5.683E-10 5.646E-10 4.651E-10 2.082E-10 1.756E-10 2.396E-10 7.509E-10 2.534E-09 4.924E-09 
ETH 1.584E-08 1.191E-08 8.651E-09 9.379E-09 9.833E-09 1.036E-08 9.781E-09 1.032E-08 1.547E-08 1.987E-08 1.841E-08 9.815E-09 7.181E-09 5.245E-09 4.637E-09 3.528E-09 1.673E-09 1.65E-09 1.349E-09 5.279E-10 4.259E-10 6.355E-10 2.272E-09 8.117E-09 1.584E-08 1.191E-08 8.651E-09 9.379E-09 9.833E-09 1.036E-08 9.781E-09 1.032E-08 1.547E-08 1.987E-08 1.841E-08 9.815E-09 7.181E-09 5.245E-09 4.637E-09 3.528E-09 1.673E-09 1.65E-09 1.349E-09 5.279E-10 4.259E-10 6.355E-10 2.272E-09 8.117E-09 1.584E-08 
OLEI 5.356E-09 4.118E-09 3.038E-09 3.303E-09 3.468E-09 3.647E-09 3.459E-09 3.649E-09 5.488E-09 7.019E-09 6.497E-09 3.366E-09 2.448E-09 1.777E-09 1.557E-09 1.205E-09 5.703E-10 5.758E-10 4.616E-10 1.881E-10 1.538E-10 2.233E-10 8.057E-10 2.753E-09 5.356E-09 4.118E-09 3.038E-09 3.303E-09 3.468E-09 3.647E-09 3.459E-09 3.649E-09 5.488E-09 7.019E-09 6.497E-09 3.366E-09 2.448E-09 1.777E-09 1.557E-09 1.205E-09 5.703E-10 5.758E-10 4.616E-10 1.881E-10 1.538E-10 2.233E-10 8.057E-10 2.753E-09 5.356E-09 
OLET 1.372E-09 1.055E-09 7.781E-10 8.459E-10 8.881E-10 9.34E-10 8.858E-10 9.344E-10 1.405E-09 1.798E-09 1.664E-09 8.62E-10 6.268E-10 4.55E-10 3.987E-10 3.086E-10 1.46E-10 1.475E-10 1.182E-10 4.817E-11 3.939E-11 5.719E-11 2.063E-10 7.05E-10 1.372E-09 1.055E-09 7.781E-10 8.459E-10 8.881E-10 9.34E-10 8.858E-10 9.344E-10 1.405E-09 1.798E-09 1.664E-09 8.62E-10 6.268E-10 4.55E-10 3.987E-10 3.086E-10 1.46E-10 1.475E-10 1.182E-10 4.817E-11 3.939E-11 5.719E-11 2.063E-10 7.05E-10 1.372E-09 
TOL 1.056E-09 1.507E-09 1.342E-09 1.389E-09 1.42E-09 1.456E-09 1.422E-09 1.455E-09 1.765E-09 1.971E-09 1.27E-09 7.242E-10 5.328E-10 3.952E-10 3.479E-10 2.726E-10 1.552E-10 1.161E-10 9.338E-11 4.261E-11 3.645E-11 4.936E-11 1.61E-10 5.442E-10 1.056E-09 1.507E-09 1.342E-09 1.389E-09 1.42E-09 1.456E-09 1.422E-09 1.455E-09 1.765E-09 1.971E-09 1.27E-09 7.242E-10 5.328E-10 3.952E-10 3.479E-10 2.726E-10 1.552E-10 1.161E-10 9.338E-11 4.261E-11 3.645E-11 4.936E-11 1.61E-10 5.442E-10 1.056E-09 
XYL 8.248E-09 7.033E-09 5.392E-09 5.759E-09 5.981E-09 6.245E-09 5.981E-09 6.271E-09 8.892E-09 1.097E-08 9.505E-09 5.06E-09 3.72E-09 2.739E-09 2.431E-09 1.918E-09 1.009E-09 9.978E-10 8.01E-10 3.973E-10 3.474E-10 4.506E-10 1.26E-09 4.215E-10 8.248E-09 7.033E-09 5.392E-09 5.759E-09 5.981E-09 6.245E-09 5.981E-09 6.271E-09 8.892E-09 1.097E-08 9.505E-09 5.06E-09 3.72E-09 2.739E-09 2.431E-09 1.918E-09 1.009E-09 9.978E-10 8.01E-10 3.973E-10 3.474E-10 4.506E-10 1.26E-09 4.215E-10 8.248E-09 
