# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
HCHO	4.061e-09	3.225e-09	2.44e-09	2.639e-09	2.754e-09	2.888e-09	2.741e-09	2.885e-09	4.088e-09	5.186e-09	4.702e-09	2.601e-09	1.923e-09	1.412e-09	1.252e-09	9.776e-10	4.687e-10	4.657e-10	3.836e-10	1.717e-10	1.448e-10	1.976e-10	6.193e-10	2.09e-09	4.061e-09	3.225e-09	2.44e-09	2.639e-09	2.754e-09	2.888e-09	2.741e-09	2.885e-09	4.088e-09	5.186e-09	4.702e-09	2.601e-09	1.923e-09	1.412e-09	1.252e-09	9.776e-10	4.687e-10	4.657e-10	3.836e-10	1.717e-10	1.448e-10	1.976e-10	6.193e-10	2.09e-09       4.061e-09
ETH	1.849e-08	1.391e-08	1.01e-08	1.095e-08	1.148e-08	1.209e-08	1.142e-08	1.205e-08	1.806e-08	2.32e-08	2.149e-08	1.146e-08	8.384e-09	6.124e-09	5.414e-09	4.119e-09	1.953e-09	1.927e-09	1.575e-09	6.164e-10	4.973e-10	7.42e-10	2.653e-09	9.477e-09	1.849e-08	1.391e-08	1.01e-08	1.095e-08	1.148e-08	1.209e-08	1.142e-08	1.205e-08	1.806e-08	2.32e-08	2.149e-08	1.146e-08	8.384e-09	6.124e-09	5.414e-09	4.119e-09	1.953e-09	1.927e-09	1.575e-09	6.164e-10	4.973e-10	7.42e-10	2.653e-09	9.477e-09       1.849e-08
OLEI	5.948e-09	4.573e-09	3.374e-09	3.668e-09	3.851e-09	4.05e-09	3.841e-09	4.052e-09	6.094e-09	7.795e-09	7.215e-09	3.738e-09	2.718e-09	1.973e-09	1.729e-09	1.338e-09	6.333e-10	6.394e-10	5.126e-10	2.089e-10	1.708e-10	2.48e-10	8.947e-10	3.057e-09	5.948e-09	4.573e-09	3.374e-09	3.668e-09	3.851e-09	4.05e-09	3.841e-09	4.052e-09	6.094e-09	7.795e-09	7.215e-09	3.738e-09	2.718e-09	1.973e-09	1.729e-09	1.338e-09	6.333e-10	6.394e-10	5.126e-10	2.089e-10	1.708e-10	2.48e-10	8.947e-10	3.057e-09       5.948e-09
OLET	5.948e-09	4.573e-09	3.374e-09	3.668e-09	3.851e-09	4.05e-09	3.841e-09	4.052e-09	6.094e-09	7.795e-09	7.215e-09	3.738e-09	2.718e-09	1.973e-09	1.729e-09	1.338e-09	6.333e-10	6.394e-10	5.126e-10	2.089e-10	1.708e-10	2.48e-10	8.947e-10	3.057e-09	5.948e-09	4.573e-09	3.374e-09	3.668e-09	3.851e-09	4.05e-09	3.841e-09	4.052e-09	6.094e-09	7.795e-09	7.215e-09	3.738e-09	2.718e-09	1.973e-09	1.729e-09	1.338e-09	6.333e-10	6.394e-10	5.126e-10	2.089e-10	1.708e-10	2.48e-10	8.947e-10	3.057e-09       5.948e-09
TOL	6.101e-09	8.706e-09	7.755e-09	8.024e-09	8.202e-09	8.41e-09	8.218e-09	8.407e-09	1.02e-08	1.139e-08	7.338e-09	4.184e-09	3.078e-09	2.283e-09	2.01e-09	1.575e-09	8.966e-10	6.705e-10	5.395e-10	2.462e-10	2.106e-10	2.852e-10	9.3e-10	3.144e-09	6.101e-09	8.706e-09	7.755e-09	8.024e-09	8.202e-09	8.41e-09	8.218e-09	8.407e-09	1.02e-08	1.139e-08	7.338e-09	4.184e-09	3.078e-09	2.283e-09	2.01e-09	1.575e-09	8.966e-10	6.705e-10	5.395e-10	2.462e-10	2.106e-10	2.852e-10	9.3e-10	3.144e-09       6.101e-09
XYL	5.599e-09	4.774e-09	3.66e-09	3.909e-09	4.06e-09	4.239e-09	4.06e-09	4.257e-09	6.036e-09	7.448e-09	6.452e-09	3.435e-09	2.525e-09	1.859e-09	1.65e-09	1.302e-09	6.852e-10	6.773e-10	5.437e-10	2.697e-10	2.358e-10	3.059e-10	8.552e-10	2.861e-10	5.599e-09	4.774e-09	3.66e-09	3.909e-09	4.06e-09	4.239e-09	4.06e-09	4.257e-09	6.036e-09	7.448e-09	6.452e-09	3.435e-09	2.525e-09	1.859e-09	1.65e-09	1.302e-09	6.852e-10	6.773e-10	5.437e-10	2.697e-10	2.358e-10	3.059e-10	8.552e-10	2.861e-10       5.599e-09
AONE	7.825e-10	2.858e-09	2.938e-09	2.947e-09	2.948e-09	2.951e-09	2.947e-09	2.954e-09	3.032e-09	2.766e-09	1.313e-09	1.015e-09	8.363e-10	7.04e-10	6.404e-10	6.264e-10	5.661e-10	1.538e-10	1.5e-10	1.395e-10	1.476e-10	1.503e-10	2.256e-10	4.244e-10	7.825e-10	2.858e-09	2.938e-09	2.947e-09	2.948e-09	2.951e-09	2.947e-09	2.954e-09	3.032e-09	2.766e-09	1.313e-09	1.015e-09	8.363e-10	7.04e-10	6.404e-10	6.264e-10	5.661e-10	1.538e-10	1.5e-10	1.395e-10	1.476e-10	1.503e-10	2.256e-10	4.244e-10       7.825e-10
PAR	1.709e-07	1.953e-07	1.698e-07	1.761e-07	1.808e-07	1.865e-07	1.822e-07	1.859e-07	2.412e-07	2.728e-07	2.174e-07	1.243e-07	9.741e-08	7.744e-08	6.931e-08	5.805e-08	3.9e-08	3.317e-08	2.956e-08	2.306e-08	2.231e-08	2.395e-08	4.284e-08	9.655e-08	1.709e-07	1.953e-07	1.698e-07	1.761e-07	1.808e-07	1.865e-07	1.822e-07	1.859e-07	2.412e-07	2.728e-07	2.174e-07	1.243e-07	9.741e-08	7.744e-08	6.931e-08	5.805e-08	3.9e-08	3.317e-08	2.956e-08	2.306e-08	2.231e-08	2.395e-08	4.284e-08	9.655e-08       1.709e-07
ISOP	2.412e-10	2.814e-10	3.147e-10	4.358e-10	5.907e-10	6.766e-10	6.594e-10	5.879e-10	5.435e-10	6.402e-10	5.097e-10	9.99e-11	7.691e-11	5.939e-11	5.198e-11	4.498e-11	3.358e-11	2.946e-11	2.728e-11	2.183e-11	1.953e-11	1.89e-11	2.948e-11	1.635e-10	2.412e-10	2.814e-10	3.147e-10	4.358e-10	5.907e-10	6.766e-10	6.594e-10	5.879e-10	5.435e-10	6.402e-10	5.097e-10	9.99e-11	7.691e-11	5.939e-11	5.198e-11	4.498e-11	3.358e-11	2.946e-11	2.728e-11	2.183e-11	1.953e-11	1.89e-11	2.948e-11	1.635e-10       2.412e-10
CH3OH	2.368e-10	6.107e-10	6.89e-10	6.89e-10	6.89e-10	6.889e-10	6.886e-10	6.89e-10	6.89e-10	5.414e-10	3.701e-10	2.554e-10	1.423e-10	6.699e-11	2.912e-11	2.877e-11	2.825e-11	2.056e-12	2.056e-12	2.056e-12	2.435e-12	2.435e-12	4.03e-11	1.168e-10	2.368e-10	6.107e-10	6.89e-10	6.89e-10	6.89e-10	6.889e-10	6.886e-10	6.89e-10	6.89e-10	5.414e-10	3.701e-10	2.554e-10	1.423e-10	6.699e-11	2.912e-11	2.877e-11	2.825e-11	2.056e-12	2.056e-12	2.056e-12	2.435e-12	2.435e-12	4.03e-11	1.168e-10       2.368e-10
ANOL	5.304e-09	7.96e-09	7.649e-09	7.649e-09	7.432e-09	7.428e-09	7.431e-09	7.434e-09	7.434e-09	6.979e-09	5.666e-09	4.361e-09	4.148e-09	3.289e-09	2.858e-09	2.856e-09	1.127e-09	9.615e-10	9.616e-10	9.616e-10	9.654e-10	9.654e-10	1.397e-09	2.264e-09	5.304e-09	7.96e-09	7.649e-09	7.649e-09	7.432e-09	7.428e-09	7.431e-09	7.434e-09	7.434e-09	6.979e-09	5.666e-09	4.361e-09	4.148e-09	3.289e-09	2.858e-09	2.856e-09	1.127e-09	9.615e-10	9.616e-10	9.616e-10	9.654e-10	9.654e-10	1.397e-09	2.264e-09       5.304e-09
DMS	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11	3.756e-11       3.756e-11
