# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 6.538E-09 8.464E-09 7.859E-09 8.029E-09 8.063E-09 8.16E-09 8.098E-09 8.154E-09 8.586E-09 8.251E-09 6.918E-09 5.958E-09 5.904E-09 5.57E-09 5.456E-09 5.309E-09 4.426E-09 4.119E-09 4.071E-09 3.973E-09 3.95E-09 3.973E-09 4.193E-09 4.895E-09 6.538E-09 8.464E-09 7.859E-09 8.029E-09 8.063E-09 8.16E-09 8.098E-09 8.154E-09 8.586E-09 8.251E-09 6.918E-09 5.958E-09 5.904E-09 5.57E-09 5.456E-09 5.309E-09 4.426E-09 4.119E-09 4.071E-09 3.973E-09 3.95E-09 3.973E-09 4.193E-09 4.895E-09 6.538E-09 
NO2 6.033E-10 6.652E-10 6.111E-10 6.546E-10 6.728E-10 7.029E-10 6.788E-10 7.085E-10 6.81E-10 7.951E-10 6.6E-10 5.852E-10 4.749E-10 3.861E-10 3.587E-10 3.067E-10 1.922E-10 1.77E-10 1.59E-10 1.228E-10 1.181E-10 1.261E-10 1.969E-10 3.793E-10 6.033E-10 6.652E-10 6.111E-10 6.546E-10 6.728E-10 7.029E-10 6.788E-10 7.085E-10 6.81E-10 7.951E-10 6.6E-10 5.852E-10 4.749E-10 3.861E-10 3.587E-10 3.067E-10 1.922E-10 1.77E-10 1.59E-10 1.228E-10 1.181E-10 1.261E-10 1.969E-10 3.793E-10 6.033E-10 
NO 2.559E-08 2.821E-08 2.593E-08 2.776E-08 2.854E-08 2.982E-08 2.879E-08 3.006E-08 2.888E-08 3.372E-08 2.8E-08 2.482E-08 2.014E-08 1.638E-08 1.522E-08 1.302E-08 8.155E-09 7.51E-09 6.744E-09 5.213E-09 5.008E-09 5.351E-09 8.356E-09 1.609E-08 2.559E-08 2.821E-08 2.593E-08 2.776E-08 2.854E-08 2.982E-08 2.879E-08 3.006E-08 2.888E-08 3.372E-08 2.8E-08 2.482E-08 2.014E-08 1.638E-08 1.522E-08 1.302E-08 8.155E-09 7.51E-09 6.744E-09 5.213E-09 5.008E-09 5.351E-09 8.356E-09 1.609E-08 2.559E-08 
NH3 1.444E-08 1.408E-08 2.651E-08 2.371E-08 2.653E-08 3.041E-08 2.668E-08 2.918E-08 2.178E-08 1.091E-08 8.757E-09 4.129E-09 3.375E-09 3.701E-09 4.409E-09 4.428E-09 1.611E-09 4.378E-09 1.591E-09 1.565E-09 1.602E-09 1.673E-09 1.751E-09 4.442E-09 1.444E-08 1.408E-08 2.651E-08 2.371E-08 2.653E-08 3.041E-08 2.668E-08 2.918E-08 2.178E-08 1.091E-08 8.757E-09 4.129E-09 3.375E-09 3.701E-09 4.409E-09 4.428E-09 1.611E-09 4.378E-09 1.591E-09 1.565E-09 1.602E-09 1.673E-09 1.751E-09 4.442E-09 1.444E-08 
CO 8.796E-07 6.549E-07 4.661E-07 5.002E-07 5.225E-07 5.512E-07 5.219E-07 5.506E-07 7.785E-07 9.93E-07 9.128E-07 5.131E-07 3.758E-07 2.734E-07 2.41E-07 1.865E-07 9.018E-08 8.798E-08 7.193E-08 2.862E-08 2.307E-08 3.431E-08 1.215E-07 4.419E-07 8.796E-07 6.549E-07 4.661E-07 5.002E-07 5.225E-07 5.512E-07 5.219E-07 5.506E-07 7.785E-07 9.93E-07 9.128E-07 5.131E-07 3.758E-07 2.734E-07 2.41E-07 1.865E-07 9.018E-08 8.798E-08 7.193E-08 2.862E-08 2.307E-08 3.431E-08 1.215E-07 4.419E-07 8.796E-07 
ALD2 1.06E-09 7.989E-10 5.851E-10 6.376E-10 6.7E-10 7.049E-10 6.65E-10 7.036E-10 1.028E-09 1.328E-09 1.236E-09 6.731E-10 4.886E-10 3.534E-10 3.115E-10 2.39E-10 1.111E-10 1.1E-10 8.904E-11 3.221E-11 2.508E-11 3.953E-11 1.512E-10 5.427E-10 1.06E-09 7.989E-10 5.851E-10 6.376E-10 6.7E-10 7.049E-10 6.65E-10 7.036E-10 1.028E-09 1.328E-09 1.236E-09 6.731E-10 4.886E-10 3.534E-10 3.115E-10 2.39E-10 1.111E-10 1.1E-10 8.904E-11 3.221E-11 2.508E-11 3.953E-11 1.512E-10 5.427E-10 1.06E-09 
HCHO 3.739E-09 2.969E-09 2.247E-09 2.43E-09 2.536E-09 2.659E-09 2.524E-09 2.656E-09 3.764E-09 4.775E-09 4.329E-09 2.395E-09 1.771E-09 1.3E-09 1.153E-09 9.001E-10 4.316E-10 4.288E-10 3.532E-10 1.581E-10 1.333E-10 1.819E-10 5.702E-10 1.924E-09 3.739E-09 2.969E-09 2.247E-09 2.43E-09 2.536E-09 2.659E-09 2.524E-09 2.656E-09 3.764E-09 4.775E-09 4.329E-09 2.395E-09 1.771E-09 1.3E-09 1.153E-09 9.001E-10 4.316E-10 4.288E-10 3.532E-10 1.581E-10 1.333E-10 1.819E-10 5.702E-10 1.924E-09 3.739E-09 
ETH 1.784E-08 1.342E-08 9.744E-09 1.056E-08 1.108E-08 1.166E-08 1.102E-08 1.163E-08 1.742E-08 2.238E-08 2.073E-08 1.106E-08 8.089E-09 5.908E-09 5.223E-09 3.974E-09 1.884E-09 1.859E-09 1.52E-09 5.947E-10 4.798E-10 7.159E-10 2.56E-09 9.143E-09 1.784E-08 1.342E-08 9.744E-09 1.056E-08 1.108E-08 1.166E-08 1.102E-08 1.163E-08 1.742E-08 2.238E-08 2.073E-08 1.106E-08 8.089E-09 5.908E-09 5.223E-09 3.974E-09 1.884E-09 1.859E-09 1.52E-09 5.947E-10 4.798E-10 7.159E-10 2.56E-09 9.143E-09 1.784E-08 
OLEI 1.121E-08 8.62E-09 6.36E-09 6.914E-09 7.259E-09 7.634E-09 7.24E-09 7.638E-09 1.149E-08 1.469E-08 1.36E-08 7.046E-09 5.123E-09 3.719E-09 3.259E-09 2.522E-09 1.194E-09 1.205E-09 9.662E-10 3.938E-10 3.22E-10 4.675E-10 1.686E-09 5.762E-09 1.121E-08 8.62E-09 6.36E-09 6.914E-09 7.259E-09 7.634E-09 7.24E-09 7.638E-09 1.149E-08 1.469E-08 1.36E-08 7.046E-09 5.123E-09 3.719E-09 3.259E-09 2.522E-09 1.194E-09 1.205E-09 9.662E-10 3.938E-10 3.22E-10 4.675E-10 1.686E-09 5.762E-09 1.121E-08 
OLET 2.954E-09 2.271E-09 1.676E-09 1.822E-09 1.913E-09 2.011E-09 1.908E-09 2.012E-09 3.027E-09 3.871E-09 3.583E-09 1.857E-09 1.35E-09 9.799E-10 8.587E-10 6.645E-10 3.145E-10 3.176E-10 2.546E-10 1.038E-10 8.483E-11 1.232E-10 4.444E-10 1.518E-09 2.954E-09 2.271E-09 1.676E-09 1.822E-09 1.913E-09 2.011E-09 1.908E-09 2.012E-09 3.027E-09 3.871E-09 3.583E-09 1.857E-09 1.35E-09 9.799E-10 8.587E-10 6.645E-10 3.145E-10 3.176E-10 2.546E-10 1.038E-10 8.483E-11 1.232E-10 4.444E-10 1.518E-09 2.954E-09 
TOL 6.568E-09 9.373E-09 8.349E-09 8.638E-09 8.83E-09 9.054E-09 8.847E-09 9.051E-09 1.098E-08 1.226E-08 7.9E-09 4.504E-09 3.314E-09 2.458E-09 2.164E-09 1.696E-09 9.653E-10 7.218E-10 5.808E-10 2.651E-10 2.267E-10 3.07E-10 1.001E-09 3.385E-09 6.568E-09 9.373E-09 8.349E-09 8.638E-09 8.83E-09 9.054E-09 8.847E-09 9.051E-09 1.098E-08 1.226E-08 7.9E-09 4.504E-09 3.314E-09 2.458E-09 2.164E-09 1.696E-09 9.653E-10 7.218E-10 5.808E-10 2.651E-10 2.267E-10 3.07E-10 1.001E-09 3.385E-09 6.568E-09 
XYL 4.903E-09 4.18E-09 3.205E-09 3.423E-09 3.555E-09 3.712E-09 3.555E-09 3.728E-09 5.286E-09 6.522E-09 5.65E-09 3.008E-09 2.211E-09 1.628E-09 1.445E-09 1.14E-09 6E-10 5.931E-10 4.761E-10 2.362E-10 2.065E-10 2.679E-10 7.489E-10 2.505E-10 4.903E-09 4.18E-09 3.205E-09 3.423E-09 3.555E-09 3.712E-09 3.555E-09 3.728E-09 5.286E-09 6.522E-09 5.65E-09 3.008E-09 2.211E-09 1.628E-09 1.445E-09 1.14E-09 6E-10 5.931E-10 4.761E-10 2.362E-10 2.065E-10 2.679E-10 7.489E-10 2.505E-10 4.903E-09 
