# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 2.41E-09 3.12E-09 2.896E-09 2.959E-09 2.972E-09 3.007E-09 2.985E-09 3.005E-09 3.165E-09 3.041E-09 2.55E-09 2.196E-09 2.176E-09 2.053E-09 2.011E-09 1.957E-09 1.631E-09 1.518E-09 1.5E-09 1.464E-09 1.456E-09 1.464E-09 1.545E-09 1.804E-09 2.41E-09 3.12E-09 2.896E-09 2.959E-09 2.972E-09 3.007E-09 2.985E-09 3.005E-09 3.165E-09 3.041E-09 2.55E-09 2.196E-09 2.176E-09 2.053E-09 2.011E-09 1.957E-09 1.631E-09 1.518E-09 1.5E-09 1.464E-09 1.456E-09 1.464E-09 1.545E-09 1.804E-09 2.41E-09 
NO2 3.91E-09 4.31E-09 3.96E-09 4.242E-09 4.36E-09 4.555E-09 4.398E-09 4.591E-09 4.413E-09 5.152E-09 4.277E-09 3.792E-09 3.077E-09 2.502E-09 2.325E-09 1.987E-09 1.245E-09 1.147E-09 1.03E-09 7.959E-10 7.654E-10 8.171E-10 1.276E-09 2.458E-09 3.91E-09 4.31E-09 3.96E-09 4.242E-09 4.36E-09 4.555E-09 4.398E-09 4.591E-09 4.413E-09 5.152E-09 4.277E-09 3.792E-09 3.077E-09 2.502E-09 2.325E-09 1.987E-09 1.245E-09 1.147E-09 1.03E-09 7.959E-10 7.654E-10 8.171E-10 1.276E-09 2.458E-09 3.91E-09 
NO 1.072E-07 1.182E-07 1.086E-07 1.163E-07 1.195E-07 1.249E-07 1.206E-07 1.259E-07 1.21E-07 1.412E-07 1.173E-07 1.04E-07 8.434E-08 6.859E-08 6.374E-08 5.451E-08 3.415E-08 3.145E-08 2.824E-08 2.183E-08 2.097E-08 2.241E-08 3.499E-08 6.739E-08 1.072E-07 1.182E-07 1.086E-07 1.163E-07 1.195E-07 1.249E-07 1.206E-07 1.259E-07 1.21E-07 1.412E-07 1.173E-07 1.04E-07 8.434E-08 6.859E-08 6.374E-08 5.451E-08 3.415E-08 3.145E-08 2.824E-08 2.183E-08 2.097E-08 2.241E-08 3.499E-08 6.739E-08 1.072E-07 
NH3 5.829E-09 5.682E-09 1.07E-08 9.569E-09 1.071E-08 1.227E-08 1.077E-08 1.178E-08 8.793E-09 4.403E-09 3.535E-09 1.666E-09 1.362E-09 1.494E-09 1.78E-09 1.787E-09 6.501E-10 1.767E-09 6.423E-10 6.315E-10 6.465E-10 6.753E-10 7.066E-10 1.793E-09 5.829E-09 5.682E-09 1.07E-08 9.569E-09 1.071E-08 1.227E-08 1.077E-08 1.178E-08 8.793E-09 4.403E-09 3.535E-09 1.666E-09 1.362E-09 1.494E-09 1.78E-09 1.787E-09 6.501E-10 1.767E-09 6.423E-10 6.315E-10 6.465E-10 6.753E-10 7.066E-10 1.793E-09 5.829E-09 
CO 5.957E-07 4.435E-07 3.157E-07 3.388E-07 3.539E-07 3.733E-07 3.534E-07 3.729E-07 5.272E-07 6.725E-07 6.182E-07 3.475E-07 2.545E-07 1.852E-07 1.632E-07 1.263E-07 6.107E-08 5.958E-08 4.872E-08 1.938E-08 1.562E-08 2.324E-08 8.23E-08 2.992E-07 5.957E-07 4.435E-07 3.157E-07 3.388E-07 3.539E-07 3.733E-07 3.534E-07 3.729E-07 5.272E-07 6.725E-07 6.182E-07 3.475E-07 2.545E-07 1.852E-07 1.632E-07 1.263E-07 6.107E-08 5.958E-08 4.872E-08 1.938E-08 1.562E-08 2.324E-08 8.23E-08 2.992E-07 5.957E-07 
ALD2 1.028E-09 7.751E-10 5.677E-10 6.187E-10 6.501E-10 6.839E-10 6.452E-10 6.827E-10 9.975E-10 1.288E-09 1.199E-09 6.531E-10 4.741E-10 3.429E-10 3.023E-10 2.319E-10 1.078E-10 1.067E-10 8.639E-11 3.125E-11 2.434E-11 3.836E-11 1.467E-10 5.266E-10 1.028E-09 7.751E-10 5.677E-10 6.187E-10 6.501E-10 6.839E-10 6.452E-10 6.827E-10 9.975E-10 1.288E-09 1.199E-09 6.531E-10 4.741E-10 3.429E-10 3.023E-10 2.319E-10 1.078E-10 1.067E-10 8.639E-11 3.125E-11 2.434E-11 3.836E-11 1.467E-10 5.266E-10 1.028E-09 
HCHO 6.777E-09 5.382E-09 4.072E-09 4.404E-09 4.596E-09 4.82E-09 4.574E-09 4.815E-09 6.822E-09 8.655E-09 7.847E-09 4.341E-09 3.209E-09 2.356E-09 2.089E-09 1.632E-09 7.822E-10 7.772E-10 6.402E-10 2.866E-10 2.417E-10 3.298E-10 1.034E-09 3.488E-09 6.777E-09 5.382E-09 4.072E-09 4.404E-09 4.596E-09 4.82E-09 4.574E-09 4.815E-09 6.822E-09 8.655E-09 7.847E-09 4.341E-09 3.209E-09 2.356E-09 2.089E-09 1.632E-09 7.822E-10 7.772E-10 6.402E-10 2.866E-10 2.417E-10 3.298E-10 1.034E-09 3.488E-09 6.777E-09 
ETH 3.529E-08 2.655E-08 1.927E-08 2.09E-08 2.191E-08 2.307E-08 2.179E-08 2.3E-08 3.447E-08 4.427E-08 4.101E-08 2.187E-08 1.6E-08 1.169E-08 1.033E-08 7.861E-09 3.727E-09 3.677E-09 3.006E-09 1.176E-09 9.49E-10 1.416E-09 5.063E-09 1.809E-08 3.529E-08 2.655E-08 1.927E-08 2.09E-08 2.191E-08 2.307E-08 2.179E-08 2.3E-08 3.447E-08 4.427E-08 4.101E-08 2.187E-08 1.6E-08 1.169E-08 1.033E-08 7.861E-09 3.727E-09 3.677E-09 3.006E-09 1.176E-09 9.49E-10 1.416E-09 5.063E-09 1.809E-08 3.529E-08 
OLEI 8.619E-09 6.626E-09 4.889E-09 5.315E-09 5.58E-09 5.869E-09 5.566E-09 5.871E-09 8.83E-09 1.13E-08 1.045E-08 5.416E-09 3.938E-09 2.859E-09 2.505E-09 1.939E-09 9.177E-10 9.265E-10 7.428E-10 3.027E-10 2.475E-10 3.594E-10 1.296E-09 4.43E-09 8.619E-09 6.626E-09 4.889E-09 5.315E-09 5.58E-09 5.869E-09 5.566E-09 5.871E-09 8.83E-09 1.13E-08 1.045E-08 5.416E-09 3.938E-09 2.859E-09 2.505E-09 1.939E-09 9.177E-10 9.265E-10 7.428E-10 3.027E-10 2.475E-10 3.594E-10 1.296E-09 4.43E-09 8.619E-09 
OLET 8.938E-09 6.872E-09 5.07E-09 5.512E-09 5.787E-09 6.086E-09 5.772E-09 6.089E-09 9.157E-09 1.171E-08 1.084E-08 5.617E-09 4.084E-09 2.965E-09 2.598E-09 2.011E-09 9.516E-10 9.608E-10 7.703E-10 3.139E-10 2.567E-10 3.727E-10 1.344E-09 4.594E-09 8.938E-09 6.872E-09 5.07E-09 5.512E-09 5.787E-09 6.086E-09 5.772E-09 6.089E-09 9.157E-09 1.171E-08 1.084E-08 5.617E-09 4.084E-09 2.965E-09 2.598E-09 2.011E-09 9.516E-10 9.608E-10 7.703E-10 3.139E-10 2.567E-10 3.727E-10 1.344E-09 4.594E-09 8.938E-09 
TOL 1.015E-08 1.448E-08 1.29E-08 1.335E-08 1.365E-08 1.399E-08 1.367E-08 1.399E-08 1.697E-08 1.895E-08 1.221E-08 6.961E-09 5.121E-09 3.798E-09 3.344E-09 2.62E-09 1.492E-09 1.115E-09 8.975E-10 4.096E-10 3.504E-10 4.745E-10 1.547E-09 5.23E-09 1.015E-08 1.448E-08 1.29E-08 1.335E-08 1.365E-08 1.399E-08 1.367E-08 1.399E-08 1.697E-08 1.895E-08 1.221E-08 6.961E-09 5.121E-09 3.798E-09 3.344E-09 2.62E-09 1.492E-09 1.115E-09 8.975E-10 4.096E-10 3.504E-10 4.745E-10 1.547E-09 5.23E-09 1.015E-08 
XYL 8.758E-09 7.467E-09 5.725E-09 6.114E-09 6.351E-09 6.631E-09 6.351E-09 6.659E-09 9.441E-09 1.165E-08 1.009E-08 5.373E-09 3.95E-09 2.908E-09 2.581E-09 2.037E-09 1.072E-09 1.059E-09 8.504E-10 4.219E-10 3.688E-10 4.785E-10 1.338E-09 4.475E-10 8.758E-09 7.467E-09 5.725E-09 6.114E-09 6.351E-09 6.631E-09 6.351E-09 6.659E-09 9.441E-09 1.165E-08 1.009E-08 5.373E-09 3.95E-09 2.908E-09 2.581E-09 2.037E-09 1.072E-09 1.059E-09 8.504E-10 4.219E-10 3.688E-10 4.785E-10 1.338E-09 4.475E-10 8.758E-09 
