# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 1.204E-08 1.559E-08 1.447E-08 1.479E-08 1.485E-08 1.503E-08 1.491E-08 1.502E-08 1.581E-08 1.519E-08 1.274E-08 1.097E-08 1.087E-08 1.026E-08 1.005E-08 9.777E-09 8.151E-09 7.585E-09 7.496E-09 7.317E-09 7.275E-09 7.317E-09 7.721E-09 9.015E-09 1.204E-08 1.559E-08 1.447E-08 1.479E-08 1.485E-08 1.503E-08 1.491E-08 1.502E-08 1.581E-08 1.519E-08 1.274E-08 1.097E-08 1.087E-08 1.026E-08 1.005E-08 9.777E-09 8.151E-09 7.585E-09 7.496E-09 7.317E-09 7.275E-09 7.317E-09 7.721E-09 9.015E-09 1.204E-08 
NO2 7.372E-10 8.128E-10 7.468E-10 7.999E-10 8.221E-10 8.589E-10 8.294E-10 8.657E-10 8.321E-10 9.715E-10 8.065E-10 7.151E-10 5.802E-10 4.717E-10 4.383E-10 3.747E-10 2.348E-10 2.163E-10 1.943E-10 1.501E-10 1.443E-10 1.541E-10 2.407E-10 4.635E-10 7.372E-10 8.128E-10 7.468E-10 7.999E-10 8.221E-10 8.589E-10 8.294E-10 8.657E-10 8.321E-10 9.715E-10 8.065E-10 7.151E-10 5.802E-10 4.717E-10 4.383E-10 3.747E-10 2.348E-10 2.163E-10 1.943E-10 1.501E-10 1.443E-10 1.541E-10 2.407E-10 4.635E-10 7.372E-10 
NO 2.888E-08 3.184E-08 2.926E-08 3.133E-08 3.22E-08 3.365E-08 3.249E-08 3.392E-08 3.259E-08 3.805E-08 3.16E-08 2.801E-08 2.272E-08 1.848E-08 1.717E-08 1.469E-08 9.202E-09 8.474E-09 7.61E-09 5.882E-09 5.651E-09 6.038E-09 9.428E-09 1.816E-08 2.888E-08 3.184E-08 2.926E-08 3.133E-08 3.22E-08 3.365E-08 3.249E-08 3.392E-08 3.259E-08 3.805E-08 3.16E-08 2.801E-08 2.272E-08 1.848E-08 1.717E-08 1.469E-08 9.202E-09 8.474E-09 7.61E-09 5.882E-09 5.651E-09 6.038E-09 9.428E-09 1.816E-08 2.888E-08 
NH3 1.407E-09 1.371E-09 2.582E-09 2.309E-09 2.584E-09 2.962E-09 2.599E-09 2.843E-09 2.122E-09 1.063E-09 8.53E-10 4.022E-10 3.288E-10 3.605E-10 4.295E-10 4.313E-10 1.569E-10 4.264E-10 1.55E-10 1.524E-10 1.56E-10 1.63E-10 1.705E-10 4.326E-10 1.407E-09 1.371E-09 2.582E-09 2.309E-09 2.584E-09 2.962E-09 2.599E-09 2.843E-09 2.122E-09 1.063E-09 8.53E-10 4.022E-10 3.288E-10 3.605E-10 4.295E-10 4.313E-10 1.569E-10 4.264E-10 1.55E-10 1.524E-10 1.56E-10 1.63E-10 1.705E-10 4.326E-10 1.407E-09 
CO 8.504E-07 6.332E-07 4.506E-07 4.836E-07 5.052E-07 5.329E-07 5.045E-07 5.323E-07 7.526E-07 9.6E-07 8.825E-07 4.961E-07 3.633E-07 2.644E-07 2.33E-07 1.803E-07 8.719E-08 8.506E-08 6.955E-08 2.767E-08 2.23E-08 3.317E-08 1.175E-07 4.272E-07 8.504E-07 6.332E-07 4.506E-07 4.836E-07 5.052E-07 5.329E-07 5.045E-07 5.323E-07 7.526E-07 9.6E-07 8.825E-07 4.961E-07 3.633E-07 2.644E-07 2.33E-07 1.803E-07 8.719E-08 8.506E-08 6.955E-08 2.767E-08 2.23E-08 3.317E-08 1.175E-07 4.272E-07 8.504E-07 
ALD2 1.858E-09 1.401E-09 1.026E-09 1.118E-09 1.175E-09 1.236E-09 1.166E-09 1.234E-09 1.803E-09 2.328E-09 2.167E-09 1.18E-09 8.568E-10 6.197E-10 5.462E-10 4.19E-10 1.948E-10 1.928E-10 1.561E-10 5.648E-11 4.398E-11 6.932E-11 2.651E-10 9.516E-10 1.858E-09 1.401E-09 1.026E-09 1.118E-09 1.175E-09 1.236E-09 1.166E-09 1.234E-09 1.803E-09 2.328E-09 2.167E-09 1.18E-09 8.568E-10 6.197E-10 5.462E-10 4.19E-10 1.948E-10 1.928E-10 1.561E-10 5.648E-11 4.398E-11 6.932E-11 2.651E-10 9.516E-10 1.858E-09 
HCHO 6.629E-09 5.265E-09 3.983E-09 4.308E-09 4.496E-09 4.714E-09 4.474E-09 4.709E-09 6.673E-09 8.466E-09 7.676E-09 4.246E-09 3.139E-09 2.305E-09 2.044E-09 1.596E-09 7.651E-10 7.602E-10 6.262E-10 2.803E-10 2.364E-10 3.226E-10 1.011E-09 3.412E-09 6.629E-09 5.265E-09 3.983E-09 4.308E-09 4.496E-09 4.714E-09 4.474E-09 4.709E-09 6.673E-09 8.466E-09 7.676E-09 4.246E-09 3.139E-09 2.305E-09 2.044E-09 1.596E-09 7.651E-10 7.602E-10 6.262E-10 2.803E-10 2.364E-10 3.226E-10 1.011E-09 3.412E-09 6.629E-09 
ETH 1.908E-09 1.435E-09 1.042E-09 1.13E-09 1.185E-09 1.248E-09 1.178E-09 1.243E-09 1.864E-09 2.394E-09 2.218E-09 1.183E-09 8.652E-10 6.32E-10 5.587E-10 4.251E-10 2.015E-10 1.989E-10 1.625E-10 6.361E-11 5.132E-11 7.657E-11 2.738E-10 9.78E-10 1.908E-09 1.435E-09 1.042E-09 1.13E-09 1.185E-09 1.248E-09 1.178E-09 1.243E-09 1.864E-09 2.394E-09 2.218E-09 1.183E-09 8.652E-10 6.32E-10 5.587E-10 4.251E-10 2.015E-10 1.989E-10 1.625E-10 6.361E-11 5.132E-11 7.657E-11 2.738E-10 9.78E-10 1.908E-09 
OLEI 1.708E-09 1.313E-09 9.689E-10 1.053E-09 1.106E-09 1.163E-09 1.103E-09 1.164E-09 1.75E-09 2.238E-09 2.072E-09 1.073E-09 7.805E-10 5.666E-10 4.965E-10 3.842E-10 1.819E-10 1.836E-10 1.472E-10 5.999E-11 4.905E-11 7.122E-11 2.569E-10 8.779E-10 1.708E-09 1.313E-09 9.689E-10 1.053E-09 1.106E-09 1.163E-09 1.103E-09 1.164E-09 1.75E-09 2.238E-09 2.072E-09 1.073E-09 7.805E-10 5.666E-10 4.965E-10 3.842E-10 1.819E-10 1.836E-10 1.472E-10 5.999E-11 4.905E-11 7.122E-11 2.569E-10 8.779E-10 1.708E-09 
OLET 7.383E-09 5.677E-09 4.188E-09 4.553E-09 4.78E-09 5.027E-09 4.768E-09 5.03E-09 7.565E-09 9.676E-09 8.956E-09 4.64E-09 3.374E-09 2.449E-09 2.146E-09 1.661E-09 7.861E-10 7.937E-10 6.363E-10 2.593E-10 2.12E-10 3.078E-10 1.111E-09 3.795E-09 7.383E-09 5.677E-09 4.188E-09 4.553E-09 4.78E-09 5.027E-09 4.768E-09 5.03E-09 7.565E-09 9.676E-09 8.956E-09 4.64E-09 3.374E-09 2.449E-09 2.146E-09 1.661E-09 7.861E-10 7.937E-10 6.363E-10 2.593E-10 2.12E-10 3.078E-10 1.111E-09 3.795E-09 7.383E-09 
TOL 9.792E-10 1.397E-09 1.245E-09 1.288E-09 1.316E-09 1.35E-09 1.319E-09 1.349E-09 1.637E-09 1.828E-09 1.178E-09 6.715E-10 4.94E-10 3.664E-10 3.226E-10 2.528E-10 1.439E-10 1.076E-10 8.659E-11 3.951E-11 3.38E-11 4.577E-11 1.493E-10 5.046E-10 9.792E-10 1.397E-09 1.245E-09 1.288E-09 1.316E-09 1.35E-09 1.319E-09 1.349E-09 1.637E-09 1.828E-09 1.178E-09 6.715E-10 4.94E-10 3.664E-10 3.226E-10 2.528E-10 1.439E-10 1.076E-10 8.659E-11 3.951E-11 3.38E-11 4.577E-11 1.493E-10 5.046E-10 9.792E-10 
XYL 3.878E-09 3.306E-09 2.535E-09 2.707E-09 2.812E-09 2.936E-09 2.812E-09 2.948E-09 4.181E-09 5.159E-09 4.469E-09 2.379E-09 1.749E-09 1.288E-09 1.143E-09 9.018E-10 4.746E-10 4.691E-10 3.766E-10 1.868E-10 1.633E-10 2.119E-10 5.923E-10 1.982E-10 3.878E-09 3.306E-09 2.535E-09 2.707E-09 2.812E-09 2.936E-09 2.812E-09 2.948E-09 4.181E-09 5.159E-09 4.469E-09 2.379E-09 1.749E-09 1.288E-09 1.143E-09 9.018E-10 4.746E-10 4.691E-10 3.766E-10 1.868E-10 1.633E-10 2.119E-10 5.923E-10 1.982E-10 3.878E-09 
