# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 2.279E-09 2.95E-09 2.739E-09 2.798E-09 2.81E-09 2.844E-09 2.822E-09 2.842E-09 2.992E-09 2.875E-09 2.411E-09 2.076E-09 2.057E-09 1.941E-09 1.901E-09 1.85E-09 1.542E-09 1.435E-09 1.419E-09 1.385E-09 1.377E-09 1.385E-09 1.461E-09 1.706E-09 2.279E-09 2.95E-09 2.739E-09 2.798E-09 2.81E-09 2.844E-09 2.822E-09 2.842E-09 2.992E-09 2.875E-09 2.411E-09 2.076E-09 2.057E-09 1.941E-09 1.901E-09 1.85E-09 1.542E-09 1.435E-09 1.419E-09 1.385E-09 1.377E-09 1.385E-09 1.461E-09 1.706E-09 2.279E-09 
NO2 3.396E-09 3.744E-09 3.44E-09 3.685E-09 3.787E-09 3.956E-09 3.821E-09 3.988E-09 3.833E-09 4.475E-09 3.715E-09 3.294E-09 2.673E-09 2.173E-09 2.019E-09 1.726E-09 1.082E-09 9.965E-10 8.948E-10 6.913E-10 6.648E-10 7.098E-10 1.109E-09 2.135E-09 3.396E-09 3.744E-09 3.44E-09 3.685E-09 3.787E-09 3.956E-09 3.821E-09 3.988E-09 3.833E-09 4.475E-09 3.715E-09 3.294E-09 2.673E-09 2.173E-09 2.019E-09 1.726E-09 1.082E-09 9.965E-10 8.948E-10 6.913E-10 6.648E-10 7.098E-10 1.109E-09 2.135E-09 3.396E-09 
NO 2.969E-08 3.274E-08 3.009E-08 3.221E-08 3.311E-08 3.46E-08 3.341E-08 3.488E-08 3.351E-08 3.913E-08 3.249E-08 2.88E-08 2.337E-08 1.9E-08 1.766E-08 1.51E-08 9.462E-09 8.713E-09 7.825E-09 6.048E-09 5.811E-09 6.208E-09 9.695E-09 1.867E-08 2.969E-08 3.274E-08 3.009E-08 3.221E-08 3.311E-08 3.46E-08 3.341E-08 3.488E-08 3.351E-08 3.913E-08 3.249E-08 2.88E-08 2.337E-08 1.9E-08 1.766E-08 1.51E-08 9.462E-09 8.713E-09 7.825E-09 6.048E-09 5.811E-09 6.208E-09 9.695E-09 1.867E-08 2.969E-08 
NH3 9.041E-09 8.814E-09 1.659E-08 1.484E-08 1.661E-08 1.904E-08 1.671E-08 1.827E-08 1.364E-08 6.829E-09 5.483E-09 2.585E-09 2.113E-09 2.317E-09 2.761E-09 2.772E-09 1.008E-09 2.741E-09 9.963E-10 9.796E-10 1.003E-09 1.047E-09 1.096E-09 2.781E-09 9.041E-09 8.814E-09 1.659E-08 1.484E-08 1.661E-08 1.904E-08 1.671E-08 1.827E-08 1.364E-08 6.829E-09 5.483E-09 2.585E-09 2.113E-09 2.317E-09 2.761E-09 2.772E-09 1.008E-09 2.741E-09 9.963E-10 9.796E-10 1.003E-09 1.047E-09 1.096E-09 2.781E-09 9.041E-09 
CO 9.36E-07 6.97E-07 4.96E-07 5.323E-07 5.561E-07 5.865E-07 5.554E-07 5.859E-07 8.284E-07 1.057E-06 9.714E-07 5.46E-07 3.999E-07 2.91E-07 2.565E-07 1.985E-07 9.597E-08 9.363E-08 7.655E-08 3.046E-08 2.455E-08 3.651E-08 1.293E-07 4.702E-07 9.36E-07 6.97E-07 4.96E-07 5.323E-07 5.561E-07 5.865E-07 5.554E-07 5.859E-07 8.284E-07 1.057E-06 9.714E-07 5.46E-07 3.999E-07 2.91E-07 2.565E-07 1.985E-07 9.597E-08 9.363E-08 7.655E-08 3.046E-08 2.455E-08 3.651E-08 1.293E-07 4.702E-07 9.36E-07 
ALD2 2.457E-09 1.852E-09 1.356E-09 1.478E-09 1.553E-09 1.634E-09 1.542E-09 1.631E-09 2.383E-09 3.077E-09 2.865E-09 1.56E-09 1.133E-09 8.193E-10 7.221E-10 5.54E-10 2.575E-10 2.549E-10 2.064E-10 7.467E-11 5.814E-11 9.164E-11 3.504E-10 1.258E-09 2.457E-09 1.852E-09 1.356E-09 1.478E-09 1.553E-09 1.634E-09 1.542E-09 1.631E-09 2.383E-09 3.077E-09 2.865E-09 1.56E-09 1.133E-09 8.193E-10 7.221E-10 5.54E-10 2.575E-10 2.549E-10 2.064E-10 7.467E-11 5.814E-11 9.164E-11 3.504E-10 1.258E-09 2.457E-09 
HCHO 1.048E-09 8.323E-10 6.297E-10 6.811E-10 7.108E-10 7.453E-10 7.074E-10 7.446E-10 1.055E-09 1.338E-09 1.213E-09 6.713E-10 4.963E-10 3.644E-10 3.231E-10 2.523E-10 1.21E-10 1.202E-10 9.9E-11 4.431E-11 3.737E-11 5.1E-11 1.598E-10 5.394E-10 1.048E-09 8.323E-10 6.297E-10 6.811E-10 7.108E-10 7.453E-10 7.074E-10 7.446E-10 1.055E-09 1.338E-09 1.213E-09 6.713E-10 4.963E-10 3.644E-10 3.231E-10 2.523E-10 1.21E-10 1.202E-10 9.9E-11 4.431E-11 3.737E-11 5.1E-11 1.598E-10 5.394E-10 1.048E-09 
ETH 3.452E-08 2.597E-08 1.886E-08 2.044E-08 2.143E-08 2.257E-08 2.132E-08 2.25E-08 3.372E-08 4.331E-08 4.012E-08 2.14E-08 1.565E-08 1.143E-08 1.011E-08 7.69E-09 3.646E-09 3.598E-09 2.94E-09 1.151E-09 9.284E-10 1.385E-09 4.953E-09 1.769E-08 3.452E-08 2.597E-08 1.886E-08 2.044E-08 2.143E-08 2.257E-08 2.132E-08 2.25E-08 3.372E-08 4.331E-08 4.012E-08 2.14E-08 1.565E-08 1.143E-08 1.011E-08 7.69E-09 3.646E-09 3.598E-09 2.94E-09 1.151E-09 9.284E-10 1.385E-09 4.953E-09 1.769E-08 3.452E-08 
OLEI 7.497E-09 5.764E-09 4.253E-09 4.623E-09 4.854E-09 5.105E-09 4.841E-09 5.107E-09 7.681E-09 9.825E-09 9.094E-09 4.711E-09 3.426E-09 2.487E-09 2.179E-09 1.686E-09 7.982E-10 8.059E-10 6.461E-10 2.633E-10 2.153E-10 3.126E-10 1.128E-09 3.853E-09 7.497E-09 5.764E-09 4.253E-09 4.623E-09 4.854E-09 5.105E-09 4.841E-09 5.107E-09 7.681E-09 9.825E-09 9.094E-09 4.711E-09 3.426E-09 2.487E-09 2.179E-09 1.686E-09 7.982E-10 8.059E-10 6.461E-10 2.633E-10 2.153E-10 3.126E-10 1.128E-09 3.853E-09 7.497E-09 
OLET 8.092E-09 6.221E-09 4.59E-09 4.99E-09 5.239E-09 5.51E-09 5.225E-09 5.512E-09 8.291E-09 1.06E-08 9.816E-09 5.085E-09 3.698E-09 2.684E-09 2.352E-09 1.82E-09 8.616E-10 8.699E-10 6.974E-10 2.842E-10 2.324E-10 3.374E-10 1.217E-09 4.159E-09 8.092E-09 6.221E-09 4.59E-09 4.99E-09 5.239E-09 5.51E-09 5.225E-09 5.512E-09 8.291E-09 1.06E-08 9.816E-09 5.085E-09 3.698E-09 2.684E-09 2.352E-09 1.82E-09 8.616E-10 8.699E-10 6.974E-10 2.842E-10 2.324E-10 3.374E-10 1.217E-09 4.159E-09 8.092E-09 
TOL 9.732E-09 1.389E-08 1.237E-08 1.28E-08 1.308E-08 1.342E-08 1.311E-08 1.341E-08 1.627E-08 1.817E-08 1.171E-08 6.674E-09 4.91E-09 3.642E-09 3.206E-09 2.512E-09 1.43E-09 1.07E-09 8.606E-10 3.927E-10 3.36E-10 4.55E-10 1.484E-09 5.015E-09 9.732E-09 1.389E-08 1.237E-08 1.28E-08 1.308E-08 1.342E-08 1.311E-08 1.341E-08 1.627E-08 1.817E-08 1.171E-08 6.674E-09 4.91E-09 3.642E-09 3.206E-09 2.512E-09 1.43E-09 1.07E-09 8.606E-10 3.927E-10 3.36E-10 4.55E-10 1.484E-09 5.015E-09 9.732E-09 
XYL 8.469E-09 7.221E-09 5.536E-09 5.913E-09 6.141E-09 6.412E-09 6.141E-09 6.439E-09 9.13E-09 1.127E-08 9.759E-09 5.196E-09 3.819E-09 2.812E-09 2.496E-09 1.969E-09 1.036E-09 1.024E-09 8.224E-10 4.079E-10 3.567E-10 4.627E-10 1.294E-09 4.327E-10 8.469E-09 7.221E-09 5.536E-09 5.913E-09 6.141E-09 6.412E-09 6.141E-09 6.439E-09 9.13E-09 1.127E-08 9.759E-09 5.196E-09 3.819E-09 2.812E-09 2.496E-09 1.969E-09 1.036E-09 1.024E-09 8.224E-10 4.079E-10 3.567E-10 4.627E-10 1.294E-09 4.327E-10 8.469E-09 
