# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 8.184E-09 1.059E-08 9.836E-09 1.005E-08 1.009E-08 1.021E-08 1.014E-08 1.021E-08 1.075E-08 1.033E-08 8.659E-09 7.457E-09 7.389E-09 6.972E-09 6.829E-09 6.645E-09 5.54E-09 5.155E-09 5.095E-09 4.973E-09 4.944E-09 4.973E-09 5.248E-09 6.127E-09 8.184E-09 1.059E-08 9.836E-09 1.005E-08 1.009E-08 1.021E-08 1.014E-08 1.021E-08 1.075E-08 1.033E-08 8.659E-09 7.457E-09 7.389E-09 6.972E-09 6.829E-09 6.645E-09 5.54E-09 5.155E-09 5.095E-09 4.973E-09 4.944E-09 4.973E-09 5.248E-09 6.127E-09 8.184E-09 
NO2 1.924E-09 2.121E-09 1.949E-09 2.087E-09 2.145E-09 2.241E-09 2.164E-09 2.259E-09 2.171E-09 2.535E-09 2.105E-09 1.866E-09 1.514E-09 1.231E-09 1.144E-09 9.779E-10 6.129E-10 5.645E-10 5.07E-10 3.917E-10 3.767E-10 4.021E-10 6.28E-10 1.209E-09 1.924E-09 2.121E-09 1.949E-09 2.087E-09 2.145E-09 2.241E-09 2.164E-09 2.259E-09 2.171E-09 2.535E-09 2.105E-09 1.866E-09 1.514E-09 1.231E-09 1.144E-09 9.779E-10 6.129E-10 5.645E-10 5.07E-10 3.917E-10 3.767E-10 4.021E-10 6.28E-10 1.209E-09 1.924E-09 
NO 5.583E-08 6.155E-08 5.657E-08 6.057E-08 6.226E-08 6.505E-08 6.281E-08 6.558E-08 6.3E-08 7.356E-08 6.109E-08 5.415E-08 4.393E-08 3.573E-08 3.32E-08 2.839E-08 1.779E-08 1.638E-08 1.471E-08 1.137E-08 1.092E-08 1.167E-08 1.823E-08 3.51E-08 5.583E-08 6.155E-08 5.657E-08 6.057E-08 6.226E-08 6.505E-08 6.281E-08 6.558E-08 6.3E-08 7.356E-08 6.109E-08 5.415E-08 4.393E-08 3.573E-08 3.32E-08 2.839E-08 1.779E-08 1.638E-08 1.471E-08 1.137E-08 1.092E-08 1.167E-08 1.823E-08 3.51E-08 5.583E-08 
NH3 7.323E-09 7.139E-09 1.344E-08 1.202E-08 1.345E-08 1.542E-08 1.353E-08 1.48E-08 1.105E-08 5.531E-09 4.441E-09 2.094E-09 1.711E-09 1.877E-09 2.236E-09 2.245E-09 8.168E-10 2.22E-09 8.07E-10 7.934E-10 8.123E-10 8.484E-10 8.877E-10 2.252E-09 7.323E-09 7.139E-09 1.344E-08 1.202E-08 1.345E-08 1.542E-08 1.353E-08 1.48E-08 1.105E-08 5.531E-09 4.441E-09 2.094E-09 1.711E-09 1.877E-09 2.236E-09 2.245E-09 8.168E-10 2.22E-09 8.07E-10 7.934E-10 8.123E-10 8.484E-10 8.877E-10 2.252E-09 7.323E-09 
CO 5.673E-07 4.224E-07 3.006E-07 3.226E-07 3.37E-07 3.555E-07 3.366E-07 3.551E-07 5.021E-07 6.405E-07 5.887E-07 3.31E-07 2.424E-07 1.764E-07 1.555E-07 1.203E-07 5.816E-08 5.675E-08 4.64E-08 1.846E-08 1.488E-08 2.213E-08 7.838E-08 2.85E-07 5.673E-07 4.224E-07 3.006E-07 3.226E-07 3.37E-07 3.555E-07 3.366E-07 3.551E-07 5.021E-07 6.405E-07 5.887E-07 3.31E-07 2.424E-07 1.764E-07 1.555E-07 1.203E-07 5.816E-08 5.675E-08 4.64E-08 1.846E-08 1.488E-08 2.213E-08 7.838E-08 2.85E-07 5.673E-07 
ALD2 3.144E-09 2.37E-09 1.736E-09 1.892E-09 1.988E-09 2.091E-09 1.973E-09 2.087E-09 3.05E-09 3.938E-09 3.667E-09 1.997E-09 1.449E-09 1.048E-09 9.241E-10 7.089E-10 3.295E-10 3.262E-10 2.641E-10 9.555E-11 7.44E-11 1.173E-10 4.485E-10 1.61E-09 3.144E-09 2.37E-09 1.736E-09 1.892E-09 1.988E-09 2.091E-09 1.973E-09 2.087E-09 3.05E-09 3.938E-09 3.667E-09 1.997E-09 1.449E-09 1.048E-09 9.241E-10 7.089E-10 3.295E-10 3.262E-10 2.641E-10 9.555E-11 7.44E-11 1.173E-10 4.485E-10 1.61E-09 3.144E-09 
HCHO 4.399E-09 3.493E-09 2.643E-09 2.859E-09 2.983E-09 3.128E-09 2.969E-09 3.125E-09 4.428E-09 5.617E-09 5.093E-09 2.817E-09 2.083E-09 1.529E-09 1.356E-09 1.059E-09 5.077E-10 5.044E-10 4.155E-10 1.86E-10 1.568E-10 2.14E-10 6.708E-10 2.264E-09 4.399E-09 3.493E-09 2.643E-09 2.859E-09 2.983E-09 3.128E-09 2.969E-09 3.125E-09 4.428E-09 5.617E-09 5.093E-09 2.817E-09 2.083E-09 1.529E-09 1.356E-09 1.059E-09 5.077E-10 5.044E-10 4.155E-10 1.86E-10 1.568E-10 2.14E-10 6.708E-10 2.264E-09 4.399E-09 
ETH 1.247E-08 9.385E-09 6.814E-09 7.388E-09 7.745E-09 8.157E-09 7.705E-09 8.13E-09 1.218E-08 1.565E-08 1.45E-08 7.732E-09 5.657E-09 4.132E-09 3.653E-09 2.779E-09 1.318E-09 1.3E-09 1.063E-09 4.159E-10 3.355E-10 5.006E-10 1.79E-09 6.394E-09 1.247E-08 9.385E-09 6.814E-09 7.388E-09 7.745E-09 8.157E-09 7.705E-09 8.13E-09 1.218E-08 1.565E-08 1.45E-08 7.732E-09 5.657E-09 4.132E-09 3.653E-09 2.779E-09 1.318E-09 1.3E-09 1.063E-09 4.159E-10 3.355E-10 5.006E-10 1.79E-09 6.394E-09 1.247E-08 
OLEI 1.161E-08 8.929E-09 6.588E-09 7.162E-09 7.519E-09 7.908E-09 7.5E-09 7.912E-09 1.19E-08 1.522E-08 1.409E-08 7.299E-09 5.307E-09 3.852E-09 3.376E-09 2.613E-09 1.237E-09 1.248E-09 1.001E-09 4.079E-10 3.335E-10 4.842E-10 1.747E-09 5.969E-09 1.161E-08 8.929E-09 6.588E-09 7.162E-09 7.519E-09 7.908E-09 7.5E-09 7.912E-09 1.19E-08 1.522E-08 1.409E-08 7.299E-09 5.307E-09 3.852E-09 3.376E-09 2.613E-09 1.237E-09 1.248E-09 1.001E-09 4.079E-10 3.335E-10 4.842E-10 1.747E-09 5.969E-09 1.161E-08 
OLET 3.232E-09 2.485E-09 1.833E-09 1.993E-09 2.093E-09 2.201E-09 2.087E-09 2.202E-09 3.311E-09 4.236E-09 3.921E-09 2.031E-09 1.477E-09 1.072E-09 9.395E-10 7.271E-10 3.441E-10 3.474E-10 2.785E-10 1.135E-10 9.281E-11 1.348E-10 4.862E-10 1.661E-09 3.232E-09 2.485E-09 1.833E-09 1.993E-09 2.093E-09 2.201E-09 2.087E-09 2.202E-09 3.311E-09 4.236E-09 3.921E-09 2.031E-09 1.477E-09 1.072E-09 9.395E-10 7.271E-10 3.441E-10 3.474E-10 2.785E-10 1.135E-10 9.281E-11 1.348E-10 4.862E-10 1.661E-09 3.232E-09 
TOL 7.478E-09 1.067E-08 9.506E-09 9.835E-09 1.005E-08 1.031E-08 1.007E-08 1.03E-08 1.25E-08 1.396E-08 8.994E-09 5.128E-09 3.773E-09 2.798E-09 2.464E-09 1.931E-09 1.099E-09 8.219E-10 6.613E-10 3.018E-10 2.581E-10 3.496E-10 1.14E-09 3.854E-09 7.478E-09 1.067E-08 9.506E-09 9.835E-09 1.005E-08 1.031E-08 1.007E-08 1.03E-08 1.25E-08 1.396E-08 8.994E-09 5.128E-09 3.773E-09 2.798E-09 2.464E-09 1.931E-09 1.099E-09 8.219E-10 6.613E-10 3.018E-10 2.581E-10 3.496E-10 1.14E-09 3.854E-09 7.478E-09 
XYL 5.963E-09 5.085E-09 3.898E-09 4.163E-09 4.324E-09 4.515E-09 4.324E-09 4.534E-09 6.429E-09 7.933E-09 6.872E-09 3.659E-09 2.689E-09 1.98E-09 1.757E-09 1.387E-09 7.298E-10 7.214E-10 5.791E-10 2.873E-10 2.511E-10 3.258E-10 9.109E-10 3.047E-10 5.963E-09 5.085E-09 3.898E-09 4.163E-09 4.324E-09 4.515E-09 4.324E-09 4.534E-09 6.429E-09 7.933E-09 6.872E-09 3.659E-09 2.689E-09 1.98E-09 1.757E-09 1.387E-09 7.298E-10 7.214E-10 5.791E-10 2.873E-10 2.511E-10 3.258E-10 9.109E-10 3.047E-10 5.963E-09 
