# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 7.421E-09 9.607E-09 8.92E-09 9.112E-09 9.151E-09 9.261E-09 9.191E-09 9.254E-09 9.745E-09 9.365E-09 7.852E-09 6.762E-09 6.701E-09 6.322E-09 6.192E-09 6.026E-09 5.023E-09 4.674E-09 4.62E-09 4.51E-09 4.483E-09 4.51E-09 4.759E-09 5.556E-09 7.421E-09 9.607E-09 8.92E-09 9.112E-09 9.151E-09 9.261E-09 9.191E-09 9.254E-09 9.745E-09 9.365E-09 7.852E-09 6.762E-09 6.701E-09 6.322E-09 6.192E-09 6.026E-09 5.023E-09 4.674E-09 4.62E-09 4.51E-09 4.483E-09 4.51E-09 4.759E-09 5.556E-09 7.421E-09 
NO2 2.489E-09 2.744E-09 2.521E-09 2.7E-09 2.775E-09 2.9E-09 2.8E-09 2.923E-09 2.809E-09 3.28E-09 2.723E-09 2.414E-09 1.959E-09 1.593E-09 1.48E-09 1.265E-09 7.928E-10 7.303E-10 6.558E-10 5.067E-10 4.872E-10 5.202E-10 8.124E-10 1.565E-09 2.489E-09 2.744E-09 2.521E-09 2.7E-09 2.775E-09 2.9E-09 2.8E-09 2.923E-09 2.809E-09 3.28E-09 2.723E-09 2.414E-09 1.959E-09 1.593E-09 1.48E-09 1.265E-09 7.928E-10 7.303E-10 6.558E-10 5.067E-10 4.872E-10 5.202E-10 8.124E-10 1.565E-09 2.489E-09 
NO 2.999E-08 3.306E-08 3.039E-08 3.254E-08 3.345E-08 3.495E-08 3.374E-08 3.523E-08 3.385E-08 3.952E-08 3.282E-08 2.909E-08 2.36E-08 1.919E-08 1.784E-08 1.525E-08 9.557E-09 8.801E-09 7.904E-09 6.109E-09 5.869E-09 6.271E-09 9.792E-09 1.886E-08 2.999E-08 3.306E-08 3.039E-08 3.254E-08 3.345E-08 3.495E-08 3.374E-08 3.523E-08 3.385E-08 3.952E-08 3.282E-08 2.909E-08 2.36E-08 1.919E-08 1.784E-08 1.525E-08 9.557E-09 8.801E-09 7.904E-09 6.109E-09 5.869E-09 6.271E-09 9.792E-09 1.886E-08 2.999E-08 
NH3 5.967E-09 5.817E-09 1.095E-08 9.796E-09 1.096E-08 1.257E-08 1.103E-08 1.206E-08 9.001E-09 4.507E-09 3.618E-09 1.706E-09 1.395E-09 1.529E-09 1.822E-09 1.83E-09 6.655E-10 1.809E-09 6.575E-10 6.465E-10 6.619E-10 6.913E-10 7.233E-10 1.835E-09 5.967E-09 5.817E-09 1.095E-08 9.796E-09 1.096E-08 1.257E-08 1.103E-08 1.206E-08 9.001E-09 4.507E-09 3.618E-09 1.706E-09 1.395E-09 1.529E-09 1.822E-09 1.83E-09 6.655E-10 1.809E-09 6.575E-10 6.465E-10 6.619E-10 6.913E-10 7.233E-10 1.835E-09 5.967E-09 
CO 1.21E-06 9.007E-07 6.41E-07 6.879E-07 7.186E-07 7.58E-07 7.177E-07 7.572E-07 1.071E-06 1.366E-06 1.255E-06 7.057E-07 5.168E-07 3.761E-07 3.315E-07 2.565E-07 1.24E-07 1.21E-07 9.893E-08 3.937E-08 3.173E-08 4.719E-08 1.671E-07 6.077E-07 1.21E-06 9.007E-07 6.41E-07 6.879E-07 7.186E-07 7.58E-07 7.177E-07 7.572E-07 1.071E-06 1.366E-06 1.255E-06 7.057E-07 5.168E-07 3.761E-07 3.315E-07 2.565E-07 1.24E-07 1.21E-07 9.893E-08 3.937E-08 3.173E-08 4.719E-08 1.671E-07 6.077E-07 1.21E-06 
ALD2 2.786E-09 2.1E-09 1.538E-09 1.676E-09 1.761E-09 1.853E-09 1.748E-09 1.85E-09 2.702E-09 3.49E-09 3.249E-09 1.769E-09 1.284E-09 9.29E-10 8.189E-10 6.282E-10 2.92E-10 2.891E-10 2.341E-10 8.467E-11 6.593E-11 1.039E-10 3.974E-10 1.427E-09 2.786E-09 2.1E-09 1.538E-09 1.676E-09 1.761E-09 1.853E-09 1.748E-09 1.85E-09 2.702E-09 3.49E-09 3.249E-09 1.769E-09 1.284E-09 9.29E-10 8.189E-10 6.282E-10 2.92E-10 2.891E-10 2.341E-10 8.467E-11 6.593E-11 1.039E-10 3.974E-10 1.427E-09 2.786E-09 
HCHO 6.745E-09 5.357E-09 4.053E-09 4.383E-09 4.574E-09 4.797E-09 4.553E-09 4.792E-09 6.79E-09 8.614E-09 7.81E-09 4.32E-09 3.194E-09 2.345E-09 2.08E-09 1.624E-09 7.785E-10 7.735E-10 6.372E-10 2.852E-10 2.405E-10 3.282E-10 1.029E-09 3.471E-09 6.745E-09 5.357E-09 4.053E-09 4.383E-09 4.574E-09 4.797E-09 4.553E-09 4.792E-09 6.79E-09 8.614E-09 7.81E-09 4.32E-09 3.194E-09 2.345E-09 2.08E-09 1.624E-09 7.785E-10 7.735E-10 6.372E-10 2.852E-10 2.405E-10 3.282E-10 1.029E-09 3.471E-09 6.745E-09 
ETH 2.693E-09 2.026E-09 1.471E-09 1.595E-09 1.672E-09 1.761E-09 1.663E-09 1.755E-09 2.63E-09 3.379E-09 3.13E-09 1.669E-09 1.221E-09 8.918E-10 7.884E-10 5.998E-10 2.844E-10 2.806E-10 2.294E-10 8.977E-11 7.242E-11 1.081E-10 3.864E-10 1.38E-09 2.693E-09 2.026E-09 1.471E-09 1.595E-09 1.672E-09 1.761E-09 1.663E-09 1.755E-09 2.63E-09 3.379E-09 3.13E-09 1.669E-09 1.221E-09 8.918E-10 7.884E-10 5.998E-10 2.844E-10 2.806E-10 2.294E-10 8.977E-11 7.242E-11 1.081E-10 3.864E-10 1.38E-09 2.693E-09 
OLEI 8.317E-09 6.395E-09 4.718E-09 5.129E-09 5.385E-09 5.663E-09 5.371E-09 5.666E-09 8.522E-09 1.09E-08 1.009E-08 5.227E-09 3.801E-09 2.759E-09 2.418E-09 1.871E-09 8.856E-10 8.941E-10 7.168E-10 2.921E-10 2.388E-10 3.468E-10 1.251E-09 4.275E-09 8.317E-09 6.395E-09 4.718E-09 5.129E-09 5.385E-09 5.663E-09 5.371E-09 5.666E-09 8.522E-09 1.09E-08 1.009E-08 5.227E-09 3.801E-09 2.759E-09 2.418E-09 1.871E-09 8.856E-10 8.941E-10 7.168E-10 2.921E-10 2.388E-10 3.468E-10 1.251E-09 4.275E-09 8.317E-09 
OLET 1.408E-09 1.083E-09 7.988E-10 8.684E-10 9.117E-10 9.588E-10 9.093E-10 9.593E-10 1.443E-09 1.845E-09 1.708E-09 8.849E-10 6.435E-10 4.671E-10 4.093E-10 3.168E-10 1.499E-10 1.514E-10 1.214E-10 4.946E-11 4.044E-11 5.871E-11 2.118E-10 7.237E-10 1.408E-09 1.083E-09 7.988E-10 8.684E-10 9.117E-10 9.588E-10 9.093E-10 9.593E-10 1.443E-09 1.845E-09 1.708E-09 8.849E-10 6.435E-10 4.671E-10 4.093E-10 3.168E-10 1.499E-10 1.514E-10 1.214E-10 4.946E-11 4.044E-11 5.871E-11 2.118E-10 7.237E-10 1.408E-09 
TOL 9.007E-09 1.285E-08 1.145E-08 1.185E-08 1.211E-08 1.242E-08 1.213E-08 1.241E-08 1.506E-08 1.681E-08 1.083E-08 6.177E-09 4.544E-09 3.37E-09 2.967E-09 2.325E-09 1.324E-09 9.898E-10 7.965E-10 3.635E-10 3.109E-10 4.21E-10 1.373E-09 4.641E-09 9.007E-09 1.285E-08 1.145E-08 1.185E-08 1.211E-08 1.242E-08 1.213E-08 1.241E-08 1.506E-08 1.681E-08 1.083E-08 6.177E-09 4.544E-09 3.37E-09 2.967E-09 2.325E-09 1.324E-09 9.898E-10 7.965E-10 3.635E-10 3.109E-10 4.21E-10 1.373E-09 4.641E-09 9.007E-09 
XYL 8.513E-09 7.259E-09 5.565E-09 5.944E-09 6.173E-09 6.445E-09 6.173E-09 6.473E-09 9.178E-09 1.132E-08 9.81E-09 5.223E-09 3.839E-09 2.827E-09 2.509E-09 1.98E-09 1.042E-09 1.03E-09 8.267E-10 4.101E-10 3.585E-10 4.651E-10 1.3E-09 4.35E-10 8.513E-09 7.259E-09 5.565E-09 5.944E-09 6.173E-09 6.445E-09 6.173E-09 6.473E-09 9.178E-09 1.132E-08 9.81E-09 5.223E-09 3.839E-09 2.827E-09 2.509E-09 1.98E-09 1.042E-09 1.03E-09 8.267E-10 4.101E-10 3.585E-10 4.651E-10 1.3E-09 4.35E-10 8.513E-09 
