# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time            0             3600         7200         10800         14400         18000        21600       25200        28800     32400     36000     39600     43200     46800     50400     54000     57600     61200     64800     68400     72000     75600     79200     82800     90000    93600    97200    100800    104400    108000
rate      0.5    0.5      0.5    0.5    0.5     0.5     0.5     0.5    0.5  0.5    0.5   0.5   0    0    0   0   0     0      0     0     0     0     0     0	0	0	0	0	0	0     
#rate      0.8    0.8      0.8    0.8    0.8     0.8     0.8     0.8    0.8  0.8    0.8   0.8   0    0    0   0   0     0      0     0     0     0     0     0 
#rate            1        1           1         1            1           1           1           1          1        1          1         1        0        0         0          0         0          0          0          0        0          0          0         0     0     0     0     0     0     0
SO2 1.265E-08 1.638E-08 1.521E-08 1.553E-08 1.56E-08 1.579E-08 1.567E-08 1.578E-08 1.661E-08 1.596E-08 1.339E-08 1.153E-08 1.142E-08 1.078E-08 1.056E-08 1.027E-08 8.563E-09 7.969E-09 7.876E-09 7.688E-09 7.643E-09 7.688E-09 8.112E-09 9.472E-09 1.265E-08 1.638E-08 1.521E-08 1.553E-08 1.56E-08 1.579E-08 
NO2 1.813E-09 1.999E-09 1.837E-09 1.967E-09 2.022E-09 2.113E-09 2.04E-09 2.129E-09 2.047E-09 2.39E-09 1.984E-09 1.759E-09 1.427E-09 1.16E-09 1.078E-09 9.216E-10 5.776E-10 5.321E-10 4.778E-10 3.691E-10 3.55E-10 3.79E-10 5.919E-10 1.14E-09 1.439E-11 1.999E-09 1.837E-09 1.967E-09 2.022E-09 2.113E-09 
NO 7.203E-08 7.941E-08 7.299E-08 7.815E-08 8.033E-08 8.394E-08 8.104E-08 8.461E-08 8.129E-08 9.491E-08 7.883E-08 6.987E-08 5.669E-08 4.61E-08 4.284E-08 3.664E-08 2.295E-08 2.114E-08 1.898E-08 1.467E-08 1.41E-08 1.506E-08 2.352E-08 4.53E-08 7.203E-08 7.941E-08 7.299E-08 7.815E-08 8.033E-08 8.394E-08 
NH3 1.717E-08 1.674E-08 3.152E-08 2.819E-08 3.154E-08 3.616E-08 3.173E-08 3.47E-08 2.59E-08 1.297E-08 1.041E-08 4.909E-09 4.013E-09 4.4E-09 5.243E-09 5.265E-09 1.915E-09 5.205E-09 1.892E-09 1.86E-09 1.905E-09 1.989E-09 2.081E-09 5.281E-09 1.717E-08 1.674E-08 3.152E-08 2.819E-08 3.154E-08 3.616E-08 
CO 1.404E-06 1.045E-06 7.438E-07 7.982E-07 8.339E-07 8.795E-07 8.328E-07 8.786E-07 1.242E-06 1.585E-06 1.457E-06 8.188E-07 5.997E-07 4.364E-07 3.846E-07 2.976E-07 1.439E-07 1.404E-07 1.148E-07 4.568E-08 3.681E-08 5.476E-08 1.939E-07 7.051E-07 1.404E-06 1.045E-06 7.438E-07 7.982E-07 8.339E-07 8.795E-07 
ALD2 2.707E-09 2.04E-09 1.494E-09 1.629E-09 1.711E-09 1.8E-09 1.698E-09 1.797E-09 2.626E-09 3.391E-09 3.157E-09 1.719E-09 1.248E-09 9.027E-10 7.957E-10 6.104E-10 2.837E-10 2.809E-10 2.274E-10 8.227E-11 6.406E-11 1.01E-10 3.861E-10 1.386E-09 2.707E-09 2.04E-09 1.494E-09 1.629E-09 1.711E-09 1.8E-09 
HCHO 7.518E-09 5.97E-09 4.517E-09 4.886E-09 5.098E-09 5.346E-09 5.074E-09 5.341E-09 7.568E-09 9.601E-09 8.705E-09 4.815E-09 3.56E-09 2.614E-09 2.318E-09 1.81E-09 8.677E-10 8.621E-10 7.101E-10 3.179E-10 2.681E-10 3.658E-10 1.146E-09 3.869E-09 7.518E-09 5.97E-09 4.517E-09 4.886E-09 5.098E-09 5.346E-09 
ETH 1.375E-08 1.035E-08 7.512E-09 8.144E-09 8.539E-09 8.992E-09 8.494E-09 8.963E-09 1.343E-08 1.726E-08 1.598E-08 8.524E-09 6.236E-09 4.555E-09 4.027E-09 3.064E-09 1.453E-09 1.433E-09 1.171E-09 4.585E-10 3.699E-10 5.519E-10 1.973E-09 7.049E-09 1.375E-08 1.035E-08 7.512E-09 8.144E-09 8.539E-09 8.992E-09 
OLEI 6.437E-09 4.949E-09 3.651E-09 3.969E-09 4.167E-09 4.383E-09 4.157E-09 4.385E-09 6.595E-09 8.435E-09 7.808E-09 4.045E-09 2.941E-09 2.135E-09 1.871E-09 1.448E-09 6.853E-10 6.919E-10 5.547E-10 2.261E-10 1.848E-10 2.684E-10 9.682E-10 3.308E-09 6.437E-09 4.949E-09 3.651E-09 3.969E-09 4.167E-09 4.383E-09 
OLET 2.733E-09 2.101E-09 1.55E-09 1.686E-09 1.77E-09 1.861E-09 1.765E-09 1.862E-09 2.8E-09 3.582E-09 3.316E-09 1.718E-09 1.249E-09 9.067E-10 7.945E-10 6.149E-10 2.91E-10 2.938E-10 2.356E-10 9.6E-11 7.849E-11 1.14E-10 4.111E-10 1.405E-09 2.733E-09 2.101E-09 1.55E-09 1.686E-09 1.77E-09 1.861E-09 
TOL 3.601E-09 5.139E-09 4.577E-09 4.736E-09 4.841E-09 4.964E-09 4.851E-09 4.962E-09 6.02E-09 6.723E-09 4.331E-09 2.47E-09 1.817E-09 1.348E-09 1.186E-09 9.296E-10 5.292E-10 3.958E-10 3.184E-10 1.453E-10 1.243E-10 1.683E-10 5.489E-10 1.856E-09 3.601E-09 5.139E-09 4.577E-09 4.736E-09 4.841E-09 4.964E-09 
XYL 5.771E-09 4.921E-09 3.773E-09 4.029E-09 4.185E-09 4.369E-09 4.185E-09 4.388E-09 6.222E-09 7.677E-09 6.65E-09 3.541E-09 2.603E-09 1.916E-09 1.701E-09 1.342E-09 7.063E-10 6.981E-10 5.604E-10 2.78E-10 2.43E-10 3.153E-10 8.815E-10 2.949E-10 5.771E-09 4.921E-09 3.773E-09 4.029E-09 4.185E-09 4.369E-09 
AONE 7.962E-10 2.908E-09 2.989E-09 2.998E-09 2.999E-09 3.003E-09 2.998E-09 3.006E-09 3.085E-09 2.814E-09 1.336E-09 1.033E-09 8.509E-10 7.163E-10 6.516E-10 6.373E-10 5.76E-10 1.565E-10 1.526E-10 1.419E-10 1.502E-10 1.529E-10 2.295E-10 4.318E-10 7.962E-10 2.908E-09 2.989E-09 2.998E-09 2.999E-09 3.003E-09 
PAR 1.723E-07 1.969E-07 1.712E-07 1.776E-07 1.823E-07 1.881E-07 1.837E-07 1.875E-07 2.432E-07 2.751E-07 2.192E-07 1.253E-07 9.823E-08 7.809E-08 6.99E-08 5.854E-08 3.933E-08 3.345E-08 2.981E-08 2.325E-08 2.25E-08 2.415E-08 4.32E-08 9.737E-08 1.723E-07 1.969E-07 1.712E-07 1.776E-07 1.823E-07 1.881E-07 
ISOP 2.219E-10 2.589E-10 2.895E-10 4.009E-10 5.434E-10 6.224E-10 6.066E-10 5.408E-10 5E-10 5.889E-10 4.689E-10 9.19E-11 7.075E-11 5.463E-11 4.782E-11 4.138E-11 3.089E-11 2.71E-11 2.509E-11 2.008E-11 1.797E-11 1.739E-11 2.712E-11 1.504E-10 2.219E-10 2.589E-10 2.895E-10 4.009E-10 5.434E-10 6.224E-10 
CH3OH 4.723E-10 1.218E-09 1.374E-09 1.374E-09 1.374E-09 1.374E-09 1.373E-09 1.374E-09 1.374E-09 1.08E-09 7.381E-10 5.094E-10 2.838E-10 1.336E-10 5.808E-11 5.738E-11 5.634E-11 4.1E-12 4.1E-12 4.1E-12 4.856E-12 4.856E-12 8.037E-11 2.329E-10 4.723E-10 1.218E-09 1.374E-09 1.374E-09 1.374E-09 1.374E-09 
