# time (s)
# rate = scaling parameter
# emissions (mol m^{-2} s^{-1})
time	0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400   90000	93600	97200	100800	104400	108000	111600  115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
rate	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.5
#rate	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   0.8
#rate	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	1	1	1	1	1	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0   1
SO2 1.325E-08 1.716E-08 1.593E-08 1.628E-08 1.634E-08 1.654E-08 1.642E-08 1.653E-08 1.741E-08 1.673E-08 1.402E-08 1.208E-08 1.197E-08 1.129E-08 1.106E-08 1.076E-08 8.972E-09 8.349E-09 8.252E-09 8.055E-09 8.008E-09 8.055E-09 8.499E-09 9.924E-09 1.325E-08 1.716E-08 1.593E-08 1.628E-08 1.634E-08 1.654E-08 1.642E-08 1.653E-08 1.741E-08 1.673E-08 1.402E-08 1.208E-08 1.197E-08 1.129E-08 1.106E-08 1.076E-08 8.972E-09 8.349E-09 8.252E-09 8.055E-09 8.008E-09 8.055E-09 8.499E-09 9.924E-09 1.325E-08 
NO2 2.08E-10 2.294E-10 2.107E-10 2.257E-10 2.32E-10 2.424E-10 2.34E-10 2.443E-10 2.348E-10 2.742E-10 2.276E-10 2.018E-10 1.637E-10 1.331E-10 1.237E-10 1.057E-10 6.627E-11 6.104E-11 5.482E-11 4.235E-11 4.073E-11 4.348E-11 6.791E-11 1.308E-10 2.08E-10 2.294E-10 2.107E-10 2.257E-10 2.32E-10 2.424E-10 2.34E-10 2.443E-10 2.348E-10 2.742E-10 2.276E-10 2.018E-10 1.637E-10 1.331E-10 1.237E-10 1.057E-10 6.627E-11 6.104E-11 5.482E-11 4.235E-11 4.073E-11 4.348E-11 6.791E-11 1.308E-10 2.08E-10 
NO 5.449E-08 6.007E-08 5.521E-08 5.912E-08 6.076E-08 6.349E-08 6.13E-08 6.401E-08 6.149E-08 7.18E-08 5.963E-08 5.285E-08 4.288E-08 3.487E-08 3.241E-08 2.771E-08 1.736E-08 1.599E-08 1.436E-08 1.11E-08 1.066E-08 1.139E-08 1.779E-08 3.426E-08 5.449E-08 6.007E-08 5.521E-08 5.912E-08 6.076E-08 6.349E-08 6.13E-08 6.401E-08 6.149E-08 7.18E-08 5.963E-08 5.285E-08 4.288E-08 3.487E-08 3.241E-08 2.771E-08 1.736E-08 1.599E-08 1.436E-08 1.11E-08 1.066E-08 1.139E-08 1.779E-08 3.426E-08 5.449E-08 
NH3 1.221E-08 1.19E-08 2.241E-08 2.004E-08 2.243E-08 2.571E-08 2.256E-08 2.467E-08 1.841E-08 9.221E-09 7.403E-09 3.49E-09 2.853E-09 3.128E-09 3.727E-09 3.743E-09 1.362E-09 3.701E-09 1.345E-09 1.323E-09 1.354E-09 1.414E-09 1.48E-09 3.755E-09 1.221E-08 1.19E-08 2.241E-08 2.004E-08 2.243E-08 2.571E-08 2.256E-08 2.467E-08 1.841E-08 9.221E-09 7.403E-09 3.49E-09 2.853E-09 3.128E-09 3.727E-09 3.743E-09 1.362E-09 3.701E-09 1.345E-09 1.323E-09 1.354E-09 1.414E-09 1.48E-09 3.755E-09 1.221E-08 
CO 2.767E-07 2.06E-07 1.466E-07 1.574E-07 1.644E-07 1.734E-07 1.642E-07 1.732E-07 2.449E-07 3.124E-07 2.872E-07 1.614E-07 1.182E-07 8.602E-08 7.582E-08 5.867E-08 2.837E-08 2.768E-08 2.263E-08 9.005E-09 7.257E-09 1.079E-08 3.823E-08 1.39E-07 2.767E-07 2.06E-07 1.466E-07 1.574E-07 1.644E-07 1.734E-07 1.642E-07 1.732E-07 2.449E-07 3.124E-07 2.872E-07 1.614E-07 1.182E-07 8.602E-08 7.582E-08 5.867E-08 2.837E-08 2.768E-08 2.263E-08 9.005E-09 7.257E-09 1.079E-08 3.823E-08 1.39E-07 2.767E-07 
ALD2 2.879E-09 2.17E-09 1.59E-09 1.732E-09 1.82E-09 1.915E-09 1.807E-09 1.912E-09 2.793E-09 3.607E-09 3.358E-09 1.829E-09 1.327E-09 9.602E-10 8.464E-10 6.493E-10 3.018E-10 2.988E-10 2.419E-10 8.751E-11 6.814E-11 1.074E-10 4.107E-10 1.474E-09 2.879E-09 2.17E-09 1.59E-09 1.732E-09 1.82E-09 1.915E-09 1.807E-09 1.912E-09 2.793E-09 3.607E-09 3.358E-09 1.829E-09 1.327E-09 9.602E-10 8.464E-10 6.493E-10 3.018E-10 2.988E-10 2.419E-10 8.751E-11 6.814E-11 1.074E-10 4.107E-10 1.474E-09 2.879E-09 
HCHO 3.845E-09 3.054E-09 2.31E-09 2.499E-09 2.608E-09 2.735E-09 2.595E-09 2.732E-09 3.871E-09 4.911E-09 4.452E-09 2.463E-09 1.821E-09 1.337E-09 1.186E-09 9.257E-10 4.438E-10 4.41E-10 3.632E-10 1.626E-10 1.371E-10 1.871E-10 5.864E-10 1.979E-09 3.845E-09 3.054E-09 2.31E-09 2.499E-09 2.608E-09 2.735E-09 2.595E-09 2.732E-09 3.871E-09 4.911E-09 4.452E-09 2.463E-09 1.821E-09 1.337E-09 1.186E-09 9.257E-10 4.438E-10 4.41E-10 3.632E-10 1.626E-10 1.371E-10 1.871E-10 5.864E-10 1.979E-09 3.845E-09 
ETH 1.03E-08 7.751E-09 5.628E-09 6.102E-09 6.397E-09 6.737E-09 6.364E-09 6.715E-09 1.006E-08 1.293E-08 1.197E-08 6.386E-09 4.672E-09 3.412E-09 3.017E-09 2.295E-09 1.088E-09 1.074E-09 8.776E-10 3.435E-10 2.771E-10 4.135E-10 1.478E-09 5.281E-09 1.03E-08 7.751E-09 5.628E-09 6.102E-09 6.397E-09 6.737E-09 6.364E-09 6.715E-09 1.006E-08 1.293E-08 1.197E-08 6.386E-09 4.672E-09 3.412E-09 3.017E-09 2.295E-09 1.088E-09 1.074E-09 8.776E-10 3.435E-10 2.771E-10 4.135E-10 1.478E-09 5.281E-09 1.03E-08 
OLEI 3.827E-10 2.942E-10 2.171E-10 2.36E-10 2.478E-10 2.606E-10 2.471E-10 2.607E-10 3.921E-10 5.016E-10 4.642E-10 2.405E-10 1.749E-10 1.27E-10 1.113E-10 8.609E-11 4.075E-11 4.114E-11 3.298E-11 1.344E-11 1.099E-11 1.596E-11 5.757E-11 1.967E-10 3.827E-10 2.942E-10 2.171E-10 2.36E-10 2.478E-10 2.606E-10 2.471E-10 2.607E-10 3.921E-10 5.016E-10 4.642E-10 2.405E-10 1.749E-10 1.27E-10 1.113E-10 8.609E-11 4.075E-11 4.114E-11 3.298E-11 1.344E-11 1.099E-11 1.596E-11 5.757E-11 1.967E-10 3.827E-10 
OLET 6.333E-09 4.869E-09 3.592E-09 3.905E-09 4.1E-09 4.312E-09 4.09E-09 4.314E-09 6.488E-09 8.299E-09 7.682E-09 3.98E-09 2.894E-09 2.101E-09 1.841E-09 1.425E-09 6.743E-10 6.808E-10 5.458E-10 2.224E-10 1.819E-10 2.64E-10 9.526E-10 3.255E-09 6.333E-09 4.869E-09 3.592E-09 3.905E-09 4.1E-09 4.312E-09 4.09E-09 4.314E-09 6.488E-09 8.299E-09 7.682E-09 3.98E-09 2.894E-09 2.101E-09 1.841E-09 1.425E-09 6.743E-10 6.808E-10 5.458E-10 2.224E-10 1.819E-10 2.64E-10 9.526E-10 3.255E-09 6.333E-09 
TOL 3.752E-09 5.354E-09 4.769E-09 4.934E-09 5.044E-09 5.171E-09 5.053E-09 5.17E-09 6.272E-09 7.004E-09 4.512E-09 2.573E-09 1.893E-09 1.404E-09 1.236E-09 9.685E-10 5.513E-10 4.123E-10 3.318E-10 1.514E-10 1.295E-10 1.754E-10 5.719E-10 1.933E-09 3.752E-09 5.354E-09 4.769E-09 4.934E-09 5.044E-09 5.171E-09 5.053E-09 5.17E-09 6.272E-09 7.004E-09 4.512E-09 2.573E-09 1.893E-09 1.404E-09 1.236E-09 9.685E-10 5.513E-10 4.123E-10 3.318E-10 1.514E-10 1.295E-10 1.754E-10 5.719E-10 1.933E-09 3.752E-09 
XYL 3.305E-10 2.818E-10 2.16E-10 2.307E-10 2.396E-10 2.502E-10 2.396E-10 2.513E-10 3.563E-10 4.396E-10 3.808E-10 2.028E-10 1.49E-10 1.097E-10 9.739E-11 7.685E-11 4.044E-11 3.998E-11 3.209E-11 1.592E-11 1.392E-11 1.806E-11 5.048E-11 1.689E-11 3.305E-10 2.818E-10 2.16E-10 2.307E-10 2.396E-10 2.502E-10 2.396E-10 2.513E-10 3.563E-10 4.396E-10 3.808E-10 2.028E-10 1.49E-10 1.097E-10 9.739E-11 7.685E-11 4.044E-11 3.998E-11 3.209E-11 1.592E-11 1.392E-11 1.806E-11 5.048E-11 1.689E-11 3.305E-10 
